,Name,Origin
0, E Madhe,Albania
1, Elpbmgas,Albania
2, Elpbrostar,Albania
3, Hsder,Albania
4, Isrt,Albania
5, Koder,Albania
6, Kos Fshat,Albania
7, Posh,Albania
8, Poshte,Albania
9, Pstoper,Albania
10, Ptiper,Albania
11, Rkpoper,Albania
12, S Ri,Albania
13, Ti E Madhe,Albania
14,-Murras,Albania
15,-Murrashat,Albania
16,-Murrize,Albania
17,-Shengjin,Albania
18,-Srenove,Albania
19,Abrazhd-Qende,Albania
20,Abrazhdie,Albania
21,Aci,Albania
22,Aerava,Albania
23,Aira,Albania
24,Airk,Albania
25,Aje,Albania
26,Aliko,Albania
27,Amrks Osrje,Albania
28,Amurras,Albania
29,Anrk,Albania
30,Arras,Albania
31,Arrashaj,Albania
32,Arrashem,Albania
33,Arume,Albania
34,Ashat,Albania
35,Ashe-Krume,Albania
36,Atisht,Albania
37,Atundi I Ri,Albania
38,Ave,Albania
39,Bbrszhite,Albania
40,Bcida,Albania
41,Bcidaj,Albania
42,Bcidar,Albania
43,Bciza,Albania
44,Belishtme,Albania
45,Blan,Albania
46,Bmbushem,Albania
47,Bmbusler,Albania
48,Bmbzshice,Albania
49,Bmez,Albania
50,Bmishte,Albania
51,Bosj,Albania
52,Bosj Mas,Albania
53,Bosjbrize,Albania
54,Bosjre,Albania
55,Bosjt,Albania
56,Brazhd-Qende,Albania
57,Brazhd-Qender,Albania
58,Brazhdie,Albania
59,Brbcengjin,Albania
60,Brci,Albania
61,Breze,Albania
62,Brgzhite,Albania
63,Brosh,Albania
64,Brosht,Albania
65,Broshte,Albania
66,Broshtme,Albania
67,Brostar,Albania
68,Brostar-Ure,Albania
69,Bruzedi,Albania
70,Ccisat,Albania
71,Cica E Madhe,Albania
72,Cica E Posht,Albania
73,Cimare,Albania
74,Cimas,Albania
75,Cinaj,Albania
76,Cinar,Albania
77,Cisatundi I Ri,Albania
78,Ckas,Albania
79,Ckras,Albania
80,Cresh,Albania
81,Crras,Albania
82,Crrshove,Albania
83,Cves,Albania
84,Cye,Albania
85,Cyee,Albania
86,Cyeeic,Albania
87,Cykas,Albania
88,Cyre,Albania
89,Cyse,Albania
