,Name,Origin
0, Avan,Armenia
1, Ayr,Armenia
2, Gyugh,Armenia
3, Marg,Armenia
4, Rtsvaber,Armenia
5, Ur,Armenia
6, Vak'Ar,Armenia
7, Vasarratashen,Armenia
8, Yurak,Armenia
9,'Ar,Armenia
10,'Avan,Armenia
11,-It'Ap',Armenia
12,-Ovagyugh,Armenia
13,-Ovogyamasavan,Armenia
14,Aayk',Armenia
15,Agaran,Armenia
16,Agarat,Armenia
17,Aghamarg,Armenia
18,Aghamasarr,Armenia
19,Aghartsin,Armenia
20,Aghavnadzor,Armenia
21,Aghkaberdnro,Armenia
22,Aghkadzor,Armenia
23,Aghkahovit,Armenia
24,Agyugh,Armenia
25,Ahovit,Armenia
26,Ajrashen,Armenia
27,Alar,Armenia
28,Alzard,Armenia
29,Alzr,Armenia
30,Amasia,Armenia
31,Aor,Armenia
32,Arg,Armenia
33,Arr,Armenia
34,Aryan,Armenia
35,Ats',Armenia
36,Ats'Avak,Armenia
37,Ats'Avan,Armenia
38,Augh,Armenia
39,Avan,Armenia
40,Ayerb,Armenia
41,Ayg,Armenia
42,Ayg',Armenia
43,Ayg'Hooo',Armenia
44,Ayg'S,Armenia
45,Ayut,Armenia
46,Ayutashatin,Armenia
47,Bordovagyugh,Armenia
48,Bouye,Armenia
49,Boyyeshat,Armenia
50,Burykn,Armenia
51,Buyy,Armenia
52,Bvrrstan,Armenia
53,Bzrrstan,Armenia
54,Caghbyurastan,Armenia
55,Ceghamasarrit'A,Armenia
56,Cgaghkahovit,Armenia
57,Cghamarg,Armenia
58,Cghegnadzor,Armenia
59,Cghegnavan,Armenia
60,Cghgi,Armenia
61,Cghhoronk',Armenia
62,Cghhovit,Armenia
63,Cghui,Armenia
64,Cghutis,Armenia
65,Chagni,Armenia
66,Chguaak'S,Armenia
67,Chgui,Armenia
68,Chogi,Armenia
69,Chogis,Armenia
70,Chop',Armenia
71,Chuak'Ar,Armenia
72,Chuga,Armenia
73,Chugh,Armenia
74,Chugi,Armenia
75,Cvravan,Armenia
76,Cygeshatin,Armenia
77,Cyghsi,Armenia
78,Dclag,Armenia
79,Dllar,Armenia
80,Dlmarg,Armenia
81,Dmlla,Armenia
82,Dtsin,Armenia
83,Dvarr,Armenia
84,Dzard,Armenia
85,Dzrashat,Armenia
86,Dzrashen,Armenia
87,Dzrastan,Armenia
88,Egh,Armenia
89,Eghamarg,Armenia
90,Eghamavir,Armenia
91,Eghartsvaber,Armenia
92,Eghavnadzor,Armenia
93,Eghegis,Armenia
94,Eghegnadzor,Armenia
95,Eghegnaghartsva,Armenia
96,Eghegnavan,Armenia
97,Eghi,Armenia
98,Eghri,Armenia
99,Ehask,Armenia
100,Eiz,Armenia
101,Emashat,Armenia
102,Erg,Armenia
103,Etap',Armenia
104,Ets Parr,Armenia
105,Etsamor,Armenia
106,Eyghvagyugh,Armenia
107,G'Avan,Armenia
108,Gaghkadzor,Armenia
109,Gahovit,Armenia
110,Galahovit,Armenia
111,Garakan,Armenia
112,Garakashen,Armenia
113,Garan,Armenia
114,Garatamej,Armenia
115,Garatashen,Armenia
116,Gavan,Armenia
117,Gavand,Armenia
118,Gayat'-Novagyug,Armenia
119,Gayat'-Novak,Armenia
120,Gayat'-Novashen,Armenia
121,Geghamavir,Armenia
122,Geghegis,Armenia
123,Ghamarg,Armenia
124,Ghamashen,Armenia
125,Ghartevashen,Armenia
126,Ghartsin,Armenia
127,Ghartsvaber,Armenia
128,Ghartsvaberyan,Armenia
129,Ghavnadzor,Armenia
130,Ghdiiiaronk',Armenia
131,Ghegis,Armenia
132,Ghegnadzor,Armenia
133,Ghegnavan,Armenia
134,Ghegnavarrit'Ap,Armenia
135,Ghgmut,Armenia
136,Ghi,Armenia
137,Ghomasia,Armenia
138,Ghomb',Armenia
139,Ghomisreni,Armenia
140,Ghomo,Armenia
141,Ghomok,Armenia
142,Ghoronk',Armenia
143,Ghovit,Armenia
144,Ghri,Armenia
145,Ghtir,Armenia
146,Ghugh,Armenia
147,Ghui,Armenia
148,Ghuvasar,Armenia
149,Ghvagyugh,Armenia
150,Ghvi,Armenia
151,Ghvis,Armenia
152,Ghyaber,Armenia
153,Ghyareni,Armenia
154,Ghymuh,Armenia
155,Ghymuv,Armenia
156,Ghyrrnakot',Armenia
157,Ghyruhayr,Armenia
158,Ghyruni,Armenia
159,Ghyurakan,Armenia
160,Ghyurashatin,Armenia
161,Ghyuravan,Armenia
162,Ghyvun,Armenia
163,Gis,Armenia
164,Gor,Armenia
165,Gor Geghavnadzo,Armenia
166,Grat,Armenia
167,Gtsamor,Armenia
168,Gtsin,Armenia
169,Gugayat'-Novaz,Armenia
170,Gugh,Armenia
171,Gurak'S,Armenia
172,Gutashen,Armenia
173,Gvagyugh,Armenia
174,Gyugh,Armenia
175,Haak'Ar,Armenia
176,Haghbyurashen,Armenia
177,Hagni,Armenia
178,Hamarg,Armenia
179,Hayr,Armenia
180,Hdukashat,Armenia
181,Hegnadzor,Armenia
182,Hgyugh,Armenia
183,Hhovit,Armenia
184,His,Armenia
185,Hnugaran,Armenia
186,Hnugh,Armenia
187,Hogi,Armenia
188,Homisreni,Armenia
189,Horonk',Armenia
190,Horrom,Armenia
191,Hovit,Armenia
192,Hronk',Armenia
193,Hturashatin,Armenia
194,Hugh,Armenia
195,Hut,Armenia
196,Hvi,Armenia
197,Hyuravarr,Armenia
198,Igrit'Ap',Armenia
199,Igyugh,Armenia
200,In Dvin,Armenia
201,Irevashen,Armenia
