,Name,Origin
0, An Der Gastanz,Austria
1, Bei Krems,Austria
2, Bei Lorennersb,Austria
3, J Il Im Burg,Austria
4, Narstersdorf,Austria
5, Ob Juden An De,Austria
6, Roeckla,Austria
7, Sassbach,Austria
8, Tenming,Austria
9,-Eusiebenersdor,Austria
10,-Maegassnitz Im,Austria
11,-Waeg Sassing,Austria
12,.Alfhornbach,Austria
13,.Arnoldsteinbur,Austria
14,.Arsterding,Austria
15,.Eljbeugautzen ,Austria
16,.Feg,Austria
17,.J-Fafen,Austria
18,.Y Gnoertberg,Austria
19,/Nries,Austria
20,A Ia Langholoma,Austria
21,Aan,Austria
22,Aben Am Woertbe,Austria
23,Ach,Austria
24,Acha,Austria
25,Achlag,Austria
26,Aegassburg,Austria
27,Ael Im Breithal,Austria
28,Ael Im Sagguns,Austria
29,Aepldtttrassach,Austria
30,Aeu,Austria
31,Aeudorf,Austria
32,Afen,Austria
33,Aftledt,Austria
34,Agla,Austria
35,Aibl,Austria
36,Ail,Austria
37,Ambadill,Austria
38,Amoesse,Austria
39,Andritz,Austria
40,Andskron,Austria
41,Anger,Austria
42,Ann,Austria
43,Anrasseiberg,Austria
44,Antau,Austria
45,Anuersthagenleu,Austria
46,Aonf,Austria
47,Apons,Austria
48,Argaretendorf,Austria
49,Ariatal,Austria
50,Armbad-Juden,Austria
51,Arn Im Muehlber,Austria
52,Arndorf Bei Ims,Austria
53,Arndorf Im Mari,Austria
54,Arnfeld,Austria
55,Arnoldersieder ,Austria
56,Arriasdorf An D,Austria
57,Asteiris,Austria
58,Atten,Austria
59,Atten Am Wagrab,Austria
60,Au Am Burg,Austria
61,Au Marian,Austria
62,Auersbachberg,Austria
63,Auersdorf,Austria
64,Aun,Austria
65,Ausen,Austria
66,Ausen-Leogang,Austria
67,Autallstenbrunn,Austria
68,Autenbrunn,Austria
69,Avzernstadt,Austria
70,Awitz,Austria
71,B Ia Lassach,Austria
72,Bach,Austria
73,Bach Im Petter ,Austria
74,Bachenfirstritz,Austria
75,Bad Hall,Austria
76,Bad Sassiach,Austria
77,Ben,Austria
78,Ben Am Thale,Austria
79,Berg,Austria
80,Berg An Der Ybb,Austria
81,Berg Im Kaern,Austria
82,Berg Im Muehlkr,Austria
83,Berg Im Pongau,Austria
84,Bergareis,Austria
85,Bern,Austria
86,Bers,Austria
87,Bersdorf,Austria
88,Bgram,Austria
89,Bischa,Austria
90,Bischitz,Austria
91,Bischlagendorf,Austria
92,Boen,Austria
93,Bratsgfaell,Austria
94,Bratzen,Austria
95,Britz,Austria
96,Brixen An Der K,Austria
97,Brixen Im Marga,Austria
98,Brucking,Austria
99,Brucknerskirche,Austria
100,Buerbergarthapr,Austria
101,Buerst,Austria
102,Burg,Austria
103,Cawatterfausen-,Austria
104,Ch Bei Strader ,Austria
105,Chach,Austria
106,Chaernberg,Austria
107,Chaerner,Austria
108,Chafwies Am Woe,Austria
109,Chatt,Austria
110,Chberg,Austria
111,Chen An Derhorn,Austria
112,Chwarzau Am Leo,Austria
113,Dberkendorf In ,Austria
114,Debach,Austria
115,Delschkoenbersd,Austria
116,Dendorf An Der ,Austria
117,Dferndorf,Austria
118,Dfons,Austria
119,Dgert,Austria
120,Diething,Austria
121,Diex,Austria
122,Dleutschlands,Austria
123,Doertelbach,Austria
124,Donau,Austria
125,Donawitz Im Mue,Austria
126,Donnberg,Austria
127,Donnens,Austria
128,Dorf,Austria
129,Dorf Am Burg,Austria
130,Dorf Am Semmers,Austria
131,Dorf Am Woerth,Austria
132,Dorf An Der Ebe,Austria
133,Dorfgareith,Austria
134,Dperndorf,Austria
135,Dperthen,Austria
136,Dpital,Austria
137,Dpnersee,Austria
138,Dpotten Am Hoch,Austria
139,Dreichsee,Austria
140,Droecharnitz,Austria
141,Droesing,Austria
142,Droessing,Austria
143,Dross,Austria
144,Drossglocknersb,Austria
145,Drossglockneuki,Austria
146,Dsjerztal,Austria
147,Dsriach,Austria
148,Duenberg,Austria
149,Duensee,Austria
150,Duenstein,Austria
151,Dwaech,Austria
152,Dwaschau,Austria
153,Dyaernitz,Austria
154,E In Der Donnbe,Austria
155,E Lerndorf,Austria
156,Eben Im Breistr,Austria
157,Eben Im Stras,Austria
158,Ebenberg,Austria
159,Ebenbersdorf Am,Austria
160,Ebendorf,Austria
161,Ebenegg,Austria
162,Eberg,Austria
163,Edelsdorf,Austria
164,Edelsgrub,Austria
165,Eding,Austria
166,Eeau,Austria
167,Eechat,Austria
168,Eeinburg,Austria
169,Eemberg Am Wagr,Austria
170,Eemmersdorf,Austria
171,Eerbach Bei Sch,Austria
172,Eerbratzenriege,Austria
173,Eervbach,Austria
174,Eervienersere F,Austria
175,Egertal,Austria
176,Egg,Austria
177,Eggen,Austria
178,Eggstal An Der ,Austria
179,Eichraunau,Austria
180,Eiligendorf,Austria
181,Ein,Austria
182,Einabend,Austria
183,Einbach Linken,Austria
184,Einburg,Austria
185,Eindhaag Bei Ba,Austria
186,Eindhaag Im Mar,Austria
187,Einsoelkaproden,Austria
188,Einvierberg,Austria
189,Ekremsmuelsgrub,Austria
190,Elkirchen,Austria
191,Ellach,Austria
192,Elm,Austria
193,Enag Im Peterdo,Austria
194,Enaichrottwies,Austria
195,Enbach,Austria
196,Enberg,Austria
197,Enberg Am Sauta,Austria
198,Enbertlstermoos,Austria
199,Enegg,Austria
200,Enreisdorf,Austria
201,Enrohr,Austria
202,Enwoerberg,Austria
203,Eothersburg-Sta,Austria
204,Er Markt,Austria
205,Ere Fellach,Austria
206,Erfischageberg,Austria
207,Ering,Austria
208,Ernau,Austria
209,Ernegg,Austria
210,Ernhard,Austria
211,Ernsdorf,Austria
212,Errol,Austria
213,Ers,Austria
214,Ersbach,Austria
215,Erschoenig,Austria
216,Ersdorf,Austria
217,Ersdorf An Der ,Austria
218,Ersee,Austria
219,Etach,Austria
220,Etenmarkt,Austria
221,Eter Grossdorf,Austria
222,Eter Pielach,Austria
223,Ethen,Austria
224,Ethen Im Burg,Austria
225,Ethenburg,Austria
226,Ethersthalgau,Austria
227,Ethis,Austria
228,Etten,Austria
229,Ettersburg Am L,Austria
230,Eutschalchen Im,Austria
231,Eutzendorf,Austria
232,Ewerth,Austria
233,Ewreis,Austria
234,Fald,Austria
235,Fallhof,Austria
236,Fals,Austria
237,Farrkirchenbrun,Austria
238,Feis,Austria
239,Feissen,Austria
240,Feistraiskirche,Austria
241,Feld,Austria
242,Feldendorf,Austria
243,Felixdorf,Austria
244,Felixdorf Bei I,Austria
245,Fellach,Austria
246,Fels,Austria
247,Felsch Am Woert,Austria
248,Felschaell Am T,Austria
249,Felsching,Austria
250,Felsdorf,Austria
251,Fen,Austria
252,Fenham,Austria
253,Fenstanz,Austria
254,Fer,Austria
255,Fischach,Austria
256,Flerheinachen,Austria
257,Flernhard,Austria
258,Foffernstein,Austria
259,Fuerskirchen,Austria
260,Fuersthal,Austria
261,Fwinkenberg,Austria
262,G Im Trau,Austria
263,G Oenich,Austria
264,Gaberg,Austria
265,Gach,Austria
266,Gaeu,Austria
267,Gagenwoerbrunn,Austria
268,Galheinstettall,Austria
269,Gangensten An D,Austria
270,Garsthaleonham,Austria
271,Gartin Bei Wilf,Austria
272,Gatheim,Austria
273,Gathen Of Bei M,Austria
274,Gau,Austria
275,Gaubitschlatten,Austria
276,Gawein,Austria
277,Gaweinvierberg,Austria
278,Gberg,Austria
279,Gberg Am Leon,Austria
280,Geboden,Austria
281,Gebodendorf,Austria
282,Geboder Donawit,Austria
283,Geboderheilande,Austria
284,Geboltskirchen,Austria
285,Gel,Austria
286,Gendorf An Der ,Austria
287,Gerserbrans,Austria
288,Ggrabenberg,Austria
289,Gietach,Austria
290,Gjoidritz,Austria
