,Name,Origin
0, Aiar,Azerbaijan
1, Aran,Azerbaijan
2, Atan,Azerbaijan
3, Bazar,Azerbaijan
4, Byzal,Azerbaijan
5, City,Azerbaijan
6, Ftala,Azerbaijan
7, Giyzdanhi,Azerbaijan
8, Immshibazax,Azerbaijan
9, Lyan,Azerbaijan
10, Samuxlu,Azerbaijan
11, Vsan,Azerbaijan
12, Zcynala,Azerbaijan
13, Zcyni,Azerbaijan
14,Aeli,Azerbaijan
15,Afardala,Azerbaijan
16,Ahi,Azerbaijan
17,Alhan,Azerbaijan
18,Alkany,Azerbaijan
19,Alqana,Azerbaijan
20,Alranboy,Azerbaijan
21,Amur,Azerbaijan
22,Ania ,Azerbaijan
23,Anqala,Azerbaijan
24,Anti,Azerbaijan
25,Ardob,Azerbaijan
26,Ashibazar,Azerbaijan
27,Asim Ismayilli,Azerbaijan
28,Asir Zi,Azerbaijan
29,Axbas,Azerbaijan
30,Axla,Azerbaijan
31,Azix Iovsar,Azerbaijan
32,Bad,Azerbaijan
33,Bakhan,Azerbaijan
34,Bas,Azerbaijan
35,Bat,Azerbaijan
36,Bblagan,Azerbaijan
37,Bbli,Azerbaijan
38,Bcilubadli,Azerbaijan
39,Bidse,Azerbaijan
40,Bidze,Azerbaijan
41,Bjkni,Azerbaijan
42,Bjoni,Azerbaijan
43,Bkone,Azerbaijan
44,Blakhan,Azerbaijan
45,Blkan,Azerbaijan
46,Bllahi,Azerbaijan
47,Blyan,Azerbaijan
48,Bnlay,Azerbaijan
49,Bor,Azerbaijan
50,Boy,Azerbaijan
51,Bqana,Azerbaijan
52,Brkany,Azerbaijan
53,Bsi,Azerbaijan
54,Bsloglu,Azerbaijan
55,Bti,Azerbaijan
56,Btla,Azerbaijan
57,Buzovna,Azerbaijan
58,Bvla,Azerbaijan
59,Bzak,Azerbaijan
60,Chhikadabek,Azerbaijan
61,Chhikidze,Azerbaijan
62,Chibazax,Azerbaijan
63,Chibinskoye,Azerbaijan
64,Chli,Azerbaijan
65,Cli,Azerbaijan
66,Cmihisi Zeynli,Azerbaijan
67,Cni,Azerbaijan
68,Crubad,Azerbaijan
69,Culfa,Azerbaijan
70,Cuxur,Azerbaijan
71,Cyuldarli,Azerbaijan
72,Dci,Azerbaijan
