,Name,Origin
0, Bereg,Belarus
1, Byerastava,Belarus
2, Byerkhnyadzvin,Belarus
3, Byershytka,Belarus
4, Byershytsyatki,Belarus
5, Byershyya Slab,Belarus
6, Darobin,Belarus
7, Darowlya,Belarus
8, Erazino,Belarus
9, Hbrahin,Belarus
10, Horad Kobryn,Belarus
11, Horadok,Belarus
12, Huta,Belarus
13, Lavy,Belarus
14, Lichye,Belarus
15, Lye,Belarus
16, Orsha,Belarus
17, Orshalynichyts,Belarus
18, Pyets,Belarus
19, Rechy,Belarus
20, Seanyets,Belarus
21, Slabada,Belarus
22, Slaw,Belarus
23, Trashytsyanno,Belarus
24, Yerastsislawha,Belarus
25,''Ska Lavy,Belarus
26,'Ka,Belarus
27,'Lanyetka,Belarus
28,'Mashkaw,Belarus
29,'Ranipol,Belarus
30,'Ranipollye,Belarus
31,'Sha,Belarus
32,'Shanyetryshki,Belarus
33,-Harad Kobryn,Belarus
34,A'Kaya Byershyt,Belarus
35,A'Sha,Belarus
36,Ada,Belarus
37,Adzishchava,Belarus
38,Adzvinsk,Belarus
39,Adzvinski Harac,Belarus
40,Adzvinski Trash,Belarus
41,Adzvinski Trast,Belarus
42,Akhany,Belarus
43,Alacha,Belarus
44,Alokia Zonsyany,Belarus
45,Alykavichy,Belarus
46,Alynichy,Belarus
47,Alyova,Belarus
48,Alyovaya Horad ,Belarus
49,Alyovaya Huta,Belarus
50,Amacha,Belarus
51,Amanavichy,Belarus
52,Amanavichytsy,Belarus
53,Amenka,Belarus
54,Amyanets,Belarus
55,Amyelya,Belarus
56,Amyen',Belarus
57,Andpr,Belarus
58,Anolina,Belarus
59,Aoolye,Belarus
60,Aotokiavichi,Belarus
61,Apkawka,Belarus
62,Arad Kobryn,Belarus
63,Aradok,Belarus
64,Arychaw,Belarus
65,Arychye,Belarus
66,Arychyn,Belarus
67,Aryya,Belarus
68,Aryya Darobin,Belarus
69,Aseazhyn,Belarus
70,Ask,Belarus
71,Atlishcha,Belarus
72,Atlishchavichy,Belarus
73,Atlye,Belarus
74,Atolina,Belarus
75,Ava,Belarus
76,Avyd-Haradzishc,Belarus
77,Avyd-Haradzvins,Belarus
78,Avyen',Belarus
79,Ayerkhnyadzvins,Belarus
80,Ayolye,Belarus
81,Ban',Belarus
82,Bcha,Belarus
83,Bda,Belarus
84,Bdany,Belarus
85,Bdaravyennyya D,Belarus
86,Bdaryya,Belarus
87,Bdka,Belarus
88,Bdznin,Belarus
89,Bereg,Belarus
90,Bkhhna,Belarus
91,Bkhhytsa,Belarus
92,Bkhhytski,Belarus
93,Blkhhna,Belarus
94,Blon',Belarus
95,Blonim,Belarus
96,Bmaha,Belarus
97,Bmanava,Belarus
98,Bmkhnyadzvinsk,Belarus
99,Bmonnyy Bereg,Belarus
100,Bmynlya,Belarus
101,Bonaya Lavyd-Ha,Belarus
102,Bonaya Lavyenny,Belarus
103,Bonaya Slabada,Belarus
104,Brahichytkavits,Belarus
105,Brahin,Belarus
106,Browlya,Belarus
107,Browna,Belarus
108,Bshotski,Belarus
109,Byaliki Trastav,Belarus
110,Cba,Belarus
111,Cbaw,Belarus
112,Cbye,Belarus
113,Cha,Belarus
114,Chavichy,Belarus
115,Chavichytsa,Belarus
116,Chavitsa,Belarus
117,Chaw,Belarus
118,Chomyslitsa,Belarus
119,Chy Pyetkavichi,Belarus
120,Chy Pyets,Belarus
121,Ckavichyn,Belarus
122,Ckhavichy,Belarus
123,Cryshki,Belarus
124,Cuhorsk,Belarus
125,Cwa,Belarus
126,Cya,Belarus
127,Cyerazinski Har,Belarus
128,D Toenyy Bereg,Belarus
129,D#Kaw,Belarus
130,Damach,Belarus
131,Damacha,Belarus
132,Damanava,Belarus
133,Damanavichytsye,Belarus
134,Damyanno,Belarus
135,Daryya Darohi,Belarus
136,Dashalykaw,Belarus
137,Dashalyovaya By,Belarus
138,Dashanyetryshka,Belarus
139,Dashki,Belarus
140,Dashniki,Belarus
141,Dashniki Trasny,Belarus
142,Dasy,Belarus
143,Davyd-Harach,Belarus
144,Davyd-Harad Kob,Belarus
145,Davyennyy Bereg,Belarus
146,Dayora,Belarus
147,Dbrowna,Belarus
148,Deg,Belarus
149,Dershytsy,Belarus
150,Derykaw,Belarus
151,Dhotsk,Belarus
152,Dka,Belarus
153,Dkaha,Belarus
154,Dlkhhnakawka,Belarus
155,Dlykavichy,Belarus
156,Dmkini ,Belarus
157,Dok,Belarus
158,Dokhyn,Belarus
159,Dor,Belarus
160,Dp-Arad Rechy,Belarus
161,Drasnyya,Belarus
162,Drkaw,Belarus
163,Dtvyetka,Belarus
164,Duk,Belarus
165,Duka,Belarus
166,Dvamenka,Belarus
167,Dvichytsa,Belarus
168,Dvyetryshki,Belarus
169,Dwka,Belarus
170,Dzishcha,Belarus
171,Dzvinsk,Belarus
172,Dzvinski Trasta,Belarus
173,E Byershyya Hor,Belarus
174,Echy,Belarus
175,Echyna,Belarus
176,Echytsa,Belarus
177,Echyya Horad Pi,Belarus
178,Ekhyn,Belarus
179,El',Belarus
180,El'Chytsy,Belarus
181,Elyanno,Belarus
182,Erashkaw,Belarus
183,Erasnyya,Belarus
184,Erazino,Belarus
185,Erkhnyadzishcha,Belarus
186,Erkhnyadzvinsk,Belarus
187,Erykavichy,Belarus
188,Erykavitsa,Belarus
189,Erykaw,Belarus
190,Etrykaw,Belarus
191,Etryshki,Belarus
192,Ets,Belarus
193,Evhcha,Belarus
194,Fenichy,Belarus
195,Fenichytka,Belarus
196,Fkanets,Belarus
197,Fnanava,Belarus
198,Fran Horadzinsk,Belarus
199,H Travyd-Harado,Belarus
200,H'Ra,Belarus
201,Hada,Belarus
202,Hal'Sha,Belarus
203,Haradzinski Har,Belarus
204,Hhorad Kobryn,Belarus
205,Hokshytsa,Belarus
206,Hora,Belarus
207,Horad Kobryn,Belarus
208,Horadok,Belarus
209,Hotsk,Belarus
210,Hotski,Belarus
211,Hotski Trastsis,Belarus
212,Hovsytrasnyya,Belarus
213,Hrasnyy Bereg,Belarus
214,Htravy,Belarus
215,Htrykaw,Belarus
216,Huta,Belarus
217,Hvyanno,Belarus
218,Iadzinsk,Belarus
219,Iadzvinski,Belarus
