,Name,Origin
0, Ergen,Belgium
1, Eringelet,Belgium
2, Herde,Belgium
3, Hulderlijtscha,Belgium
4, Hulpe,Belgium
5, Labsere,Belgium
6, Labsert,Belgium
7, Loegsteerpent,Belgium
8, Naferre,Belgium
9, Ougnies,Belgium
10, Rlcom,Belgium
11, Rlcomontaine-S,Belgium
12, S-La-Neuve,Belgium
13, Scster,Belgium
14, Slat-Em-Kapell,Belgium
15, Svalle-Chateau,Belgium
16, Svallen,Belgium
17,-Aldeng-Aimerse,Belgium
18,-Aldennes,Belgium
19,-Beek,Belgium
20,-Braint-Sain-La,Belgium
21,-Chateau,Belgium
22,-Er-Braine,Belgium
23,-Huibert,Belgium
24,-Mont,Belgium
25,-Sille,Belgium
26,-Ville,Belgium
27,-Villere,Belgium
28,Aar,Belgium
29,Abay-La-Neufvil,Belgium
30,Abay-Le-Chaint-,Belgium
31,Ableurne,Belgium
32,Adper,Belgium
33,Adsew,Belgium
34,Adseweilaar,Belgium
35,Aere,Belgium
36,Ajpejtkere,Belgium
37,Ajsewtelaasmech,Belgium
38,Ajsion-La-Neuve,Belgium
39,Alle,Belgium
40,Allene,Belgium
41,Alleren,Belgium
42,Alvere,Belgium
43,Alverg,Belgium
44,Ambeke,Belgium
45,Ambergen,Belgium
46,Ambne,Belgium
47,Amme-Leeuw,Belgium
48,Ammelgem,Belgium
49,Amont-Sart,Belgium
50,Amontaart,Belgium
51,An-Sur-Lesse,Belgium
52,Ands,Belgium
53,Andvooren,Belgium
54,Are,Belgium
55,Arelbeek,Belgium
56,Arelbeke,Belgium
57,As-Oha,Belgium
58,Atpel,Belgium
59,Aul,Belgium
60,Ault,Belgium
61,Auville,Belgium
62,Avdes-Bray,Belgium
63,Avegem,Belgium
64,Avelare,Belgium
65,Avelin,Belgium
66,Avier,Belgium
67,Bais,Belgium
68,Baisy-La-Neuvec,Belgium
69,Baisy-Le-Op-De-,Belgium
70,Baisy-Thy-Arde,Belgium
71,Baix,Belgium
72,Bandbergent,Belgium
73,Bands,Belgium
74,Bazen,Belgium
75,Beek,Belgium
76,Bergem,Belgium
77,Bertognez,Belgium
78,Beter,Belgium
79,Bhain-Saint-Ghi,Belgium
80,Bjocureille,Belgium
81,Blegem,Belgium
82,Bmerienk,Belgium
83,Bonne,Belgium
84,Boves,Belgium
85,Bpaiwonchaffles,Belgium
86,Braives,Belgium
87,Brederzelette,Belgium
88,Broechem,Belgium
89,Bschateauvechte,Belgium
90,Bsies,Belgium
91,Buvreilaartenbe,Belgium
92,Bvodeige,Belgium
93,Bwerpen,Belgium
94,Calaisy-Thy,Belgium
95,Cauville,Belgium
96,Celaar,Belgium
97,Cepenteauve,Belgium
98,Cerre,Belgium
99,Chain,Belgium
100,Chaumont,Belgium
101,Che,Belgium
102,Che-En-Argem,Belgium
103,Chele,Belgium
104,Chelen,Belgium
105,Chievreillers-N,Belgium
106,Chiny,Belgium
107,Chlne,Belgium
108,Cholt,Belgium
109,Chtaar,Belgium
110,Chter,Belgium
111,Chts-Leuze,Belgium
112,Cla-Villys,Belgium
113,Clawinderhout,Belgium
114,Clers-Leeuw,Belgium
115,Cnal,Belgium
116,Cner,Belgium
117,Cpenbeek,Belgium
118,Cse-Villonne,Belgium
119,Csene,Belgium
120,Cslaineville,Belgium
121,Cul-Des-Sain,Belgium
122,D-Nare,Belgium
123,Dbergeo,Belgium
124,Deerberg,Belgium
125,Deerdin,Belgium
126,Denberg,Belgium
127,Dendaal,Belgium
128,Dende,Belgium
129,Denderhassenokk,Belgium
130,Denderhouter,Belgium
131,Denne,Belgium
132,Dergne,Belgium
133,Derle-Chateau,Belgium
134,Deur,Belgium
135,Deurne,Belgium
136,Deux,Belgium
137,Deux-Acren,Belgium
138,Dllegem,Belgium
139,Dneux,Belgium
140,Dre,Belgium
141,Drin,Belgium
142,Dsaint-Pieterle,Belgium
143,Dsters,Belgium
144,Dstwe,Belgium
145,E-Spouwel,Belgium
146,Ebais,Belgium
147,Ebaix,Belgium
148,Eche,Belgium
149,Echtem,Belgium
150,Ede,Belgium
