,Name,Origin
0, An,Bulgaria
1, Banite,Bulgaria
2, Banitsa,Bulgaria
3, Banya,Bulgaria
4, Blagoevgrad,Bulgaria
5, Dovo,Bulgaria
6, El,Bulgaria
7, Ernitsa,Bulgaria
8, Myadomir,Bulgaria
9, Ran,Bulgaria
10, Ranya,Bulgaria
11, Rograd,Bulgaria
12, Trazhitsa,Bulgaria
13, Uhnevene,Bulgaria
14, Yanovgrad,Bulgaria
15, Zagoevgrad,Bulgaria
16,A Banya,Bulgaria
17,A Olaevo,Bulgaria
18,Aatevgrad,Bulgaria
19,Abparuhovo,Bulgaria
20,Agred,Bulgaria
21,Aki,Bulgaria
22,Akresna,Bulgaria
23,Ala Slavyanovo,Bulgaria
24,Ali,Bulgaria
25,Amyadomir,Bulgaria
26,Amyodremovo,Bulgaria
27,Amyolarovo,Bulgaria
28,Amyolra Zagora,Bulgaria
29,Amyolrel,Bulgaria
30,Anitsa,Bulgaria
31,Anovo,Bulgaria
32,Anya,Bulgaria
33,Aopblutina,Bulgaria
34,Apbmuil,Bulgaria
35,Apbmurishte,Bulgaria
36,Apbruhovo,Bulgaria
37,Apomovo,Bulgaria
38,Ari Chiflik,Bulgaria
39,Arik,Bulgaria
40,Arova Zagora,Bulgaria
41,Arovo,Bulgaria
42,Atpcuumboliyski,Bulgaria
43,Atrna,Bulgaria
44,Atrna Oryag,Bulgaria
45,Azbbtel,Bulgaria
46,Aze Rograd,Bulgaria
47,Azhidim,Bulgaria
48,Azpbluik,Bulgaria
49,B Liyski,Bulgaria
50,Bar,Bulgaria
51,Batak,Bulgaria
52,Batanovgrad,Bulgaria
53,Batanovo,Bulgaria
54,Bba ,Bulgaria
55,Bbla,Bulgaria
56,Bdzhitsa,Bulgaria
57,Bea,Bulgaria
58,Ber,Bulgaria
59,Bha,Bulgaria
60,Bhitsa,Bulgaria
61,Bimets,Bulgaria
62,Bkalofer,Bulgaria
63,Bklovo,Bulgaria
64,Bktecgndven,Bulgaria
65,Bla,Bulgaria
66,Bmuil,Bulgaria
67,Bmyadomir,Bulgaria
68,Bmyadovo,Bulgaria
69,Bmyeliki Presna,Bulgaria
70,Bmyelingrad,Bulgaria
71,Bmyrdimorsko,Bulgaria
72,Bo  Dol,Bulgaria
73,Bom,Bulgaria
74,Bomir,Bulgaria
75,Boryanovgrad,Bulgaria
76,Bothik,Bulgaria
77,Bpblu,Bulgaria
78,Bpbluio,Bulgaria
79,Bpmobske,Bulgaria
80,Bpmyurishte,Bulgaria
81,Bpolovgrad,Bulgaria
82,Bpolovo,Bulgaria
83,Bpyala Slav,Bulgaria
84,Brag,Bulgaria
85,Brat,Bulgaria
86,Brova Zagoevgra,Bulgaria
87,Brovadia,Bulgaria
88,Bta,Bulgaria
89,Btag,Bulgaria
90,Btara Zagoevgra,Bulgaria
