,Name,Origin
0, Brezno,Czech Republic
1, Ckovec,Czech Republic
2, Erna Hut,Czech Republic
3, Lutin,Czech Republic
4, Mostice,Czech Republic
5, Na Loz,Czech Republic
6, Nad Labem,Czech Republic
7, Nad Luzice,Czech Republic
8, Nad Orlin,Czech Republic
9, Nisovice,Czech Republic
10, Novec,Czech Republic
11, Orlicko,Czech Republic
12, Rahanice,Czech Republic
13, Svatov,Czech Republic
14, Svitavou,Czech Republic
15, Ussvitavou,Czech Republic
16,-Nenava,Czech Republic
17,-Nova,Czech Republic
18,-Nsov,Czech Republic
19,-Nsova,Czech Republic
20,-Nsova Rudnice,Czech Republic
21,-Nsovice,Czech Republic
22,-Tosi,Czech Republic
23,-Tosrici,Czech Republic
24,-Tost,Czech Republic
25,-Tosten,Czech Republic
26,-Tysek,Czech Republic
27,Ablunka,Czech Republic
28,Acany,Czech Republic
29,Accko,Czech Republic
30,Achov,Czech Republic
31,Achova,Czech Republic
32,Ahrudim,Czech Republic
33,Ahrudistek,Czech Republic
34,Aka,Czech Republic
35,Aka Bityska,Czech Republic
36,Akonosinovice,Czech Republic
37,Akov,Czech Republic
38,Akov Nad Jizero,Czech Republic
39,Alikov,Czech Republic
40,Alikovanovice,Czech Republic
41,Alikovec,Czech Republic
42,Alkovice,Czech Republic
43,Alsiny,Czech Republic
44,Aohoreli,Czech Republic
45,Aolovice,Czech Republic
46,Aory,Czech Republic
47,Aoryto,Czech Republic
48,Apankovice U Pr,Czech Republic
49,Asavrky,Czech Republic
50,Asce Nad Hane,Czech Republic
51,Asd,Czech Republic
52,Asdne,Czech Republic
53,Asim,Czech Republic
54,Aska Doubriv,Czech Republic
55,Aslicko,Czech Republic
56,Ast,Czech Republic
57,Astalkou,Czech Republic
58,Astelovice,Czech Republic
59,Astomice,Czech Republic
60,Atlvine,Czech Republic
61,Atrni Cerec Nad,Czech Republic
62,Avice,Czech Republic
63,Bakonovice,Czech Republic
64,Batec,Czech Republic
65,Becvou,Czech Republic
66,Bela Lhota,Czech Republic
67,Bela Loz,Czech Republic
68,Bela Pod Radhos,Czech Republic
69,Benesovice Nad ,Czech Republic
70,Bila Libeznice,Czech Republic
71,Bilin,Czech Republic
72,Bkezbrod,Czech Republic
73,Blizerou,Czech Republic
