,Name,Origin
0,-Eila,Estonia
1,-Jaani,Estonia
2,-Jeere,Estonia
3,-Maare,Estonia
4,-Nomme,Estonia
5,-Nri,Estonia
6,-Nuila,Estonia
7,-Tritsi,Estonia
8,-Vaejderu,Estonia
9,Aehina,Estonia
10,Aeike-Maarja,Estonia
11,Aerdla,Estonia
12,Aere,Estonia
13,Aerja,Estonia
14,Aerjamaee,Estonia
15,Aernu,Estonia
16,Aerska,Estonia
17,Aerve,Estonia
18,Alu,Estonia
19,Andi,Estonia
20,Are,Estonia
21,Baaaiitsi,Estonia
22,Baaarja,Estonia
23,Baepi,Estonia
24,Basalu,Estonia
25,Bisa,Estonia
26,Bisaku,Estonia
27,Bja-Palu,Estonia
28,Bja-Paluoja,Estonia
29,Bla,Estonia
30,Dere,Estonia
31,Deri,Estonia
32,Diini,Estonia
33,Diisipere,Estonia
34,Dina,Estonia
35,Dla,Estonia
36,Drina,Estonia
37,Dringi-Nomme,Estonia
38,Ehila,Estonia
39,Ehina,Estonia
40,Ehola,Estonia
41,Ehra,Estonia
42,Ehtna,Estonia
43,Ehunaaaerku,Estonia
44,Ehunaaakuse,Estonia
45,Eiia,Estonia
46,Eiiitu,Estonia
47,Eila,Estonia
48,Elva,Estonia
49,Enri,Estonia
50,Gapa,Estonia
51,Garku,Estonia
52,Gei,Estonia
53,Geipalu,Estonia
54,Geipere,Estonia
55,Giva,Estonia
56,Gri,Estonia
57,Gti,Estonia
58,Gue,Estonia
59,Guhila,Estonia
60,Guhioa,Estonia
61,Gupi,Estonia
62,Gurvekuela,Estonia
63,Hba,Estonia
64,Herva,Estonia
65,Hha,Estonia
66,Hhina,Estonia
67,Hhtla-Jaagri,Estonia
68,Hhtla-Nomme,Estonia
69,Hila,Estonia
70,Hiljandi,Estonia
71,Hillamaa,Estonia
72,Hillamaee,Estonia
73,Hja,Estonia
74,Hla,Estonia
75,Hlljmna,Estonia
76,Hlljsllaste,Estonia
77,Hma,Estonia
78,Hna,Estonia
79,Hni,Estonia
80,Horvekuela,Estonia
81,Hra,Estonia
82,Hri,Estonia
83,Hrla-Nomme,Estonia
84,Htla-Jaagri,Estonia
