,Name,Origin
0,-Hi,Finland
1,-Intasalmi,Finland
2,-Oi,Finland
3,-Rva,Finland
4,-Yhja,Finland
5,Aaeinaettylae,Finland
6,Aara,Finland
7,Aer,Finland
8,Aerva,Finland
9,Aervenpaeae,Finland
10,Aervi,Finland
11,Aes,Finland
12,Aeynaejaervenpa,Finland
13,Aeynaejaervi,Finland
14,Aeynaejoki,Finland
15,Aeynaes,Finland
16,Aeynaetsalo,Finland
17,Aeynaettylae,Finland
18,Aga,Finland
19,Ahalahti,Finland
20,Ajaani,Finland
21,Ajoki,Finland
22,Apo,Finland
23,Ara,Finland
24,Arikkala,Finland
25,Arikkeli,Finland
26,Arinaetsalo,Finland
27,Arini,Finland
28,Ariniemi,Finland
29,Arvi,Finland
30,Aski,Finland
31,Astaro,Finland
32,Auhajoki,Finland
33,Auhajokia,Finland
34,Auhantasalo,Finland
35,Aul,Finland
36,Auli,Finland
37,Aulkava,Finland
38,Aumaitii,Finland
39,Daeki,Finland
40,Darkaus,Finland
41,Druvesi,Finland
42,Dsilo,Finland
43,Dsinpyhtae,Finland
44,Dsinpyhtaeae,Finland
45,Dskainen,Finland
46,Dskkilae,Finland
47,Duhanka,Finland
48,Duhkajoki,Finland
49,Dulkava,Finland
50,Durku,Finland
51,Ehtylae,Finland
52,Eina,Finland
53,Einaejaervi,Finland
54,Enaejoki,Finland
55,Enaes,Finland
56,Enaetsalo,Finland
57,Enaettylae,Finland
58,Enlinen,Finland
59,Ens,Finland
60,Enylme,Finland
61,Erava,Finland
62,Ere,Finland
63,Erina,Finland
64,Erinaejaervenpa,Finland
65,Erinaejaervi,Finland
66,Erinaejoki,Finland
67,Erinaejokia,Finland
68,Erinaejvin,Finland
69,Erinaes,Finland
70,Erinaetsalo,Finland
71,Erinaettylae,Finland
72,Erini,Finland
73,Eriniemi,Finland
74,Eriniiengas,Finland
75,Ernautalahti,Finland
76,Erni,Finland
77,Ernva,Finland
78,Ero,Finland
79,Ersvaara,Finland
80,Erva,Finland
81,Ervakoski,Finland
82,Ervenpaeae,Finland
83,Ervi,Finland
84,Ervia,Finland
85,Erviae,Finland
86,Eryenkoski,Finland
87,Esi,Finland
88,Goono,Finland
89,Gus,Finland
90,Gysvaara,Finland
91,Haejaer,Finland
92,Haejaerva,Finland
93,Haejaervenpaeae,Finland
94,Haejaervi,Finland
95,Haejaervuori,Finland
96,Haejoki,Finland
97,Haejokia,Finland
98,Haentae,Finland
99,Haentaeae,Finland
100,Haentaentasalmi,Finland
101,Haentasalmi,Finland
102,Haentasalo,Finland
103,Haentasalohja,Finland
104,Hainen,Finland
105,Hajoki,Finland
106,Hantasalohja,Finland
107,Henjaervenpaeae,Finland
108,Hnioe,Finland
109,Hola,Finland
110,Hrinaettylae,Finland
111,Hti,Finland
112,Hula,Finland
113,Ihnioe,Finland
114,Iiejaervi,Finland
115,Iienaejaervi,Finland
116,Iienaes,Finland
117,Iienaetsalmi,Finland
118,Iienaettylae,Finland
119,Iiengasniemi,Finland
120,Iieni,Finland
121,Iihtelysvaara,Finland
122,Iihtelysvaarikk,Finland
123,Iihtelysvaarina,Finland
124,Iihtelysvaarini,Finland
125,Iiinaes,Finland
126,Iiini,Finland
127,Iiiniemi,Finland
128,Iiinpyhtaeae,Finland
129,Iiminki,Finland
130,Iimio,Finland
131,Iina,Finland
132,Iinaejoki,Finland
133,Iinaes,Finland
134,Iinaetsalmi,Finland
135,Iinaetsalohja,Finland
136,Iinaettylae,Finland
137,Iingas,Finland
138,Iini,Finland
139,Iiniemi,Finland
140,Iinpyhtae,Finland
141,Iinpyhtaeae,Finland
142,Iintae,Finland
143,Iintaeae,Finland
144,Iintusa,Finland
145,Iinu,Finland
146,Iinuemeenlinnul,Finland
147,Iippola,Finland
148,Iiutala,Finland
149,Iiutalahti,Finland
150,Iiutalampere,Finland
151,Inen,Finland
152,Inna,Finland
153,Innula,Finland
154,Iuva,Finland
155,Jaani,Finland
156,Jaervi,Finland
157,Jaervia,Finland
158,Joki,Finland
159,Jokia,Finland
160,Jylae,Finland
161,Konummi,Finland
162,Koukkola,Finland
163,Lava,Finland
164,Lihpi,Finland
165,Lihtelysvaari,Finland
166,Mlkkila,Finland
167,Mui,Finland
168,Mulkava,Finland
169,Naettylae,Finland
170,Nula,Finland
171,Odanka,Finland
172,Odankajoki,Finland
173,Odanko,Finland
174,Odankoski,Finland
175,Ohajoki,Finland
176,Oini,Finland
177,Oiniemi,Finland
178,Oja,Finland
179,Orvoo,Finland
180,Osio,Finland
181,Oukkuniemi,Finland
182,Ouvo,Finland
183,Ouvola,Finland
184,Paaaiiens,Finland
185,Paeae,Finland
186,Pajaani,Finland
187,Para,Finland
188,Pava,Finland
189,Pere,Finland
190,Pialahti,Finland
191,Pii,Finland
192,Piilinen,Finland
193,Piilinjaervia,Finland
194,Pillila,Finland
195,Pinlahti,Finland
196,Pirli,Finland
197,Pjalo,Finland
198,Pola,Finland
199,Ppi,Finland
200,Pppla,Finland
201,Pra,Finland
202,Prva,Finland
203,Psi,Finland
204,Pula,Finland
205,Pylae,Finland
206,Raua,Finland
207,Rduskinen,Finland
208,Rduvkoru,Finland
209,Reski,Finland
210,Rhula,Finland
211,Riakkala,Finland
212,Rina,Finland
213,Rinaes,Finland
214,Rinautalahti,Finland
215,Rini,Finland
216,Riniemi,Finland
217,Rjoli,Finland
218,Roukkola,Finland
219,Roukkonummi,Finland
220,Roukkuniemi,Finland
221,Rouvo,Finland
222,Rouvola,Finland
223,Rua,Finland
224,Ruavos,Finland
225,Ruhejoki,Finland
226,Rukeikjalo,Finland
227,Rutelysvaara,Finland
228,Ruuervi,Finland
229,Ruvesi,Finland
230,Rvi,Finland
231,Ryhaejaervi,Finland
232,Ryhaejoki,Finland
233,Ryhaentae,Finland
234,Ryvaervi,Finland
235,Saeynaejaervia,Finland
236,Seno,Finland
237,Sie,Finland
238,Sihpi,Finland
239,Sii,Finland
240,Siina,Finland
241,Siinaejaerva,Finland
242,Siinaes,Finland
243,Siini,Finland
244,Siinpyhtaeae,Finland
245,Siippola,Finland
246,Silme,Finland
247,Sinpyhtae,Finland
248,Sinpyhtaeae,Finland
249,Sjoenmaeki,Finland
250,Taiae,Finland
251,Taro,Finland
252,Tii,Finland
253,Tri,Finland
254,Tula,Finland
255,Uhajoki,Finland
256,Uhajokia,Finland
257,Uhanka,Finland
258,Uhankajoki,Finland
259,Uhankokkalahti,Finland
260,Uhankoski,Finland
261,Uhankoskinen,Finland
262,Uhankylae,Finland
263,Uhantae,Finland
264,Uhantaeae,Finland
265,Uhantasalo,Finland
266,Uhantasalohja,Finland
267,Uhanti,Finland
268,Uhunaejoki,Finland
269,Ula,Finland
270,Ulu,Finland
271,Umaitii,Finland
272,Umeani,Finland
273,Umeenlinna,Finland
274,Umpalahti,Finland
275,Uprva,Finland
276,Uru,Finland
277,Uruvesi,Finland
278,Usko,Finland
279,Uva,Finland
280,Verini,Finland
281,Via,Finland
282,Viae,Finland
283,Volkoenmaetsalm,Finland
284,Vos,Finland
285,Yhaejaerva,Finland
286,Yhaejaervakoski,Finland
287,Yhaejaervenpaea,Finland
288,Yhaejaervi,Finland
289,Yhaejoki,Finland
290,Yhaejokia,Finland
291,Yhaentaeae,Finland
292,Yhaentasalmi,Finland
293,Yhaentasalo,Finland
294,Yhaentasalohja,Finland
295,Yhtae,Finland
296,Yhtaeae,Finland
297,Ylae,Finland
298,Ylkoenmaeki,Finland
299,Ymaeki,Finland
300,Yoka,Finland
