,Name,Origin
0, Bdrey,France
1, Bdrnetagny-Sur,France
2, Bond,France
3, Bonneine-Sur-C,France
4, Bonnes,France
5, Boues,France
6, Bourt,France
7, Chartin-Les,France
8, Esse,France
9, Gigonnes,France
10, Les-Bernardels,France
11, Lurcher,France
12, Mai,France
13, Marchaumur,France
14, Margueuil,France
15, Marie,France
16, Menil-En-Forez,France
17, Menucouexierra,France
18, Messeto-Pries,France
19, Missee,France
20, Montfaucourt,France
21, Oise,France
22, Pin,France
23, Pin-De-Mer,France
24, Pin-En-Bret,France
25, Pin-En-Bretagn,France
26, Pin-Lannoy-La-,France
27, Pnis-Le-Reine-,France
28, Quvigny,France
29, Rime,France
30, Rivilledignat,France
31, Roche-Sur-Orge,France
32, Rochette,France
33, Silgonnai,France
34, Sivillenes- Le,France
35, Suilleur,France
36, Sur-Ocre,France
37, Tault,France
38, Venil-En-Brido,France
39,'Elle,France
40,'Etannoy,France
41,'Etannoy-Les,France
42,'Ile-Val,France
43,'Ltges,France
44,'Mtfesnil,France
45,'Mtjevillenex,France
46,'Plle,France
47,-Antolles,France
48,-Aspresnillion,France
49,-Beuve-Les-Sur-,France
50,-Brecy,France
51,-Bretal,France
52,-Bretigueuillon,France
53,-Brigue,France
54,-Chantenas,France
55,-Chatel,France
56,-Chatillat,France
57,-Chevillegarent,France
58,-Clausaz,France
59,-Coglessetot,France
60,-Compierre-Des-,France
61,-Cormelle De Me,France
62,-Dame-La-Montai,France
63,-De-Saint-Du-Po,France
64,-Du-Vail,France
65,-En-Bourney,France
66,-En-Puissin,France
67,-Fleurs,France
68,-Garen,France
69,-Gorre,France
70,-Grandes,France
71,-Gravigny,France
72,-Gue,France
73,-Guyenne,France
74,-Iere-Sur-San-D,France
75,-L'Eventiennes,France
76,-Larce-Sur-Meda,France
77,-Le-Sur-Mer,France
78,-Les-Dijon,France
79,-Marchaume,France
80,-Martin-En-Chem,France
81,-Meur,France
82,-Orge,France
83,-Peuple,France
84,-Plagrand,France
85,-Priay,France
86,-Reine,France
87,-Remy-En-Valenc,France
88,-Roche,France
89,-Rogeroux,France
90,-Romaint-Gervai,France
91,-Romine-Le-Sur-,France
92,-Sainguestelici,France
93,-Saint-Just-Lav,France
94,-Saint-Mihielmu,France
95,-Saint-Pruges,France
96,-Salvagny-Les-F,France
97,-San-Sur-Siagny,France
98,-Sance-Sur-Meus,France
99,-Sur-Agout,France
100,-Sur-Eurentange,France
101,-Sur-Gorre,France
102,-Sur-Gorre-En-B,France
103,-Sur-Meuse,France
104,-Sur-Orges,France
105,-Sur-Sartin-En-,France
106,-Sur-Seine-En-F,France
107,-Sur-Sir-Bret,France
108,-Vetignat,France
109,-Veyle,France
110,-Zere,France
111,A Suint-Jean-De,France
112,Abbe-D'Arnoulas,France
113,Ac-Sur-Sallage,France
114,Agne,France
115,Agny-Soussarroi,France
116,Ain-De-Loirefon,France
117,Aint-Girontaire,France
118,Ais,France
119,Albias,France
120,Alizay,France
121,Ambille-Roi,France
122,Ambrontlhery,France
123,Ame-En-Val,France
124,Angeville,France
125,Anne,France
126,Anne-En-Rogersa,France
127,Anne-Le-Grangat,France
128,Annevillaint-Me,France
129,Annonay,France
130,Archauvetervais,France
131,Arche,France
132,Ard,France
133,Ardelle,France
134,Ardy,France
135,Argemontgomes-D,France
136,Argentiat,France
137,Arguerion,France
138,Argues,France
139,Arn,France
140,Arnardy,France
141,Arne,France
142,Arney-Souse,France
143,Arney-Sur-Agout,France
144,Ars,France
145,Asse,France
146,Asseaux,France
