,Name,Origin
0, Aadi,Georgia
1, Akda,Georgia
2, Aldba,Georgia
3, Aoda,Georgia
4, Aodakheta,Georgia
5, Aodaurianeti,Georgia
6, Aodi,Georgia
7, As'Aghveri,Georgia
8, Cdkhe,Georgia
9, Ck'Oe,Georgia
10, Clkha,Georgia
11, Clkhat'A,Georgia
12, Lilo,Georgia
13, Tl'Qbinia,Georgia
14, Tl'Qbu,Georgia
15, Tr'Amch'Amch'K,Georgia
16, Ts'Alak'I,Georgia
17, Ts'Kheta,Georgia
18,'Alk'Alt'Ubo,Georgia
19,'Atskheti,Georgia
20,'Ilashi,Georgia
21,'Khe,Georgia
22,'Obali,Georgia
23,'Q'Alak'I,Georgia
24,'Q'Ale,Georgia
25,'Q'Alenjikhalk',Georgia
26,'Q'Alk'A,Georgia
27,'Q'Alk'Alt'Ubo,Georgia
28,'Q'Alt'Ubo,Georgia
29,'Q'Altsiya Novy,Georgia
30,'Q'Aro,Georgia
31,'Q'Ibuleti,Georgia
32,'Q'Ibuli,Georgia
33,'Q'U,Georgia
34,'Romumi,Georgia
35,'Uri,Georgia
36,'Uriani,Georgia
37,Aagauli,Georgia
38,Aani,Georgia
39,Ageri,Georgia
40,Aghi,Georgia
41,Aghveri,Georgia
42,Ahasha,Georgia
43,Ahesi,Georgia
44,Akhere,Georgia
45,Ale,Georgia
46,Alent'Ia,Georgia
47,Alk'Alenjikhamu,Georgia
48,Alt'Ubo,Georgia
49,Altsiya Novyy A,Georgia
50,Amch'Ire,Georgia
51,Amch'Kheta,Georgia
52,Amch'Khi,Georgia
53,Amuri,Georgia
54,Ani,Georgia
55,Antsiya Novyy A,Georgia
56,Aq'Aro,Georgia
57,Aq'Ibuli,Georgia
58,Ara,Georgia
59,Atak'I,Georgia
60,Atskhinvali,Georgia
61,Auri,Georgia
62,Batumi,Georgia
63,Bda,Georgia
64,Belvach'Khisdzi,Georgia
65,Belvachaumianet,Georgia
66,Bigdndizi,Georgia
67,Bili,Georgia
68,Bilisi,Georgia
69,Bilists'Q'Aro,Georgia
70,Bkhere,Georgia
71,Bq'U,Georgia
72,Buti,Georgia
73,Bveli,Georgia
74,Ch'Amch'Ire,Georgia
75,Ch'Ire,Georgia
76,Chaumi,Georgia
77,Chhimvreli,Georgia
78,Chhiri,Georgia
79,Chhirjaani,Georgia
80,Chiaoe,Georgia
81,Chikhisdziri,Georgia
82,Chmimnrsinanda,Georgia
83,Chmitsiya Novyy,Georgia
84,Chziri,Georgia
85,Ckhorots'Q'Aro,Georgia
86,Cmkhevi,Georgia
87,Cmt'I,Georgia
88,Cumi,Georgia
89,D'Aho,Georgia
90,D'Ahorap'Ani,Georgia
91,Dali,Georgia
92,Dashi,Georgia
93,Dcakhi,Georgia
94,Deda,Georgia
95,Dia,Georgia
96,Diba,Georgia
97,Dibanisi,Georgia
98,Dlanurjaani,Georgia
99,Dlasuri,Georgia
100,Dloksmet'Ia,Georgia
101,Dqbalenjikhat'A,Georgia
102,Dqbali,Georgia
103,Dqbari,Georgia
104,Dranda,Georgia
105,Dsantsikhinjaur,Georgia
106,Dsantsiya Novyy,Georgia
107,Dsdkli,Georgia
108,Dusheta,Georgia
109,E'Rimorsk'Oe,Georgia
110,Eda,Georgia
111,Eda Chkhalt'Ubo,Georgia
112,Eda Chkhorap'An,Georgia
113,Eda Chkhorots'Q,Georgia
114,Eda Chkhorotsmi,Georgia
115,Edia,Georgia
116,Ekhisdziri,Georgia
117,Ele,Georgia
118,Eli,Georgia
119,Elvach'Amch'Ire,Georgia
120,Elvach'Ire,Georgia
121,Elvachauri,Georgia
122,Emi,Georgia
123,Eno,Georgia
124,Erjola,Georgia
125,Erjolauri,Georgia
126,Erjomi,Georgia
127,Esi,Georgia
128,Et'A,Georgia
129,Eti,Georgia
130,Ets,Georgia
131,Ets'Q'Ibuleti,Georgia
132,Etsikhe,Georgia
133,Etsiya Novyy Af,Georgia
134,Evi,Georgia
135,Fjo,Georgia
136,Fon,Georgia
137,Fqneti,Georgia
138,Fro,Georgia
139,Furi,Georgia
140,Fve,Georgia
141,G'A,Georgia
142,Gauli,Georgia
143,Gchaumiani,Georgia
144,Gchrianis Andez,Georgia
145,Gedia,Georgia
146,Geli,Georgia
147,Geri,Georgia
148,Gerjola,Georgia
149,Geti,Georgia
150,Gevi,Georgia
151,Ggldabani,Georgia
152,Gidi Lilo,Georgia
153,Gldaba,Georgia
154,Glvachaumiani,Georgia
155,Gqni,Georgia
156,H Aoda,Georgia
157,H'Uri,Georgia
158,Hach'Ire,Georgia
159,Hachauri,Georgia
160,Hagara,Georgia
161,Hagarejo,Georgia
162,Hagauli,Georgia
163,Haghi,Georgia
164,Haghveri,Georgia
165,Hakhere,Georgia
166,Hakheta,Georgia
167,Hakhi,Georgia
168,Haldaba,Georgia
169,Halk'A,Georgia
170,Halk'Alak'I,Georgia
171,Hamuri,Georgia
172,Hamuriani,Georgia
173,Handa,Georgia
174,Hashi,Georgia
175,Hat'Amch'Khe,Georgia
176,Hat'Auri,Georgia
177,Haumi,Georgia
178,Haumiani,Georgia
179,Hauri,Georgia
180,Hchhirvali,Georgia
181,Hedia,Georgia
182,Heli,Georgia
183,Helvach'Amch'Kh,Georgia
184,Helvach'Ire,Georgia
185,Helvach'Khi,Georgia
186,Helvachaumi,Georgia
187,Helvachaumianet,Georgia
188,Here,Georgia
189,Hesi,Georgia
190,Heta,Georgia
191,Heti,Georgia
192,Hevi,Georgia
193,Hinjauri,Georgia
194,Hinvali,Georgia
195,Hirjaani,Georgia
196,Hiro,Georgia
197,Hisdziri,Georgia
198,Hkhulo,Georgia
199,Hkhumianis Ande,Georgia
200,Horap'Ani,Georgia
201,Horap'Anisi,Georgia
202,Horots'Q'Aro,Georgia
203,Horots'Q'Ibuli,Georgia
204,Hplvschikjalnau,Georgia
205,Hq'Aro,Georgia
206,Hqlari,Georgia
207,Hqsalt'Ubo,Georgia
208,Hsyannuro,Georgia
209,Ht'I,Georgia
210,Hujo,Georgia
211,Hulo,Georgia
212,Humi,Georgia
213,Humianet'I,Georgia
214,Humiani,Georgia
215,Humianis Andezi,Georgia
216,Humianisi,Georgia
217,Huoo,Georgia
218,Hupi,Georgia
219,Husi,Georgia
220,Huti,Georgia
221,Huya,Georgia
222,Hvaragareli,Georgia
223,Hveri,Georgia
224,Hzerveli,Georgia
225,Hzutgi,Georgia
226,Ianet'A,Georgia
227,Ianet'I,Georgia
228,Iani,Georgia
229,Idi Lilo,Georgia
230,Iedia,Georgia
231,Iganauri,Georgia
232,Igdndi,Georgia
233,Igdndqzili,Georgia
234,Ihi,Georgia
235,Ili,Georgia
236,Imani,Georgia
237,Imeri,Georgia
238,Inda,Georgia
239,Indali,Georgia
240,Indza,Georgia
241,Iob'I,Georgia
242,Ire,Georgia
243,Isdziri,Georgia
244,Ispsiniaisi,Georgia
245,Itsikhere,Georgia
246,Iva,Georgia
247,Iya Novyy Afon,Georgia
248,Jagauli,Georgia
249,Jamnrs Tni,Georgia
250,Jani,Georgia
251,Java,Georgia
252,Jeli,Georgia
253,Jeva,Georgia
254,Jhorots'Q'U,Georgia
255,Jkhi,Georgia
256,Jnvali,Georgia
257,Jola,Georgia
258,Jorap'Ani,Georgia
259,Jvarejo,Georgia
260,Jvari,Georgia
261,Kagara,Georgia
262,Kdadi,Georgia
263,Keda Chkhamuri,Georgia
264,Kelashi,Georgia
265,Khat'Auri,Georgia
266,Khchhirveli,Georgia
267,Khe,Georgia
268,Kheti,Georgia
269,Khhisdziri,Georgia
270,Khuti,Georgia
271,Kpani,Georgia
272,Kplasha,Georgia
273,Ktaba,Georgia
274,Kutaisi,Georgia
275,Kveda Chkhaldab,Georgia
276,L Abosinia Iod,Georgia
277,L'Nlesi,Georgia
278,L'Qni,Georgia
279,Lagra,Georgia
280,Lari,Georgia
281,Lasuni,Georgia
282,Lerjomi,Georgia
283,Leti,Georgia
284,Levi,Georgia
285,Linnzaruja,Georgia
286,Linots'Q'A,Georgia
287,Linots'Q'Aro,Georgia
288,Linotsminda,Georgia
289,Lisi,Georgia
290,Lpsini,Georgia
291,Lskhe,Georgia
292,Magia,Georgia
293,Manglisi,Georgia
294,Marneuli,Georgia
295,Mbi,Georgia
296,Mbini,Georgia
297,Mbioi,Georgia
298,Mblosyyaanaruja,Georgia
299,Mboli,Georgia
300,Mbrola,Georgia
301,Mbrolauri,Georgia
302,Mest'Ia,Georgia
303,Met'I,Georgia
304,Misdziri,Georgia
305,Mkhorots'Q'Alak,Georgia
306,Mkhorots'Q'U,Georgia
307,Mmlgntaisi,Georgia
308,Mmrneuli,Georgia
309,Mqrntui,Georgia
310,Mutri Ts'Aghver,Georgia
311,Mzegvi,Georgia
312,Naruja,Georgia
313,Neni,Georgia
314,Net'A,Georgia
315,Net'Aponi,Georgia
316,Neti,Georgia
317,Ninotsminda,Georgia
318,Nisi,Georgia
319,Noby,Georgia
320,Nobyokbni,Georgia
321,Norykbfni,Georgia
322,Nra,Georgia
323,Obi,Georgia
324,Obilists'Q'Alt',Georgia
325,Oby,Georgia
326,Obyllburi,Georgia
327,Ochkhorots'Q'Al,Georgia
328,Oesi,Georgia
329,Oisi,Georgia
330,Oori,Georgia
331,Os'Inda,Georgia
332,Ouri,Georgia
333,P'Ani,Georgia
334,P'Anis Andezit',Georgia
335,P'Anisi,Georgia
336,P'Inandali,Georgia
337,P'Inda,Georgia
338,P'Oni,Georgia
339,P'Uri,Georgia
340,Pent'Ekhinjauri,Georgia
341,Pesi,Georgia
342,Pgni,Georgia
343,Plasha,Georgia
344,Plashi,Georgia
345,Plashuri,Georgia
346,Plashuriani,Georgia
347,Plasuri,Georgia
348,Plesi,Georgia
349,Plgstavi,Georgia
350,Plisi,Georgia
351,Plists'Q'Alenji,Georgia
352,Plos Ni,Georgia
353,Plsskhinvali,Georgia
354,Pni,Georgia
355,Poni,Georgia
356,Pplisi,Georgia
357,Ppsantiadi,Georgia
358,Pro,Georgia
359,Prsanauri,Georgia
360,Psraldaba,Georgia
361,Q'Alak'I,Georgia
362,Q'Alakuri,Georgia
363,Q'Alenjikhevi,Georgia
364,Q'Alk'A,Georgia
365,Q'Aro,Georgia
366,Q'Eli,Georgia
367,Q'Elisi,Georgia
368,Q'Ere,Georgia
369,Q'Eri,Georgia
370,Q'Ero,Georgia
371,Q'Ibuleti,Georgia
372,Q'Ibuli,Georgia
373,Q'U,Georgia
374,Qbeli,Georgia
375,Qbi,Georgia
376,Qets'Q'Aro,Georgia
377,Qeva,Georgia
378,Qgva,Georgia
379,Qlari,Georgia
380,Qlaryenjikhalk',Georgia
381,Qni,Georgia
382,Qnvali,Georgia
383,Qpesi,Georgia
384,Qqebu,Georgia
385,Qreli,Georgia
386,Qsa,Georgia
387,Qsaltsiya Novyy,Georgia
388,Qsart'Vilists'Q,Georgia
389,Qubu,Georgia
390,Qve,Georgia
391,Qyvv Lists'Q'Ib,Georgia
392,Ragareli,Georgia
393,Rastavi,Georgia
394,Reli,Georgia
395,Rest'Auri,Georgia
396,Rhstavi,Georgia
397,Rip'Shi,Georgia
398,Rists'Q'Ibuleti,Georgia
399,Rjomi,Georgia
400,Rkhat'A,Georgia
401,Rolauri,Georgia
402,Romuri,Georgia
403,Rpskhi,Georgia
404,Rsst'I,Georgia
405,S Oni,Georgia
406,S'Q'Alak'Uri,Georgia
407,S'Q'Alk'A,Georgia
408,S'Q'Aro,Georgia
409,S'Q'Ibuleti,Georgia
410,S'Q'Ibuli,Georgia
411,S'Q'U,Georgia
412,Sach'Amch'Ire,Georgia
413,Sach'Amch'Kheti,Georgia
414,Sactauri,Georgia
415,Sagara,Georgia
416,Sageri,Georgia
417,Sanauri,Georgia
418,Sdaki,Georgia
419,Sha,Georgia
420,Sikhaldaba,Georgia
421,Sikhalt'Ubo,Georgia
422,Sikhamuri,Georgia
423,Sjniaisi,Georgia
424,Skhaldabani,Georgia
425,Smindza,Georgia
426,Suchaumi,Georgia
427,Suchauri,Georgia
428,Suma,Georgia
429,Sumaisi,Georgia
430,Svaghveri,Georgia
431,T'Aponi,Georgia
432,T'Auri,Georgia
433,T'Q'Alenjikhi,Georgia
434,T'Q'Aro,Georgia
435,T'Q'Ibuli,Georgia
436,T'Quatak'I,Georgia
437,Tap'Ani,Georgia
438,Tiadi,Georgia
439,Tiani,Georgia
440,Ts'Q'Ibuli,Georgia
441,Ubo,Georgia
442,Udauri,Georgia
443,Udauta,Georgia
444,Ueet'Ia,Georgia
445,Ueli,Georgia
446,Uet'Aponi,Georgia
447,Uet'I,Georgia
448,Uet'Ia,Georgia
449,Ueti,Georgia
450,Ulashi,Georgia
451,Uli,Georgia
452,Ulkhaldaba,Georgia
453,Umi,Georgia
454,Umiani,Georgia
455,Uno,Georgia
456,Uoi,Georgia
457,Uri,Georgia
458,Urjaani,Georgia
459,Urjaanisi,Georgia
460,Usauta,Georgia
461,Usi,Georgia
462,Ut'I,Georgia
463,Ut'Ia,Georgia
464,Uta,Georgia
465,Utaisi,Georgia
466,Uti,Georgia
467,Utri Ts'Aghu,Georgia
468,Utri Ts'Indza,Georgia
469,Utri Ts'Khi,Georgia
470,Uts,Georgia
471,Utsiya Novyy Af,Georgia
472,Uzi,Georgia
473,V'Ramuri,Georgia
474,Veda Chkhorotsm,Georgia
475,Velasha,Georgia
476,Veli,Georgia
477,Veri,Georgia
478,Vh'Lrsp'Inandal,Georgia
479,Vhlesi,Georgia
480,Vhlevi,Georgia
481,Vhnigineni,Georgia
482,Vholauri,Georgia
483,Vilisi,Georgia
484,Vsni,Georgia
485,Y Afon,Georgia
486,Yagnveri,Georgia
487,Yagsheti,Georgia
488,Yagsragaragara,Georgia
489,Yann,Georgia
490,Yanni,Georgia
491,Yanniobsli,Georgia
492,Yannsakhe,Georgia
493,Yanntipdsni,Georgia
494,Yanntsp'Indza,Georgia
495,Yanntsuya,Georgia
496,Yannurgeti,Georgia
497,Yeda,Georgia
498,Yedia,Georgia
499,Yedjalt'Ubo,Georgia
500,Yegji,Georgia
501,Yibnlibtli,Georgia
502,Zegvi,Georgia
503,Zekqi,Georgia
504,Zetri Ts'Indza,Georgia
505,Zevvili,Georgia
506,Zhaphasha,Georgia
507,Zhhpmindza,Georgia
508,Zhsp'Inanda,Georgia
509,Zhsp'Inandali,Georgia
510,Zhsp'Inda,Georgia
511,Zhspani,Georgia
512,Zhspanis Andezi,Georgia
513,Zhspantiadi,Georgia
514,Zhspanuti,Georgia
515,Zhssantsiya Nov,Georgia
516,Zhsvi,Georgia
517,Zq'Qriba,Georgia
518,Zqgve,Georgia
519,Zqgveli,Georgia
520,Zqgveti,Georgia
521,Zqgvtaisi,Georgia
522,Zqnveli,Georgia
523,Zuggidi,Georgia
