,Name,Origin
0, B Ac ,Germany
1, B An Deraupten,Germany
2, Berg,Germany
3, Bern,Germany
4, Bernigeritz,Germany
5, Derburg,Germany
6, Derich,Germany
7, Duvenschilder,Germany
8, Duvensingen,Germany
9, Heim,Germany
10, Indena,Germany
11, Thiemig,Germany
12, Winkel,Germany
13,) Ie Enhausen,Germany
14,)-Hjitingolfsen,Germany
15,)Bach,Germany
16,)Dorf,Germany
17,)Edt,Germany
18,)El,Germany
19,)En,Germany
20,)Erach,Germany
21,)Erambach,Germany
22,)Ertsberg,Germany
23,)Hoenchingen,Germany
24,)Ow,Germany
25,-Heilburg,Germany
26,-Muehltroden,Germany
27,A)Ienfeld,Germany
28,A)Now,Germany
29,A)Sehden,Germany
30,A)Sen,Germany
31,A)Seolenbersber,Germany
32,Acberg,Germany
33,Actebban,Germany
34,Actebheim,Germany
35,Aeustedt,Germany
36,Ahteigerstetten,Germany
37,Ahtenburg,Germany
38,Akdenstedt,Germany
39,Akenpoldegk,Germany
40,Akent,Germany
41,Akheim,Germany
42,Akiersdorf,Germany
43,Akirn,Germany
44,Akn,Germany
45,Aknen,Germany
46,Akstedt,Germany
47,Akteina,Germany
48,Akten,Germany
49,Aktirz,Germany
50,Ald,Germany
51,Allhofenhorn,Germany
52,Am Inn,Germany
53,Amerg,Germany
54,Amurlangen,Germany
55,Anpertsberg,Germany
56,Arentrop,Germany
57,Arszell,Germany
58,Arthausen,Germany
59,Assen,Germany
60,Astedt,Germany
61,Astemmin,Germany
62,Astersteina,Germany
63,Asterwesenhofen,Germany
64,Attsteinsenriet,Germany
65,Aunussen,Germany
66,Aus Am See,Germany
67,Awsle,Germany
68,Azejsee,Germany
69,Bach,Germany
70,Bartel,Germany
71,Bben,Germany
72,Bchen,Germany
73,Bel,Germany
74,Bels,Germany
75,Ben,Germany
76,Bennsfeld,Germany
77,Bensterronfelsh,Germany
78,Bere,Germany
79,Bereibstadt,Germany
80,Berflachstadt B,Germany
81,Berg,Germany
82,Berg Im Heilige,Germany
83,Bergau,Germany
84,Beried,Germany
85,Beriedermoor,Germany
86,Beritzdorf,Germany
87,Berk,Germany
88,Bern,Germany
89,Bernberg,Germany
90,Berreu,Germany
91,Berronfelstersh,Germany
92,Bersberg,Germany
93,Bersdorf,Germany
94,Berzissen,Germany
95,Berzissenow,Germany
96,Bfen,Germany
97,Bgaitdorf,Germany
98,Biel,Germany
99,Bielerflach,Germany
100,Bissen,Germany
101,Blangen,Germany
102,Bngen,Germany
103,Bochena,Germany
104,Born,Germany
105,Branstettel,Germany
106,Brau,Germany
107,Brueckar,Germany
108,Bten,Germany
109,Burg,Germany
110,Burgberg,Germany
111,Cangen,Germany
112,Cbach,Germany
113,Cbachstenburg,Germany
114,Cbeestein,Germany
115,Cben,Germany
116,Cbenstorf,Germany
117,Cbrenstadt,Germany
118,Chbach,Germany
119,Chel,Germany
120,Chen,Germany
121,Chentrup,Germany
122,Cherner,Germany
123,Chernern,Germany
124,Childau,Germany
125,Chirma,Germany
126,Chkoebeselheim,Germany
127,Chtenahn,Germany
128,Chtenlein,Germany
129,Chterden,Germany
130,Chtrup,Germany
131,Ckrug,Germany
132,Cmersberitz,Germany
133,Coburg,Germany
134,Coburgberg,Germany
135,Coburgstrup,Germany
136,Codu,Germany
137,Coebel,Germany
138,Coenchen,Germany
139,Coerbig,Germany
140,Coerborn,Germany
141,Coern Am See,Germany
142,Coernersberg,Germany
143,Coerpertsheim,Germany
144,Cogenhausenfels,Germany
145,Corchenpoldinga,Germany
146,Corchern,Germany
147,Corchzart,Germany
148,Corgenfeld,Germany
149,Corunnenfels,Germany
150,Den,Germany
151,Der,Germany
152,Derborn,Germany
153,Dermohrmohrmohr,Germany
154,Dersberg,Germany
155,Destedt,Germany
156,Diebenkirchel,Germany
157,Diepholfstedt,Germany
158,Diger-Ohrstauf,Germany
159,Ding,Germany
160,Dingen,Germany
161,Dorf,Germany
162,Eal,Germany
163,Eale,Germany
164,Ebesheinsingent,Germany
165,Ebullay,Germany
166,Ecder,Germany
167,Ecdersbergen,Germany
168,Ecdeuessen,Germany
169,Ecieihen,Germany
170,Ehrich,Germany
171,Ehsen,Germany
172,Eich,Germany
173,Eide,Germany
174,Eien,Germany
175,Eigen,Germany
176,Eihen,Germany
177,Eil,Germany
178,Eilburgstein,Germany
179,Eilersdorf,Germany
180,Eilsdorf,Germany
181,Eilsen,Germany
182,Ein,Germany
183,Eingen,Germany
184,Eingensingen Be,Germany
185,Einsberghausen,Germany
186,Eiseld,Germany
187,Ekau,Germany
188,Elbrunnewitz,Germany
189,Elendorf,Germany
190,Eler,Germany
191,Ellenbach,Germany
192,Ellhausen,Germany
193,Ellingen,Germany
194,Emig,Germany
195,Emline,Germany
196,Emlingolfingen ,Germany
197,Emoenigsbrunn,Germany
198,Emterrenstadt B,Germany
199,Ensingen Bei Co,Germany
200,Enstedt,Germany
201,Ersbach,Germany
202,Ersden,Germany
203,Esbothen,Germany
204,Esdeisesheim,Germany
205,Eshoop,Germany
206,Essa,Germany
207,Esseilsdorf,Germany
208,Essel,Germany
209,Esseratsheim,Germany
210,Esterbach,Germany
211,Estetten,Germany
212,Ett,Germany
213,Ettel,Germany
214,Etterstdorf,Germany
215,Etterwitz,Germany
216,Euhausen,Germany
217,Eustrow,Germany
218,Euwinkel,Germany
219,Feld,Germany
220,Feldorf,Germany
221,Felstett,Germany
222,Fenwohr,Germany
223,Fustreu,Germany
224,Gartow,Germany
225,Geisesheim,Germany
226,Geissenehringen,Germany
227,Gen,Germany
228,Gensbersbachen,Germany
229,Genstedt,Germany
230,Georgen,Germany
231,Ger-Ohrstedt,Germany
232,Geretschausenac,Germany
233,Geretschusstein,Germany
234,Gerichtenbach,Germany
235,Gerod,Germany
236,Gerzen,Germany
237,Gerzissen,Germany
238,Ghausen,Germany
239,Gnyurg,Germany
240,Gtrasseilbersbe,Germany
241,Gwzee,Germany
242,Hal,Germany
243,Halgerichten,Germany
244,Ham,Germany
245,Hatzhuettenberg,Germany
246,Hausen,Germany
247,Heim,Germany
248,Heiterheim,Germany
249,Hellhau,Germany
250,Hemtell,Germany
251,Hgen,Germany
252,Hhernitz,Germany
253,Hhttmunchen,Germany
254,Hillertswiesee,Germany
255,Hkliethenheim,Germany
256,Hlendelburg,Germany
257,Hoenigslustrop,Germany
258,Holzhausen,Germany
259,Hrot,Germany
260,Hseitbach,Germany
261,Hstadt,Germany
262,Hstadt Beim,Germany
263,Hstaedt,Germany
264,Htimke,Germany
265,Hufing,Germany
266,Hzerstdorf,Germany
267,Iberg,Germany
268,Iberkusenebreme,Germany
269,Idi,Germany
270,Iec,Germany
271,Iechel,Germany
272,Iechte,Germany
273,Ied,Germany
274,Iefe,Germany
