,Name,Origin
0, Gros,Greece
1, Micharia,Greece
2, Nikaia,Greece
3, Rpioda,Greece
4,", Oarnasileidi",Greece
5,",Ali Vrysi",Greece
6,",Anaterato",Greece
7,",Ata",Greece
8,",Ataiochomenisi",Greece
9,",Atandro",Greece
10,",Attos",Greece
11,",Stialyvia",Greece
12,",Stiarlampaka",Greece
13,",Xos",Greece
14,A Kalla,Greece
15,A Lamilia,Greece
16,A Vrysi,Greece
17,Aali,Greece
18,Aalia,Greece
19,Aavros,Greece
20,Aeaximia,Greece
21,Agaita,Greece
22,Agia,Greece
23,Agios Niko,Greece
24,Agios Polygyros,Greece
25,Agios Polykastr,Greece
26,Agolmiannis Ili,Greece
27,Agritsos,Greece
28,Agros,Greece
29,Ahgos,Greece
30,Aia,Greece
31,Aianos,Greece
32,Aianthi,Greece
33,Aida,Greece
34,Aidipsos,Greece
35,Aigini,Greece
36,Aikouda,Greece
37,Airakastratsos,Greece
38,Airakomi,Greece
39,Airia,Greece
40,Akatolemaida,Greece
41,Aki,Greece
42,Akostasi,Greece
43,Akrygia Plateia,Greece
44,Alaio,Greece
45,Alampanos,Greece
46,Alandinos,Greece
47,Alanida,Greece
48,Alekhoni,Greece
49,Ali Parali,Greece
50,Alkiada,Greece
51,Almvpkadonassa,Greece
52,Alo Oropoli,Greece
53,Amakrychikopele,Greece
54,Amasilissos,Greece
55,Amorgios,Greece
56,Amos,Greece
57,Ampsakos,Greece
58,Amyntalioupoli,Greece
59,Ana,Greece
60,Analio,Greece
61,Anatoni,Greece
62,Andros,Greece
63,Androu,Greece
64,Anion,Greece
65,Ano Karelleri,Greece
66,Anthira,Greece
67,Aos,Greece
68,Aphanasiliko,Greece
69,Apira,Greece
70,Appados,Greece
71,Apsalon,Greece
72,Apsanon,Greece
73,Aravi,Greece
74,Argalaios Nikar,Greece
75,Argos,Greece
76,Argyropyrgos,Greece
77,Argyros,Greece
78,Ari,Greece
79,Arina,Greece
80,Arithi,Greece
81,Arithos,Greece
82,Aritsa,Greece
83,Arkhaia Mari,Greece
84,Arkhaina,Greece
85,Arkou,Greece
86,Arlovasionos,Greece
87,Arnestiati,Greece
88,Arnestiro,Greece
89,Arnissilesi,Greece
90,Arontalakou,Greece
91,Arrouda,Greece
92,Arspenitos,Greece
93,Artos,Greece
94,Asa,Greece
95,Asaloniko,Greece
96,Asilesimeri,Greece
97,Asioni,Greece
98,Askalastiaia,Greece
99,Atanatonikopelo,Greece
100,Ateioi,Greece
101,Athagostoloma,Greece
102,Athi,Greece
103,Atis,Greece
104,Ato Asimeriyial,Greece
105,Atochimatio,Greece
106,Atolemaida,Greece
107,Atri,Greece
108,Ausi,Greece
109,Ava,Greece
110,Avalliko,Greece
111,Avari,Greece
112,Avarina,Greece
113,Avato Asimia,Greece
114,Avato Soula,Greece
115,Avato Tithara,Greece
116,Avrio,Greece
117,Avrokomi,Greece
118,Avrotiko,Greece
119,Axos,Greece
120,Ayra,Greece
121,Azaiokastiaia,Greece
122,Azgia Micha,Greece
123,Azschalkoutrate,Greece
124,Azsptration,Greece
125,Baki,Greece
126,Bapnatvilimos,Greece
127,Bisos,Greece
128,Bonidio,Greece
129,Boviko,Greece
130,Bra,Greece
131,Bupolivos,Greece
132,Cchada,Greece
133,Chaia,Greece
134,Chalatero,Greece
135,Chalkismenos,Greece
136,Cholaonida,Greece
137,Chori,Greece
138,Cia Kios Nikola,Greece
139,Ciraki,Greece
140,Cpalamianon,Greece
141,Critsa,Greece
142,Csa,Greece
143,Ctra,Greece
144,Cyli,Greece
145,Czarontamos,Greece
146,Czlippiada,Greece
147,Cznia,Greece
148,Cznitsa,Greece
149,Dri,Greece
150,Dro,Greece
151,"E, Taxiarches",Greece
152,"E, Vasios",Greece
153,Eapolis,Greece
154,Ecsion,Greece
155,Ecsrr,Greece
156,Eemosynoiki,Greece
157,Eerosia,Greece
158,Eerotikola,Greece
159,Eerotismenitos,Greece
160,Eevos,Greece
161,Eezsondalochori,Greece
162,Efkimmeroudi,Greece
163,Eilion,Greece
164,Eiri,Greece
165,Eirina,Greece
166,Eirio,Greece
167,Eissos,Greece
168,Eleio,Greece
169,Eraki,Greece
170,Eratochorio,Greece
171,Eretra,Greece
172,Eretratiko,Greece
173,"Ergyroupolis, M",Greece
174,Eri,Greece
175,Eristrati,Greece
176,Ermi,Greece
177,Ero,Greece
178,Erontis Ilia,Greece
179,Erythresterousa,Greece
180,Esanovikeioupol,Greece
181,Eselisos,Greece
182,Evemona,Greece
183,Evrokopo,Greece
184,Evron,Greece
185,Eyros,Greece
186,Ezaki,Greece
187,Ezchada,Greece
188,Ezchalas,Greece
189,Ezroi,Greece
190,Ezropos,Greece
191,Faki,Greece
192,Fanokladhata,Greece
193,Fanthia,Greece
194,Fanti,Greece
195,Fantis Ionigrin,Greece
196,Fikleies,Greece
197,Fiko,Greece
198,Fkimmi,Greece
199,Fos,Greece
200,Fria,Greece
201,Frianormos Skop,Greece
202,Friantaliartos,Greece
203,Gaiopyrgos,Greece
204,Galaiomo,Greece
205,Galia,Greece
206,Galiarches,Greece
207,Gastocholoma,Greece
208,"Gastolis, Mari",Greece
209,Gefyraskevi,Greece
210,Gerammero,Greece
211,Gerateia,Greece
212,Gia Galaiokas,Greece
213,Gia Mari,Greece
214,Gialini,Greece
215,Giani,Greece
216,Giania,Greece
217,Gianiana,Greece
218,Gianio,Greece
219,Gianis,Greece
220,Giannina,Greece
221,Giannitsa,Greece
222,Gianokladhata,Greece
223,Gianopoli,Greece
224,Gianopoussandro,Greece
225,Gianorea,Greece
226,Gianos,Greece
227,Giantis,Greece
228,Gini,Greece
229,Gios Chalki,Greece
230,Gios Cholari,Greece
231,Gios Vrysi,Greece
232,Gmanokladhatano,Greece
233,Goumerou,Greece
234,Grama,Greece
235,Grammata,Greece
236,Grammatanopou,Greece
237,Grammena,Greece
238,Grammenos,Greece
239,Grammeri,Greece
240,Grammeriakomi,Greece
241,Gramos,Greece
242,Gramos Athy,Greece
243,Groi,Greece
244,Gsamatai,Greece
245,Gtalia,Greece
246,Gxos,Greece
247,Gylos,Greece
248,Hia,Greece
249,Hira,Greece
250,Hiraeus,Greece
251,Hyra,Greece
252,Iama,Greece
253,Ianio,Greece
254,Ianomi,Greece
255,Ianoreia,Greece
256,Iarchortari,Greece
257,Iarthos,Greece
258,Ichara,Greece
259,Ies,Greece
260,Ifanos,Greece
261,Ifanteio,Greece
262,Ifision,Greece
263,Ifnia,Greece
264,Ifoni,Greece
265,Ifonia,Greece
266,Igalastochia,Greece
267,Igalo,Greece
268,Igini,Greece
269,Igritsoma,Greece
270,Iiana,Greece
271,Iianiakomaratei,Greece
272,Iiannitsa,Greece
273,Ikaia,Greece
274,Iki,Greece
275,Ikismos,Greece
276,Ikleimonia,Greece
277,Ikleimos,Greece
278,Iko,Greece
279,Ikolargos,Greece
280,Ilia,Greece
281,Iliarchessa,Greece
282,Iliarchessandri,Greece
283,Iliarthonidipse,Greece
284,Iliartos,Greece
285,Ilias,Greece
286,Iliki,Greece
287,Ilinoula,Greece
288,Ilio,Greece
289,Ilion,Greece
290,Iliou,Greece
291,Ilma,Greece
292,Imia,Greece
293,Imio,Greece
294,Imnon,Greece
295,Imos Adhriania,Greece
296,Imyihi,Greece
297,Indos,Greece
298,Ini,Greece
299,Inida,Greece
300,Inidi,Greece
301,Inio,Greece
302,Inos,Greece
303,Ion,Greece
304,Ios,Greece
305,Ira,Greece
306,Iraeus,Greece
307,Irakas,Greece
308,Iraki,Greece
309,Irakionysos,Greece
310,Irakleimos,Greece
311,Iraklithos,Greece
312,Iri,Greece
313,Iros,Greece
314,Isa,Greece
315,Isaropoli,Greece
316,Ismos,Greece
317,Isos,Greece
318,Issini,Greece
319,Itagroi,Greece
320,Itagros,Greece
321,Itaio,Greece
322,Itandrithalki,Greece
323,Itanon,Greece
324,Ithousa,Greece
325,Itrousa,Greece
326,Itsa,Greece
327,Ius,Greece
328,Iussa,Greece
329,Ivana,Greece
330,Ivatoli,Greece
331,Izarinthi,Greece
332,Izario,Greece
333,Kallargos,Greece
334,Karaina,Greece
335,Kassochorina,Greece
336,Kato Souda,Greece
337,Kato Tithi,Greece
338,Katouni,Greece
339,Kerakastira,Greece
340,Keramos,Greece
341,Kerati,Greece
342,Kerato Nero,Greece
343,Kifisia,Greece
344,Kimmi,Greece
345,Kioi,Greece
346,Kmpania,Greece
347,Kna,Greece
348,Komi,Greece
349,Kou,Greece
350,Kouda,Greece
351,Kousa,Greece
352,Kozanioi,Greece
353,Krai,Greece
354,Krata,Greece
355,Krya,Greece
356,Kythrestousa,Greece
357,Lagoreia,Greece
358,Lagorevma,Greece
359,Laiomon,Greece
360,Lamanio,Greece
361,Lamilistori,Greece
362,Lampakastratolo,Greece
363,Lardos,Greece
364,Latanio,Greece
365,Latsion,Greece
366,Laudri,Greece
367,Lavrokopi,Greece
368,Lbghalkida,Greece
369,Lclfaki,Greece
370,Lechaia,Greece
371,Lecharopoulo,Greece
372,Lefka,Greece
373,Leia,Greece
374,Leidi,Greece
375,Leimos,Greece
376,Leio,Greece
377,Leitos,Greece
378,Lemaida,Greece
379,Leri,Greece
380,Lertar,Greece
381,Levidi,Greece
382,Lfakion,Greece
383,Lfgritagroi,Greece
384,Lfialopi,Greece
385,Lfkklmi,Greece
386,Lfkkrina,Greece
387,Lfratis,Greece
388,Lfratista,Greece
389,Lgchi,Greece
390,Lgomi,Greece
391,Liko,Greece
392,Likontados,Greece
393,Likrateia,Greece
394,Linion,Greece
395,Lis,Greece
396,"Lis, Magnisia",Greece
397,Livanasti,Greece
398,Lmi,Greece
399,Lofos,Greece
400,Loundalos Niko,Greece
401,Louni,Greece
402,Lourla,Greece
403,Lrammateia,Greece
404,Lsxos,Greece
405,Ltiko,Greece
406,Lumitanio,Greece
407,Lxopoula,Greece
408,Lyma,Greece
409,Lzbggroi,Greece
410,Mamados,Greece
411,Mandros,Greece
412,Mari,Greece
413,Marion,Greece
414,Mava,Greece
415,Meakrina,Greece
416,Megalannisi,Greece
417,Megrafos,Greece
418,Meirionytos,Greece
419,Melis,Greece
420,Mengeleia,Greece
421,Mfila,Greece
422,Miali,Greece
423,Milochi,Greece
424,Mimnina,Greece
425,Minthi,Greece
426,"Mitroupolis, Ma",Greece
427,Mmmi,Greece
428,Mocholaos,Greece
429,Mocholoma,Greece
430,Modhion,Greece
431,Moliki,Greece
432,Molion,Greece
433,Mon,Greece
434,Morgios Markado,Greece
435,Morgios Panokla,Greece
436,Morgis,Greece
437,Mpaka,Greece
438,Mpani,Greece
439,Mpeleimos,Greece
440,Mpelopi,Greece
441,Mpiades,Greece
442,Mpylida,Greece
443,Mravolaos,Greece
444,Mstion,Greece
445,Mtgritsa,Greece
446,Mvikeios Georgi,Greece
447,Mztra,Greece
448,Mzvrgos,Greece
449,Nades,Greece
450,Naousa,Greece
451,Naxos,Greece
452,Neia,Greece
453,Ngilies,Greece
454,Nhi,Greece
455,Nigria,Greece
456,Nigrinoupolis,Greece
457,Nigrithoni,Greece
458,Nikaia,Greece
459,Nikarnassa,Greece
460,Nikarpenis,Greece
461,Niki,Greece
462,Nikismos,Greece
463,Nikiti,Greece
464,Nikitissos,Greece
465,Niko,Greece
466,Nikonidionysos,Greece
467,Nikopeio,Greece
468,Nikopolissia,Greece
469,Noa,Greece
