,Name,Origin
0, . Xei.Ykerenye,Hungary
1, Amio,Hungary
2, Asi,Hungary
3, Av.Ekegyhaza,Hungary
4, Er,Hungary
5, Erhida,Hungary
6, Ia. Iercsi,Hungary
7, Ia. Inxep.Ende,Hungary
8, Ia. Iny,Hungary
9, Ia. Irabradsza,Hungary
10, Ii. Ekesztass,Hungary
11, Ii. Kerueloepj,Hungary
12, Ik,Hungary
13, Iklada,Hungary
14, Iklar,Hungary
15, Il.,Hungary
16, Irige.Szentgyo,Hungary
17, Irkad,Hungary
18, Iu.Kerueloep,Hungary
19, Nod,Hungary
20, Polna,Hungary
21, Sxvkxazxasxmai,Hungary
22, Uhlanszentmikl,Hungary
23, Vi. Keremer,Hungary
24, Vii,Hungary
25, Vv. Keruely,Hungary
26, Vvik,Hungary
27, Xi. Kereszt,Hungary
28, Xi. Kertes,Hungary
29, Xi. Keruelebia,Hungary
30, Xi. Keruelek,Hungary
31, Xi. Keruelet,Hungary
32, Xii. Keremedi,Hungary
33,. Esszentand,Hungary
34,.Ak,Hungary
35,.Akk,Hungary
36,.Akkeruelet,Hungary
37,.Akkoes,Hungary
38,.Akkuemecske,Hungary
39,.Akkuemk,Hungary
40,.Akkuemkered,Hungary
41,.Azarligetcsern,Hungary
42,.Iszalom,Hungary
43,.Om,Hungary
44,.Osegeny,Hungary
45,.Osegrad,Hungary
46,.Osegyhalaszlo,Hungary
47,.Penyoshaza,Hungary
48,.Ter,Hungary
49,.Tonk,Hungary
50,A Li.Badja,Hungary
51,Aaj,Hungary
52,Aalmadi,Hungary
53,Aalmas,Hungary
54,Aaplanszentlany,Hungary
55,Abadja,Hungary
56,Aber,Hungary
57,Abocs,Hungary
58,Aboglaszadocsa,Hungary
59,Abxavio,Hungary
60,Abxu. Oep,Hungary
61,Abxu..Oes,Hungary
62,Acs,Hungary
63,Acsa,Hungary
64,Acsi,Hungary
65,Acsond,Hungary
66,Acsonszeg,Hungary
67,Acsordanya,Hungary
68,Ada,Hungary
69,Adarad,Hungary
70,Agamer,Hungary
71,Aglod,Hungary
72,Agocs,Hungary
73,Agpotcsed,Hungary
74,Agyarbagyorgyes,Hungary
75,Agyarligetudvar,Hungary
76,Agycseknad,Hungary
77,Agydoros,Hungary
