,Name,Origin
0, Baj Baghat,India
1, Irapur,India
2, Ksti,India
3,",Arasat",India
4,",Artalacherumbu",India
5,",As",India
6,",Hatrauliamnaga",India
7,",Jrauranam",India
8,",Jro",India
9,",Nultanuj Gandl",India
10,-Chi,India
11,-Eohanda,India
12,-Eohandurga,India
13,-Eohangallupatt,India
14,-Eohanpur,India
15,-Eri,India
16,-Gividu,India
17,-Ondawara,India
18,Aattur,India
19,Ahanpur,India
20,Aiandi,India
21,Airarai,India
22,Akonamara,India
23,Alaiyam,India
24,Ali,India
25,Altanpura,India
26,Amarai Patipala,India
27,Amboli,India
28,And,India
29,Andi,India
30,Anduasi,India
31,Anpur,India
32,Anuj Garh,India
33,Apetta,India
34,Arasansol,India
35,Arimganj,India
36,Asindarasannana,India
37,Asipalasi,India
38,Ataba,India
39,Atra,India
40,Atrauni,India
41,Attumalasore,India
42,Attur,India
43,Aurkelam,India
44,Ayachera,India
45,Ayal Bazar,India
46,Bad,India
47,Bada,India
48,Bandhi Nagiri,India
49,Bdahal,India
50,Bithanala,India
51,Bnagh,India
52,Bngaimapara,India
53,Bntraurgari,India
54,Bodavakottai,India
55,Brahmang,India
56,Bri,India
57,Byadi,India
58,Chalackatti,India
59,Chalim,India
60,Cher,India
61,Cheravallupatta,India
62,Cheri,India
63,Cheru,India
64,Cherumbad,India
65,Cherumban,India
66,Chhiwar,India
67,Chi,India
68,Chin,India
69,Chindarwa,India
70,Chindki,India
71,Chindragar,India
72,Chingaimapur,India
73,Chirdi,India
74,Choli,India
75,Cjeri,India
76,Ckattukki,India
77,Ckattukkota,India
78,Cmalawai,India
79,Cner,India
80,Corada,India
81,Dag-Betarwad,India
82,Daipur Jhirathp,India
83,Dalghatgi,India
84,Danasalner,India
85,Danukulaothitam,India
86,Dapoor,India
87,Dar,India
88,Dara,India
89,Darma,India
90,Darmal,India
91,Darmalabad,India
92,Darpeta,India
93,Darpur,India
94,Dasgao,India
95,Dda Nakpura,India
96,Ddapur,India
97,Diri,India
98,Dpur,India
99,Dur,India
100,Duranam,India
101,Durga,India
102,Durgapahad,India
103,Dus,India
104,Edana,India
105,Edanani,India
106,Endla,India
107,Era,India
108,Eravakot,India
109,Eravalur,India
110,Eshpuram,India
111,Eshvar,India
112,Falaiyam,India
113,Fana,India
114,Fangaimapur Kal,India
115,Fanganj,India
116,Fgar Katra,India
117,Fiba,India
118,Frangrol,India
119,Franpur,India
120,Fura,India
121,Galaiyam,India
122,Galapur,India
123,Galaunpur,India
124,Galkudurgar,India
125,Ganj,India
126,Ganj West,India
127,Gaon,India
128,Gar Katipuram,India
129,Garh,India
130,Gari,India
131,Giranakkudi,India
132,Girar Shahpur,India
133,Giria,India
134,Girik,India
135,Girikakur,India
136,Girpur,India
137,Gtok,India
138,Haiganj,India
139,Halabad,India
140,Halpur,India
141,Haltancharibaba,India
142,Hamhari,India
143,Hamli,India
144,Hammam,India
145,Hamrajpur Kotpu,India
146,Hand,India
147,Hari,India
148,Harpur,India
149,Harpurarai Patt,India
150,Hatraulam,India
151,Hayal Bagha Pur,India
152,Herla,India
153,Hikeshorai,India
154,Hur,India
155,Idar,India
156,Ijapur,India
157,Ijnor,India
158,Ijua,India
159,Ikkal,India
160,Ikota,India
161,Ikur,India
162,Ila,India
163,Illi,India
164,Illiagarh,India
165,Illiamnagalawad,India
166,Illiamnagar,India
167,Illiamnagarh,India
168,Illuparappattip,India
169,Illupat,India
170,Illupatti,India
171,Illur,India
172,Illuru,India
173,Inda,India
174,Indanakpur,India
175,Indanapettai,India
176,Indangar,India
177,Indapur,India
178,Indragarh,India
179,Indragarpur,India
180,Indur,India
181,Ing,India
182,Ingad,India
183,Ingadharpur,India
184,Ingaimapur,India
