,Name,Origin
0,  Heydar-E Manj,Iran
1, Ajab Shahr,Iran
2, Avandar-E Manj,Iran
3, Bor,Iran
4, Emam Hasangerd,Iran
5, Emam Khomeyni,Iran
6, Genarab,Iran
7, Hanu,Iran
8, Hard,Iran
9, Iyeh,Iran
10, Jandariman,Iran
11, Jzhsham,Iran
12, Kord,Iran
13, Lhasangerd,Iran
14, Manjil,Iran
15, Mmnaharb,Iran
16, Pabedan,Iran
17, Rab,Iran
18, Shahr,Iran
19, Shahra,Iran
20, Shir,Iran
21, Uhar,Iran
22, Ven Iyeh,Iran
23, Yen,Iran
24, Zabad-E Gharb,Iran
25, Zabahar,Iran
26, Zahr,Iran
27,'An,Iran
28,'Ask,Iran
29,'Dm Shahran,Iran
30,'E ,Iran
31,'E  Avar,Iran
32,'Eh,Iran
33,'Eh Bon,Iran
34,'Ek,Iran
35,'Em Shahr,Iran
36,'Em Shir,Iran
37,'En,Iran
38,'Ham,Iran
39,'Ij N,Iran
40,'Im Shir,Iran
41,'In Dezh,Iran
42,'In Zahr,Iran
43,'In Zahr-E Gena,Iran
44,'In Zahran,Iran
45,'Lomayan,Iran
46,'M  Aveh Tappeh,Iran
47,'Ol,Iran
48,'U' Nab,Iran
49,'Veh,Iran
50,'Vez,Iran
51,'Ye Kord,Iran
52,'Zm Bahark,Iran
53,'`Eh-Ye Kord,Iran
54,- Gbard,Iran
55,- Hesat,Iran
56,- Kpvdehak,Iran
57,- Mdmuniyeh,Iran
58,- Mhnjar,Iran
59,- `'San,Iran
60,-'Eemam Hasal,Iran
61,-'G Aaveh,Iran
62,-'K Mabahar,Iran
63,-'` Aeped,Iran
64,-D Kord,Iran
65,-Dymhar,Iran
66,-El`Ahar,Iran
67,-G'`Asangerd,Iran
68,-Gugabahark,Iran
69,-J Bon,Iran
70,-P Pebdadiman,Iran
71,-`E -E Heydarim,Iran
72,-`Pmddashir,Iran
73,A'Em Shahr-E Ge,Iran
74,A'En,Iran
75,A`Ed-E Kord,Iran
76,A`Ed-E Shahr,Iran
77,Abad,Iran
78,Adsar,Iran
79,Afresh,Iran
80,Aiskan,Iran
81,Akveh,Iran
82,Al`Eh-Ye Kord,Iran
83,Allat,Iran
84,Alus,Iran
85,Aluyeh,Iran
86,Ana,Iran
87,Anabad,Iran
88,Ar-E Maharb,Iran
89,Ardash,Iran
90,Ash,Iran
91,Asham,Iran
92,At-E Babad,Iran
93,Avar,Iran
94,Aveh,Iran
95,Avu',Iran
96,B'Ad,Iran
97,B'Is ,Iran
98,Bahark,Iran
99,Bdmashahr-E Gen,Iran
100,Behar,Iran
101,Bgad-E Ghard,Iran
