,Name,Origin
0, Gsuw,Iraq
1,-Ymaythah,Iraq
2,Bin,Iraq
3,D Dawr,Iraq
4,Drah,Iraq
5,Drahiyat `Atbah,Iraq
6,Dt Al Faw,Iraq
7,Dtxan,Iraq
8,Dyraw,Iraq
9,Dythah,Iraq
10,Dyyarahiyah,Iraq
11,Frkar,Iraq
12,Fur,Iraq
13,Glujayl,Iraq
14,Gwurta,Iraq
15,Gxrab,Iraq
16,Hllshaw,Iraq
17,L 'Aziziyat Al ,Iraq
18,L 'Aziziyat Hil,Iraq
19,L Ba'Aj,Iraq
20,L Baharqi,Iraq
21,L Fall 'Aziziya,Iraq
22,L Faw,Iraq
23,L Fuhud,Iraq
24,L Guhayy,Iraq
25,L Gukan,Iraq
26,L Hadize,Iraq
27,L Hash Shamiyat,Iraq
28,L Hash Shar,Iraq
29,L Hashim Al Qa',Iraq
30,L Hawitah,Iraq
31,L Hiran,Iraq
32,L Jabayil,Iraq
33,L Jadidah,Iraq
34,L Jadimah,Iraq
35,L Jadiya,Iraq
36,L Jadiyat Hilla,Iraq
37,L Kahla',Iraq
38,L Khalil,Iraq
39,L Khanadhirah,Iraq
40,L Khasib,Iraq
41,L Kut,Iraq
42,L Manadhirah,Iraq
43,L Mawsil Al Kha,Iraq
44,L Miqdad,Iraq
45,L Oahla',Iraq
46,L Oan,Iraq
47,L Qa'Im,Iraq
48,L Qadithah,Iraq
49,L Qadiyah,Iraq
50,L Qurnah,Iraq
51,L Ujah Al Qurna,Iraq
52,L Xur,Iraq
53,L `Abbasi,Iraq
54,L-Hamdaniyat Gh,Iraq
55,L-Hamiyah,Iraq
56,L-Hamiyat Hirah,Iraq
57,L-Hammas,Iraq
58,L-Hamzah,Iraq
59,Ladithah,Iraq
60,Lfqar,Iraq
61,Ll 'Afar,Iraq
62,Ll 'Aziziya,Iraq
63,Ll 'Aziziyah,Iraq
64,Ll 'Aziziyat Al,Iraq
65,Ll 'Aziziyat Ba,Iraq
66,Ll 'Aziziyat Gh,Iraq
67,Ll 'Aziziyat Hi,Iraq
68,Ll 'Aziziyat Il,Iraq
69,Ll 'Aziziyat Sa,Iraq
70,Ll 'Aziziyat `A,Iraq
71,Ll-Aamdaniyah,Iraq
72,Ll-Aamr,Iraq
73,Ll-Hammas,Iraq
74,Llis,Iraq
75,Llo,Iraq
76,Llqhaykhab,Iraq
77,Llujah,Iraq
78,Llujah Al Hilla,Iraq
79,Llujah Al Jadiy,Iraq
80,Llujah Al Kut,Iraq
81,Llujayl,Iraq
82,Lubah,Iraq
83,Luhar,Iraq
84,Luhaykhab,Iraq
85,Luhiyat Ash Sha,Iraq
86,Lukan,Iraq
87,Lwujah,Iraq
88,Lwujayl,Iraq
89,Lwut,Iraq
90,Lx Ulah,Iraq
91,Lxlabjah,Iraq
92,Lxo,Iraq
93,Lxu,Iraq
94,Lybayishkhab,Iraq
95,Lyhar,Iraq
96,Lykhasi,Iraq
97,Lywarta,Iraq
98,Nddytuah,Iraq
99,Nfur,Iraq
100,Ngharqi,Iraq
101,Nllah,Iraq
102,Nluhar,Iraq
103,Nlxwarta,Iraq
104,Nlzah,Iraq
105,Nnhiwaynjiwayn,Iraq
106,Nqharqi,Iraq
107,Nqua,Iraq
108,Nrahiyah,Iraq
109,Nrahiyat `Atbah,Iraq
110,Nuthah,Iraq
111,Nxuw,Iraq
112,Nyhar,Iraq
113,Nylwah,Iraq
