,Name,Origin
0, Marrecomer,Ireland
1, Marrick-On-Sha,Ireland
2, Marries,Ireland
3, Monkstown,Ireland
4, Mooncoin,Ireland
5, Morkstown,Ireland
6, Muncoin,Ireland
7, Munrib,Ireland
8,-On-Shannon,Ireland
9,Abone,Ireland
10,Ackrock,Ireland
11,Adaskeatoath,Ireland
12,Adhsland,Ireland
13,Adul,Ireland
14,Agh,Ireland
15,Aingham,Ireland
16,Ala,Ireland
17,Albigterard,Ireland
18,Albogeew,Ireland
19,Albogteely,Ireland
20,Albygean,Ireland
21,Aldoyle,Ireland
22,Ali,Ireland
23,Alier,Ireland
24,Aliihe,Ireland
25,Aliiru,Ireland
26,Aliirush,Ireland
27,Alish,Ireland
28,Aliyrush,Ireland
29,Alk,Ireland
30,Alkin,Ireland
31,Allen,Ireland
32,Allimh,Ireland
33,Allingham,Ireland
34,Ally,Ireland
35,Allyallylinan,Ireland
36,Allybofey,Ireland
37,Allyfear,Ireland
38,Allyfermot,Ireland
39,Allylington,Ireland
40,Alpedder,Ireland
41,Aly,Ireland
42,An Roscrea,Ireland
43,And,Ireland
44,Andhillinrobe,Ireland
45,Aphoe,Ireland
46,Ashel,Ireland
47,Ashelstown,Ireland
48,Assage Westown ,Ireland
49,Atladaskeaton,Ireland
50,Atoath,Ireland
51,Avan,Ireland
52,Avh,Ireland
53,Bagla,Ireland
54,Bagle,Ireland
55,Bbiyteagh,Ireland
56,Bndlimh,Ireland
57,Bondalkin,Ireland
58,Bone,Ireland
59,Bton,Ireland
60,Condalk,Ireland
61,Conlish,Ireland
62,Cooncoin,Ireland
63,Cortarlinsale,Ireland
64,Cotteely,Ireland
65,Coyle,Ireland
66,Dalkin,Ireland
67,Daskeaton,Ireland
68,Dingle,Ireland
69,Dul,Ireland
70,Eblayne,Ireland
71,Erard,Ireland
72,Erir,Ireland
73,Est,Ireland
74,Estown,Ireland
75,Estown Cunningt,Ireland
76,Estowney,Ireland
77,Fallins,Ireland
78,Fallyallin,Ireland
79,Fermot,Ireland
80,Gas,Ireland
81,Gastle Bray,Ireland
82,Gun,Ireland
83,Hannon,Ireland
84,Harlesland,Ireland
85,Harleslandhill,Ireland
86,Harlin,Ireland
87,Hin,Ireland
88,Hir,Ireland
89,Hon,Ireland
90,Hun,Ireland
91,Ilbeggan,Ireland
92,Ingean,Ireland
93,Ins,Ireland
94,Kenny,Ireland
95,Konnis,Ireland
96,Kstown,Ireland
97,Labane,Ireland
98,Labbeyfermot,Ireland
99,Labley,Ireland
100,Lablyy,Ireland
101,Land,Ireland
102,Lashel,Ireland
103,Lashelstowney,Ireland
104,Lashelstreet,Ireland
105,Lbbgyeea,Ireland
106,Lone,Ireland
107,Loyne,Ireland
108,Loyney,Ireland
109,Mloyney,Ireland
110,N Cunnis,Ireland
111,N Merrick-On-Sh,Ireland
112,N Merrion,Ireland
113,N Mooncoin,Ireland
114,N Morrackrock,Ireland
