,Name,Origin
0, Alfederenti,Italy
1, Alfi,Italy
2, Cata,Italy
3, Crissone,Italy
4, D In Agorio,Italy
5, D L Tana Tesin,Italy
6, Domento,Italy
7, Donatina Gibel,Italy
8, Fornova Corni ,Italy
9, Giova,Italy
10, Giovangelicent,Italy
11, Giovecchierill,Italy
12, Grimano,Italy
13, In Piano,Italy
14, Miche,Italy
15, Nicola,Italy
16, Nicone,Italy
17, Niconi,Italy
18, Pine,Italy
19, Pino,Italy
20, Ra Salconte,Italy
21, Riccagli Arro ,Italy
22, San Potito,Italy
23, Srano D'Orba,Italy
24, Sulla,Italy
25, Vice,Italy
26, Villa Crise,Italy
27,'Abgl,Italy
28,'Affermaggiano,Italy
29,'Albane-Greci,Italy
30,'Albanengobucco,Italy
31,'Albano,Italy
32,'Alpo,Italy
33,'Alpone,Italy
34,'Asprontegiorea,Italy
35,'Atpomomenico,Italy
36,'Avglio Di Pino,Italy
37,'Ete,Italy
38,'Llverzene,Italy
39,-Darzano,Italy
40,-Darzigli Avolt,Italy
41,-Darzigliardodi,Italy
42,-Dorza Vito,Italy
43,-Parco Scio,Italy
44,-Ri Canicana,Italy
45,-San Ferraia,Italy
46,-San Giorgile,Italy
47,-San Micco D'Or,Italy
48,-San Pala,Italy
49,-Tamara Panavec,Italy
50,-Trepuzzico,Italy
51,A Di Sottimonte,Italy
52,A'Lamonte San G,Italy
53,A-Para,Italy
54,A-San Giorenzad,Italy
55,Aadria,Italy
56,Abbiena,Italy
57,Acile,Italy
58,Ada,Italy
59,Adia Superi,Italy
60,Alba,Italy
61,Alcuviano,Italy
62,Ali,Italy
63,Ali-Tore,Italy
64,Ali-Torretto Io,Italy
65,Alponey-La-Tama,Italy
66,Alvi,Italy
67,Amano,Italy
68,Amdo,Italy
69,Ame,Italy
70,Amenicagni,Italy
71,Amentaffigna,Italy
72,Amonteforte,Italy
73,Ana,Italy
74,Anardone,Italy
75,Anavecchiaroles,Italy
76,Anavecchiese,Italy
77,Anetto,Italy
78,Anica,Italy
79,Ano,Italy
80,Anzano,Italy
81,Appadocia,Italy
82,Appadore,Italy
83,Ara,Italy
84,Arada,Italy
85,Aramana,Italy
86,Aramaramarchite,Italy
87,Aramurallepara,Italy
88,Arano,Italy
89,Arcina,Italy
90,Arda,Italy
91,Ardaulo,Italy
92,Ardo,Italy
93,Are,Italy
94,Areio,Italy
95,Arelli,Italy
96,Arezzo,Italy
97,Arignano,Italy
98,Arittino,Italy
99,Armello,Italy
100,Armense,Italy
101,Armora,Italy
102,Armorazzo,Italy
103,Arsi,Italy
104,Arzano,Italy
105,Arzanoco,Italy
106,Arziglia-Garda,Italy
107,Arziglio Di Can,Italy
108,Arzo,Italy
109,Asciolo,Italy
110,Asei,Italy
111,Aseto,Italy
112,Asette Galla,Italy
113,Assiriane-Darzi,Italy
114,Asuni,Italy
115,Ate,Italy
116,Avagliola,Italy
117,Avajon Vicentin,Italy
118,Avalle Al Fossi,Italy
119,Avallo In Passi,Italy
120,Avese,Italy
121,Aveseggia-Monta,Italy
122,Aveseggiaia,Italy
123,Avezza Vito Str,Italy
124,Avsalconia,Italy
125,Azzo Biagiorgon,Italy
126,Balania,Italy
127,Bale,Italy
128,Bardio,Italy
129,Bbriascia,Italy
130,Bdigio,Italy
131,Bdsines,Italy
132,Bfsino,Italy
133,Billaseta,Italy
134,Billo,Italy
135,Bra,Italy
136,Brandovi-Ponte ,Italy
137,Bratorazzi,Italy
138,Bre,Italy
139,Bte,Italy
140,Btroccaforto,Italy
141,Ca' Monti,Italy
142,Calvedo,Italy
143,Castare,Italy
144,Castrolona,Italy
145,Cbi,Italy
146,Chia,Italy
147,Chitella Ed Uni,Italy
148,Chitella-San Lo,Italy
149,Chitello Vittor,Italy
150,Cia,Italy
151,Cia Al Tanare,Italy
152,Ciano,Italy
153,Cina,Italy
154,Cinate,Italy
155,Cino,Italy
156,Cio,Italy
157,Cosenzo Belverz,Italy
158,Costa Chia,Italy
159,Cufi,Italy
160,Cvitaldina,Italy
161,Czbrano,Italy
162,D Brzano,Italy
163,D Selicerraia,Italy
164,Daia,Italy
165,Dari,Italy
166,Davaglio,Italy
167,Dbino Di Sotta,Italy
168,Dco,Italy
169,Ddinaglorina,Italy
170,Del Voltido D'A,Italy
171,Delatone,Italy
172,Della Cornia,Italy
173,Derillannio,Italy
174,Derino,Italy
175,Dia-La-Trento,Italy
176,Dines,Italy
177,Dno Olonne,Italy
178,Dorza Valerilla,Italy
179,Drespino,Italy
180,Dsietramontella,Italy
181,Dsino,Italy
182,Ecina Montecavo,Italy
183,Eco,Italy
184,Edagliano,Italy
185,Edagliera,Italy
186,Edimo,Italy
187,Eges,Italy
188,Egio Al Mela,Italy
189,Ella,Italy
190,Ella Delistiera,Italy
191,Ella-Santaffign,Italy
192,Ellaga,Italy
193,Ellalvatorazzat,Italy
194,Ellalvedon,Italy
195,Ellane-Zurane V,Italy
196,Ellano,Italy
197,Ellarologna,Italy
198,Ellato,Italy
199,Elle,Italy
200,Ellento Stefort,Italy
201,Elli,Italy
202,Ello,Italy
203,Ello D'Ete,Italy
204,Ello Sabbate,Italy
205,Ello-Treggio,Italy
206,Ellotta-Monta P,Italy
207,Emano,Italy
208,Ena,Italy
209,Enzanavecchia,Italy
210,Enzo,Italy
211,Enzo Adri,Italy
212,Era,Italy
213,Eraro,Italy
214,Erio,Italy
215,Erli,Italy
216,Ero,Italy
217,Esana,Italy
218,Esanarentiano,Italy
219,Esano,Italy
220,Esciano,Italy
221,Ese,Italy
222,Eseggiore,Italy
223,Eseto Di Pino I,Italy
224,Eule,Italy
225,Fardavalle Pist,Italy
226,Favaglia,Italy
227,Ferrata,Italy
228,Ffignino,Italy
229,Figa,Italy
230,Figlio,Italy
231,Fornacecorsa De,Italy
232,Fuaniano,Italy
233,Gaibon Val D'Ar,Italy
234,Gaibon Vecchia,Italy
235,Gardodifiumanis,Italy
236,Ggiano,Italy
237,Giano,Italy
238,Giardelfio,Italy
239,Gli Avoltido De,Italy
240,Gliardo,Italy
241,Gna,Italy
242,Gnaletto,Italy
243,Gnandia,Italy
244,Gnano,Italy
245,Gnastino,Italy
246,Gnate,Italy
247,Gnaticola-Ducen,Italy
248,Gno,Italy
249,Gnoli,Italy
250,Gorzanengobucco,Italy
251,Grandia Consili,Italy
252,Grano In Piano,Italy
253,Gressana,Italy
254,Gsano,Italy
255,Gsarigliolo,Italy
256,Guzzo Citellese,Italy
257,Gviglianarezzol,Italy
258,Gvirdina Garzig,Italy
259,Gvirdodifigare,Italy
260,Healette,Italy
261,Hele,Italy
262,Hele Dei Melabb,Italy
263,Hele Re-Mezzo,Italy
264,Hele Val Di Can,Italy
265,Helegari,Italy
266,Hellermo,Italy
267,Hia,Italy
268,Hiara,Italy
269,Hiasca,Italy
270,Hiernacette,Italy
271,Hiesa,Italy
272,Higlia,Italy
273,Iana,Italy
274,Ianare,Italy
275,Ianarello Ioni,Italy
276,Ianengo,Italy
277,Iano,Italy
278,Iano D'Aspromon,Italy
279,Ianovetrande,Italy
280,Iaro,Italy
281,Iberittino,Italy
282,Ibra,Italy
283,Iesa,Italy
284,Iesana,Italy
285,Iesarada,Italy
286,Iese,Italy
287,Ietravese,Italy
288,Ilice,Italy
289,Imannio,Italy
290,Ina,Italy
291,Ine,Italy
292,Inelia,Italy
293,Inellenaticodip,Italy
294,Inese,Italy
295,Ino,Italy
296,Iolao,Italy
297,Ioriore,Italy
298,Irani,Italy
299,Iranino,Italy
300,Irra D'Argio,Italy
301,Irratero,Italy
302,Irravisi,Italy
303,Ismtrzigliologn,Italy
304,Isrini,Italy
305,Isstronicodipa ,Italy
306,Iuoasca,Italy
307,Izzo,Italy
308,Jarda,Italy
309,Jardigliana,Italy
310,Jardine,Italy
311,Jardino D'Isola,Italy
312,Jardo,Italy
313,Jardodipa Trocc,Italy
314,Jardonatole Mon,Italy
315,Jbrvaldierno Di,Italy
316,L Di Cata,Italy
317,Laccagnaramaram,Italy
318,Lalveno,Italy
319,Lamonterio Micc,Italy
320,Lao,Italy
321,Laramonte Alle,Italy
322,Latino,Italy
323,Lavigliame,Italy
324,Lba,Italy
325,Lcino,Italy
326,Lciprandel Barr,Italy
327,Lcuviano Dei Pi,Italy
328,Ldona-Santa,Italy
329,Leo,Italy
330,Letta,Italy
331,Levigliardo,Italy
332,Levio,Italy
333,Lido,Italy
334,Llarapello Torr,Italy
335,Lle,Italy
336,Llesino,Italy
337,Llo,Italy
338,Llo D'Argiore,Italy
339,Llo Irpino,Italy
340,Lona-San Michel,Italy
341,Longo,Italy
342,Lpnicano,Italy
343,Lrette Sant'Alb,Italy
344,Lsa,Italy
345,Lucana Corno La,Italy
346,Luzzo,Italy
347,Lvato,Italy
348,Lvedona,Italy
349,M'Rogiarda,Italy
350,Maggiaiazzerena,Italy
351,Maggianarentian,Italy
352,Maggionoriolo,Italy
353,Manino,Italy
354,Mara,Italy
355,Marcellebea,Italy
356,Marco Adri,Italy
357,Marti,Italy
358,Mazara,Italy
359,Mazarane-Grespi,Italy
360,Mazzis,Italy
361,Megnoli Avologn,Italy
362,Menica Vittieri,Italy
363,Meno,Italy
364,Mento San Nicod,Italy
365,Miggio Di Rossi,Italy
366,Minitana,Italy
367,Monte,Italy
368,Montecette,Italy
369,Mpiobbiana,Italy
370,Mrahello,Italy
371,Mzfp-Tamaro,Italy
372,Na Lore,Italy
373,Naacile,Italy
374,Nacecorvino,Italy
375,Nadia Santa Cor,Italy
376,Naetto Maggiora,Italy
377,Nagliano Della,Italy
378,Nagnolibertrada,Italy
379,Nale,Italy
380,Nano,Italy
381,Nara,Italy
382,Narandatone-Dar,Italy
383,Nare,Italy
384,Narena,Italy
385,Narenta,Italy
386,Narenta Chia,Italy
387,Narezzo,Italy
388,Naroja,Italy
389,Nasalini,Italy
390,Nascara,Italy
391,Naseggio,Italy
392,Naso In San Ces,Italy
393,Naso Lombardodi,Italy
394,Naso Lombaritti,Italy
395,Navese,Italy
396,Naveseggia-Matt,Italy
397,Navezzano,Italy
398,Navezzate,Italy
399,Navezzolara,Italy
400,Nccarapella,Italy
401,Ne Pine,Italy
402,Nea,Italy
403,Neanino,Italy
404,Neanisella,Italy
405,Neggiorgo,Italy
406,Negliore,Italy
407,Nellaseto Spart,Italy
