,Name,Origin
0, En,Japan
1,'Entai,Japan
2,'Entakahamatsu,Japan
3,'Ineo,Japan
4,'Mnto-Shimo,Japan
5,'Njo,Japan
6,'Nnjo,Japan
7,'Nnnan,Japan
8,'Nnnoshima,Japan
9,'Nnnshi,Japan
10,'Nntomiyajikima,Japan
11,'Nntoshogata,Japan
12,'Onji,Japan
13,'Onjichi,Japan
14,'Onjicho-Yahi,Japan
15,'Ot Ktnan,Japan
16,-Kanamie,Japan
17,-Kasuma,Japan
18,-Kasumotosu,Japan
19,-Kima,Japan
20,-Matsugawa,Japan
21,-Naka,Japan
22,-Nnnshinoku-Cho,Japan
23,-Omaki,Japan
24,-Onoomoro,Japan
25,-Shii,Japan
26,Aanan,Japan
27,Abashima,Japan
28,Achi,Japan
29,Acho,Japan
30,Aebashi,Japan
31,Aga,Japan
32,Agahashinomachi,Japan
33,Agaku,Japan
34,Agata,Japan
35,Ageosho,Japan
36,Ago,Japan
37,Ahara,Japan
38,Ai-Cho-Ninogawa,Japan
39,Aiba,Japan
40,Aibara,Japan
41,Aimatsu,Japan
42,Aina,Japan
43,Aka,Japan
44,Akabe,Japan
45,Akada,Japan
46,Akama,Japan
47,Akamachi,Japan
48,Akari,Japan
49,Akatsuto,Japan
50,Akd,Japan
51,Ake,Japan
52,Akeo,Japan
53,Aketo,Japan
54,Aki,Japan
55,Akoda,Japan
56,Aku,Japan
57,Akura,Japan
58,Akuru,Japan
59,Akuya,Japan
60,Amachi,Japan
61,Amaga,Japan
62,Amagata,Japan
63,Amaki,Japan
64,Amakushi,Japan
65,Amamiamatsuno,Japan
66,Amato,Japan
67,Amiama,Japan
68,Amiri Towada-Sh,Japan
69,An'Onji,Japan
70,An'Onjichi,Japan
71,Anabe,Japan
72,Anagoshi,Japan
73,Anai,Japan
74,Anamirishio-Hon,Japan
75,Anashimonosho,Japan
76,Anazaki,Japan
77,Annabashinohe,Japan
78,Annabe,Japan
79,Annakan,Japan
80,Ano,Japan
81,Anoshio,Japan
82,Anosu,Japan
83,Anyoonoshinamia,Japan
84,Anzakatsuba,Japan
85,Anzakitan,Japan
86,Asahiraoi,Japan
87,Asahiratsushino,Japan
88,Asaki,Japan
89,Ashi,Japan
90,Ashikuchio-Honm,Japan
91,Ashima,Japan
92,Ata,Japan
93,Atana,Japan
94,Ato,Japan
95,Atsu,Japan
96,Atsuba,Japan
97,Atsuki,Japan
98,Atsuyamachi,Japan
99,Awa,Japan
100,Ayabe,Japan
101,Azukuoka,Japan
102,Azunochi,Japan
103,Bara,Japan
104,Chi,Japan
105,Chi-Honmachi,Japan
106,Chi-Shinohe,Japan
107,Chi-Takeo,Japan
108,Chinoka,Japan
109,Chiozaki,Japan
110,Cho,Japan
111,Cho Sennabe,Japan
112,Cho-Hondo,Japan
113,Cho-Omamogawa,Japan
114,Da-Kanoshira,Japan
115,Dotsu,Japan
116,Dotsuchi,Japan
117,Dotsugashi,Japan
118,Dotsuki,Japan
119,Dotsuto,Japan
120,Eda,Japan
121,Edachi-Funami-A,Japan
122,Edacho,Japan
