,Name,Origin
0, Batyra,Kazakhstan
1, Batyrakty,Kazakhstan
2, Bi,Kazakhstan
3, Ryskiy,Kazakhstan
4, Ryskulov,Kazakhstan
5,'Urpanl,Kazakhstan
6,Adyr,Kazakhstan
7,Akty,Kazakhstan
8,Aldykorgiye Kay,Kazakhstan
9,Aliyskulov,Kazakhstan
10,Altay,Kazakhstan
11,Altayskulov,Kazakhstan
12,Altysau,Kazakhstan
13,Antagi,Kazakhstan
14,Antobe,Kazakhstan
15,Ar Ryskiy,Kazakhstan
16,Ar Ryskulov,Kazakhstan
17,Ara,Kazakhstan
18,Aral,Kazakhstan
19,Araly,Kazakhstan
20,Arantobe,Kazakhstan
21,Aratau,Kazakhstan
22,Aratay,Kazakhstan
23,Arauyl,Kazakhstan
24,Araz,Kazakhstan
25,Arazhal,Kazakhstan
26,Arazhardar,Kazakhstan
27,Arevka,Kazakhstan
28,Arhan,Kazakhstan
29,Arkand,Kazakhstan
30,Arkol,Kazakhstan
31,Arlakkurgen,Kazakhstan
32,Arlankol,Kazakhstan
33,Arlvsk,Kazakhstan
34,Arovka,Kazakhstan
35,Arqara,Kazakhstan
36,Arqaral,Kazakhstan
37,Arqaraly,Kazakhstan
38,Arqarata,Kazakhstan
39,Arqarauyl,Kazakhstan
40,Arqarazhavinski,Kazakhstan
41,Arsk,Kazakhstan
42,Artan,Kazakhstan
43,Arul,Kazakhstan
44,Ata,Kazakhstan
45,Atqa,Kazakhstan
46,Atu,Kazakhstan
47,Autabey,Kazakhstan
48,Ayra,Kazakhstan
49,Ayrakty,Kazakhstan
50,Ayuv'Ogay,Kazakhstan
51,Ban,Kazakhstan
52,Banaul,Kazakhstan
53,Barkand,Kazakhstan
54,Barkandy,Kazakhstan
55,Barkol,Kazakhstan
56,Bas,Kazakhstan
57,Basar,Kazakhstan
58,Bay,Kazakhstan
59,Ben,Kazakhstan
60,Bes,Kazakhstan
61,Besai,Kazakhstan
62,Bestand,Kazakhstan
63,Bev,Kazakhstan
64,Bez,Kazakhstan
65,Burkestik,Kazakhstan
66,Bus,Kazakhstan
67,Cuemolgan,Kazakhstan
68,Darskoye,Kazakhstan
69,Der,Kazakhstan
70,Dirsk,Kazakhstan
71,Dirskiy,Kazakhstan
72,Dirskoye,Kazakhstan
73,Dur,Kazakhstan
74,Durabay,Kazakhstan
75,Durieskaydal,Kazakhstan
76,Durieskayevo,Kazakhstan
77,Durieskayevsk,Kazakhstan
78,Durieskiy,Kazakhstan
79,Durishimskiy,Kazakhstan
80,Eiizskiy,Kazakhstan
81,Emer,Kazakhstan
82,Emeryenogorsk,Kazakhstan
83,Emey,Kazakhstan
84,Enogorsk,Kazakhstan
