,Name,Origin
0,Egnpuaa   Eeerr,Kosovo
1,Egppumaarshirrn,Kosovo
2,Egspuia,Kosovo
3,Enn,Kosovo
4,Enpeame ,Kosovo
5,Enpeame Rpesa,Kosovo
6,Enpeamerre,Kosovo
7,Enpeamerres,Kosovo
8,Enpsa,Kosovo
9,Epnsa,Kosovo
10,Erne,Kosovo
11,Erpeemn,Kosovo
12,Erpeemp,Kosovo
13,Erpeempn,Kosovo
14,Erpesa,Kosovo
15,Erre,Kosovo
16,Gegppumaarhe,Kosovo
17,Geppemmerre,Kosovo
18,Geppsm,Kosovo
19,Gepusa,Kosovo
20,Gerueaan Q Eeer,Kosovo
21,Gerueaashirrn,Kosovo
22,Gerunaa,Kosovo
23,Gerusa,Kosovo
24,Geuumaarhe,Kosovo
25,Ggauuaa   Eeerr,Kosovo
26,Ggguuka E Eperm,Kosovo
27,Ggnuuaa   Eeerr,Kosovo
28,Ggpuumaa,Kosovo
29,Ggruuaa,Kosovo
30,Ggruuaa   E Ere,Kosovo
31,Ggruuaa   Eeerg,Kosovo
32,Ggruuaa   Eeerr,Kosovo
33,Ggruuaa E Eperm,Kosovo
34,Ggruuaa H Erer,Kosovo
35,Ggruuaa H Erere,Kosovo
36,Ggruuaa H Erers,Kosovo
37,Ggruuaa S  Ie N,Kosovo
38,Ggruuaa S  Ree,Kosovo
39,Ggruuaa S Eiern,Kosovo
40,Ggruuaaa   Eeer,Kosovo
41,Ggruuaaa R Eeer,Kosovo
42,Ggruuaaah Rre,Kosovo
43,Gguuaa   Eeerre,Kosovo
44,Gguuaa E Eperme,Kosovo
45,Gguuaaae  Peerr,Kosovo
46,Gguuka E Eperme,Kosovo
47,Gguumaar Eeeper,Kosovo
48,Gnguaa   Eeerre,Kosovo
49,Gnguau   Eeerre,Kosovo
50,Gnru,Kosovo
51,Gnruaa,Kosovo
52,Gnruaa   Eeerre,Kosovo
53,Gnruaaa   Eeerr,Kosovo
54,Gnruaaaq Se Rpe,Kosovo
55,Gnrutaah Rre,Kosovo
56,Gnuka E Eperme,Kosovo
57,Gnuuaa   Eeerre,Kosovo
58,Gnuuaa   Eeerrm,Kosovo
59,Gnuuaa R Eeerpe,Kosovo
60,Gnuuaa S  Ieenr,Kosovo
61,Gnuuaaa   Eeerr,Kosovo
62,Gprumaaress,Kosovo
63,Gprumaarhs,Kosovo
64,Grgu,Kosovo
65,Grgumbardhi,Kosovo
66,Grguruaa   Eeer,Kosovo
67,Grgusa,Kosovo
68,Grnu,Kosovo
69,Grru,Kosovo
70,Grrueaashirrn,Kosovo
71,Grrusa,Kosovo
72,Gruuaa,Kosovo
73,Gruuaa   Eeegrp,Kosovo
74,Gruuaa   Eeerre,Kosovo
75,Gruuaa   Eeerrs,Kosovo
76,Gruuaa E Eperme,Kosovo
77,Gruuaa H  Reerr,Kosovo
78,Gruuaa H Erer,Kosovo
79,Gruuaa H Ereree,Kosovo
80,Gruuaa H Ererse,Kosovo
81,Gruuaa Q E Eree,Kosovo
82,Gruuaa S  Ieenr,Kosovo
83,Gruuaa S Ererse,Kosovo
84,Gruuaaa   Eeerr,Kosovo
85,Gruuaaahrrr,Kosovo
86,Gruuaaar E,Kosovo
87,Gruuaaar Eeeper,Kosovo
88,Gruuaaashirrn,Kosovo
89,Gruuaam  Ree,Kosovo
90,Gruuabardhi,Kosovo
91,Guraae  Peerre,Kosovo
92,Gurkaee Ppemme,Kosovo
93,Gurkaeesp,Kosovo
94,Gurma,Kosovo
95,Guruaa   Eeerre,Kosovo
96,Ignnuaa   Eeerr,Kosovo
97,Ignnuqa,Kosovo
98,Ignnuqaa,Kosovo
99,Inn,Kosovo
100,Insn,Kosovo
101,Irnn,Kosovo
102,Neaaesh,Kosovo
103,Nee,Kosovo
104,Neeapsr,Kosovo
105,Negapusa,Kosovo
106,Neq,Kosovo
107,Neqae,Kosovo
108,Nesa,Kosovo
109,Ngaausa,Kosovo
110,Nge,Kosovo
111,Ngeapess,Kosovo
112,Ngeapse,Kosovo
113,Ngeapsh,Kosovo
114,Ngeausa,Kosovo
115,Nggauumaares,Kosovo
116,Ngqau,Kosovo
117,Ngqaus ,Kosovo
118,Ngqausa,Kosovo
119,Ngqtusa,Kosovo
120,Ngrausa,Kosovo
121,Niq,Kosovo
122,Npeamerre,Kosovo
123,Nre,Kosovo
124,Nri,Kosovo
125,Nria,Kosovo
126,Nusa,Kosovo
127,Pesm,Kosovo
128,Pgemunaa,Kosovo
129,Pnea S Eiennrq,Kosovo
130,Pneaashirrn,Kosovo
131,Pneaashtrri,Kosovo
132,Pre,Kosovo
133,Prec,Kosovo
134,Qgerueaashqrr,Kosovo
135,Ree,Kosovo
136,Reesp,Kosovo
137,Reg,Kosovo
138,Regepusa,Kosovo
139,Ren,Kosovo
140,Res,Kosovo
141,Resn,Kosovo
142,Ress,Kosovo
143,Rge,Kosovo
144,Rgeapesa,Kosovo
145,Rgeausa,Kosovo
146,Rgeepss,Kosovo
147,Rgenpeame,Kosovo
148,Rgenpeamerre,Kosovo
149,Rgenusa,Kosovo
150,Rgerusa,Kosovo
151,Rgesp,Kosovo
152,Rgesu,Kosovo
153,Rggauumaarhe,Kosovo
154,Rgrnu,Kosovo
155,Rie,Kosovo
156,Rin,Kosovo
157,Rne,Kosovo
158,Rni,Kosovo
159,Rpeempe,Kosovo
160,Rpeemperme,Kosovo
161,Rpeempn,Kosovo
162,Rre,Kosovo
163,Rri,Kosovo
164,Rsi,Kosovo
165,Rusa,Kosovo
166,Sgrru,Kosovo
167,Sniq,Kosovo
168,Ugaausa,Kosovo
169,Usa,Kosovo
170,Vriq,Kosovo
