,Name,Origin
0,Abile,Latvia
1,Adona,Latvia
2,Agana,Latvia
3,Aji,Latvia
4,Ala,Latvia
5,Amiltende,Latvia
6,Arkalne,Latvia
7,Arukle,Latvia
8,Arupe,Latvia
9,Auce,Latvia
10,Aucpiebalga,Latvia
11,Aujaena,Latvia
12,Aukle,Latvia
13,Aukseni,Latvia
14,Auksne,Latvia
15,Aukste,Latvia
16,Aulkrasti,Latvia
17,Aumprava,Latvia
18,Aunpils,Latvia
19,Aupcilmsie,Latvia
20,Azda,Latvia
21,Aznka,Latvia
22,Balgava,Latvia
23,Bieevgriva,Latvia
24,Biepaja,Latvia
25,Bigi,Latvia
26,Bile,Latvia
27,Binava,Latvia
28,Binazi,Latvia
29,Bini,Latvia
30,Bjlena,Latvia
31,Bla,Latvia
32,Ble,Latvia
33,Boldera,Latvia
34,Bslene,Latvia
35,Bule,Latvia
36,Bune,Latvia
37,Carnikava,Latvia
38,Caunci,Latvia
39,Caunciems,Latvia
40,Caunpiebalga,Latvia
41,Cauppava,Latvia
42,Ceni,Latvia
43,Cgriva,Latvia
44,Cgriveri,Latvia
45,Clena,Latvia
46,Crgi,Latvia
47,Crrikava,Latvia
48,Cumnieki,Latvia
49,Dca,Latvia
50,Dega,Latvia
51,Demarde,Latvia
52,Demarpils,Latvia
53,Dera,Latvia
54,Deraja,Latvia
55,Dezaparkalne,Latvia
56,Dgrava,Latvia
57,Dona,Latvia
58,Done,Latvia
59,Dosta,Latvia
60,Drga,Latvia
61,Drgaine,Latvia
62,Drgava,Latvia
63,Druadce,Latvia
64,Drueda,Latvia
65,Eegli,Latvia
66,Eeglvarde,Latvia
67,Egll,Latvia
68,Ekgln,Latvia
69,Ekrbini,Latvia
70,Eoclnieki,Latvia
71,Eoglzne,Latvia
72,Erujeega,Latvia
73,Eszaaasis,Latvia
74,Grava,Latvia
75,Grda,Latvia
76,Grdva,Latvia
77,Grdvala,Latvia
78,Grdvaldone,Latvia
79,Gre,Latvia
80,Grga,Latvia
81,Grgava,Latvia
82,Grgi,Latvia
83,Grgva,Latvia
84,Grgvana,Latvia
85,Grgvande,Latvia
86,Grgvina,Latvia
87,Grgvinas,Latvia
88,Grgvinava,Latvia
89,Grgvinazi,Latvia
90,Grobina,Latvia
91,Grobini,Latvia
92,Grode,Latvia
93,Groja,Latvia
94,Groje,Latvia
95,Groji,Latvia
96,Grova,Latvia
97,Grovazda,Latvia
98,Groveni,Latvia
99,Grude,Latvia
100,Gruie,Latvia
101,Grujeega,Latvia
102,Grujeende,Latvia
103,Grunda,Latvia
104,Grundaga,Latvia
105,Grundagana,Latvia
106,Gruvdrosta,Latvia
107,Grvala,Latvia
108,Ibule,Latvia
109,Ieki,Latvia
110,Ielvarde,Latvia
111,Iena,Latvia
112,Inas,Latvia
113,Irgli,Latvia
114,Iulkraukle,Latvia
115,Iureri,Latvia
116,Iza,Latvia
117,Izpute,Latvia
118,Izula,Latvia
119,Jalgava,Latvia
120,Jalgavpils,Latvia
121,Jalne,Latvia
122,Jaugava,Latvia
123,Jauna,Latvia
124,Jaunci,Latvia
125,Jaunciems,Latvia
126,Jaunpiebalga,Latvia
127,Jaunpiebalgavgr,Latvia
128,Jelga,Latvia
129,Jiena,Latvia
130,Jilne,Latvia
131,Jrunda,Latvia
132,Jrundagana,Latvia
133,Junni,Latvia
134,Jurmuiza,Latvia
135,Kcrnikava,Latvia
136,Kkrasti,Latvia
137,Koknese,Latvia
138,Kresis,Latvia
139,Kresite,Latvia
140,Krunda,Latvia
141,Krundaga,Latvia
142,Krundagana,Latvia
143,Krustpils,Latvia
144,Kruveri,Latvia
145,Kulda,Latvia
146,Kuldiga,Latvia
147,Kuldigatne,Latvia
148,Laka,Latvia
149,Launci,Latvia
150,Launjelga,Latvia
151,Launjelgavgriva,Latvia
152,Launpiebalgavgr,Latvia
153,Launpils,Latvia
154,Lavilosta,Latvia
155,Lbele,Latvia
156,Lda,Latvia
157,Ldemarde,Latvia
158,Lderaja,Latvia
159,Lga,Latvia
160,Lgavpils,Latvia
161,Lkraukle,Latvia
162,Lkraukseni,Latvia
163,Locana,Latvia
164,Loja,Latvia
165,Lona,Latvia
166,Lrga,Latvia
167,Lrunda,Latvia
168,Luce,Latvia
169,Lude,Latvia
170,Ludza,Latvia
171,Lums,Latvia
172,Lure,Latvia
173,Lureaine,Latvia
174,Lureaparks,Latvia
175,Lureici,Latvia
176,Lurera,Latvia
177,Lurerci,Latvia
178,Lureuc,Latvia
179,Lureuctende,Latvia
180,Lureuctene,Latvia
181,Lza,Latvia
182,Lziena,Latvia
183,Marpils,Latvia
184,Miera,Latvia
