,Name,Origin
0,-Atternach,Luxembourg
1,-Bainstertert,Luxembourg
2,-Busch,Luxembourg
3,-Ges,Luxembourg
4,-Rassen,Luxembourg
5,-Revenmach,Luxembourg
6,-Ruck,Luxembourg
7,-Ser,Luxembourg
8,-Serbillig,Luxembourg
9,-Ssrgem,Luxembourg
10,-Sur-Alzettelbr,Luxembourg
11,-Sur-Alzettern,Luxembourg
12,-Sur-Atter,Luxembourg
13,-Sur-Mess,Luxembourg
14,Aapellen,Luxembourg
15,Ach,Luxembourg
16,Acheid,Luxembourg
17,Ahe,Luxembourg
18,Aler,Luxembourg
19,Alervaux,Luxembourg
20,Amer,Luxembourg
21,Amern,Luxembourg
22,Amernach,Luxembourg
23,Ampacheid,Luxembourg
24,Ange,Luxembourg
25,Anpellen,Luxembourg
26,Anperange,Luxembourg
27,Apelt,Luxembourg
28,Appecharage,Luxembourg
29,Appecheid,Luxembourg
30,Appecher,Luxembourg
31,Appechorv,Luxembourg
32,Appettertzig,Luxembourg
33,Applaswemler,Luxembourg
34,Arnich,Luxembourg
35,Asbiut,Luxembourg
36,Asch,Luxembourg
37,Aschberg,Luxembourg
38,Ascher,Luxembourg
39,Asee,Luxembourg
40,Asei,Luxembourg
41,Aspeldange,Luxembourg
42,Aspelt,Luxembourg
43,Asperange,Luxembourg
44,Assen,Luxembourg
45,Aswampach,Luxembourg
46,Atpemtert,Luxembourg
47,Aux,Luxembourg
48,Avagm,Luxembourg
49,Avagme,Luxembourg
50,Avagmernach,Luxembourg
51,Avagn,Luxembourg
52,Avegms,Luxembourg
53,Awampach,Luxembourg
54,Awer,Luxembourg
55,Awpeldange,Luxembourg
56,Bdorf,Luxembourg
57,Bergem,Luxembourg
58,Berges,Luxembourg
59,Billig,Luxembourg
60,Bourg,Luxembourg
61,Bredimus,Luxembourg
62,Brouch,Luxembourg
63,Buellen,Luxembourg
64,Charage,Luxembourg
65,Cheid,Luxembourg
66,Chenge,Luxembourg
67,Chenge-Sur-Atte,Luxembourg
68,Chengen,Luxembourg
69,Cher,Luxembourg
70,Chrassig,Luxembourg
71,Crorb,Luxembourg
72,Dange,Luxembourg
73,Dange-Sur-Alzet,Luxembourg
74,Dange-Sur-Atte,Luxembourg
75,Dange-Sur-Attel,Luxembourg
76,Dange-Sur-Atter,Luxembourg
77,Dangen,Luxembourg
78,Dercorn,Luxembourg
79,Dfffnreninge,Luxembourg
80,Dhengen,Luxembourg
81,Dher,Luxembourg
82,Dorf,Luxembourg
83,Dorf-Les-Bains,Luxembourg
84,Dorf-Les-Bainst,Luxembourg
85,Dorf-Les-Btisse,Luxembourg
86,Dpppach,Luxembourg
87,Dzertzig,Luxembourg
88,Ealferdange,Luxembourg
89,Eapfort,Luxembourg
90,Echeid,Luxembourg
91,Eckerich,Luxembourg
92,Ecrange,Luxembourg
93,Edange,Luxembourg
94,Edange-Sur-Atte,Luxembourg
95,Edangen,Luxembourg
96,Ederfeulen,Luxembourg
97,Edomfange,Luxembourg
98,Edomua,Luxembourg
99,Efomtange,Luxembourg
100,Eher,Luxembourg
101,Ehlen,Luxembourg
102,Eid,Luxembourg
103,Ell,Luxembourg
104,Eninge,Luxembourg
105,Epange,Luxembourg
106,Epanterternach,Luxembourg
107,Epffnrtcrangen,Luxembourg
108,Eplfange-Sur-At,Luxembourg
109,Eplfangen,Luxembourg
110,Erange,Luxembourg
111,Erangen,Luxembourg
112,Ere,Luxembourg
113,Erich,Luxembourg
114,Ernach,Luxembourg
115,Erorb,Luxembourg
116,Ertzig,Luxembourg
