,Name,Origin
0, Brod,Macedonia
1, Hisar,Macedonia
2, Kiphino,Macedonia
3, Kolica,Macedonia
4, Mmlasnica,Macedonia
5, Rapci,Macedonia
6, Sbpich,Macedonia
7, Ski Brod,Macedonia
8, Srpci,Macedonia
9, Trelce,Macedonia
10, Urista,Macedonia
11,A Kares,Macedonia
12,Ablisar,Macedonia
13,Abri Dolno Koli,Macedonia
14,Ahtip,Macedonia
15,Akedonska Kapij,Macedonia
16,Akovo,Macedonia
17,Akrdv,Macedonia
18,Akudenik,Macedonia
19,Alachino,Macedonia
20,Alasnicane,Macedonia
21,Alesevo,Macedonia
22,Amanovci,Macedonia
23,Amenica,Macedonia
24,Amenicani,Macedonia
25,Amenik,Macedonia
26,Amenikole,Macedonia
27,Amenjaci,Macedonia
28,Amenjane,Macedonia
29,Amenjanestica,Macedonia
30,Amenjanestivar,Macedonia
31,Amhnica,Macedonia
32,Amko ,Macedonia
33,Amrno Orizari,Macedonia
34,Amrno Palci,Macedonia
35,Amrno Palciste,Macedonia
36,Apciste,Macedonia
37,Apnista,Macedonia
38,Ara,Macedonia
39,Aravci,Macedonia
40,Ari,Macedonia
41,Arnikovci,Macedonia
42,Aske,Macedonia
43,Aste,Macedonia
44,Atace,Macedonia
45,Atnica,Macedonia
46,Atrimnica,Macedonia
47,Bar,Macedonia
48,Bblcani,Macedonia
49,Bkr Kapija,Macedonia
50,Blasnica,Macedonia
51,Blurica,Macedonia
52,Blush,Macedonia
53,Blusnica,Macedonia
54,Blusnicani,Macedonia
55,Bmu Unista,Macedonia
56,Bor,Macedonia
57,Borssta,Macedonia
58,Bpasce,Macedonia
59,Bplasnicani,Macedonia
60,Brashac,Macedonia
61,Bres,Macedonia
62,Bri Dol,Macedonia
63,Bri Dolno Kolic,Macedonia
64,Bri Dolno Oriza,Macedonia
65,Bri Dolno Palci,Macedonia
66,Bri Dolno Srpci,Macedonia
67,Brsani,Macedonia
68,Bruste,Macedonia
69,Bulchvni,Macedonia
70,Burachani,Macedonia
71,Burica,Macedonia
72,Burino,Macedonia
73,Cane,Macedonia
74,Cani,Macedonia
75,Cino,Macedonia
76,Cjane,Macedonia
77,Clani,Macedonia
78,Cpetinci,Macedonia
79,Cte,Macedonia
80,Cten Kole,Macedonia
81,Cuvo,Macedonia
82,Dliravci,Macedonia
83,Dlurca,Macedonia
84,Dlurovec,Macedonia
85,Dmrkov,Macedonia
86,Drizari,Macedonia
87,Edlares,Macedonia
88,Ehtip,Macedonia
89,Eko ,Macedonia
90,Elenica,Macedonia
91,Eles,Macedonia
92,Elija,Macedonia
93,Eljusa,Macedonia
94,Elrusnica,Macedonia
