,Name,Origin
0, Vliema,Malta
1,' Bbwrgiua,Malta
2,' Xbiex,Malta
3,''Bbbrgsu,Malta
4,''Bbbrgxur,Malta
5,'Abbar,Malta
6,'Dnba ,Malta
7,'Dnna  Ghajnsie,Malta
8,'Dnna Lucia,Malta
9,'Fab,Malta
10,'Fib,Malta
11,'Ibbergu,Malta
12,'Nbb Rghur,Malta
13,'Nbbar,Malta
14,'Nbbirxa,Malta
15,'Nbbirxien,Malta
16,'Nbbirxopiau,Malta
17,'Nbbirxopkirkar,Malta
18,'Obb,Malta
19,'Obbar,Malta
20,'Obbir,Malta
21,'Obbirxien,Malta
22,'Rbbug,Malta
23,'Rebzu,Malta
24,'Venera,Malta
25,'Vxbewrin,Malta
26,'Xbber,Malta
27,'Xbberguma,Malta
28,'Xbberguua,Malta
29,'Xbberrez,Malta
30,'Xbberxem,Malta
31,'Xbberxien,Malta
32,'Xxbewrin,Malta
33,A' Xbiex,Malta
34,A'Axbae,Malta
35,Adrr,Malta
36,Afa,Malta
37,Al Ghajnsielem,Malta
38,Aloakara,Malta
39,Aloek,Malta
40,Altard,Malta
41,Anzan,Malta
42,Arfa,Malta
43,Arz,Malta
44,Asa,Malta
45,Axaq,Malta
46,D'Nab Ggljan,Malta
47,D'Nab Pawl Il-B,Malta
48,Ddna,Malta
49,Ddnar Ghajnsiel,Malta
50,Ddnar Ghaxaq,Malta
51,Ddnarta,Malta
52,Dfa,Malta
53,Dfi,Malta
54,Dgura,Malta
55,Dina,Malta
56,Dnar Ghajnsiele,Malta
57,Dnar Hbngrir,Malta
58,Dnfa,Malta
59,Dnna  Eaw,Malta
60,Dnna  Ghajnsiel,Malta
61,Dnna  Ghar,Malta
62,Dnna  Ghaxaq,Malta
63,Dnna  Gwljnniet,Malta
64,Dnna  Lhwrin,Malta
65,Dnna  Ohh,Malta
66,Dnna Aenglea,Malta
67,Dnna John,Malta
68,Dnna Lawrenz,Malta
69,Dnna Lewrin,Malta
70,Dnna Lewuina,Malta
71,Dnna Lucia,Malta
72,Dnnan Lawrenz,Malta
73,Dnnrie,Malta
74,Dnnriema,Malta
75,Dnra Hangairti,Malta
76,Dnrai,Malta
77,Dnrri,Malta
78,Don,Malta
79,Dona,Malta
80,Dun,Malta
81,Duna,Malta
82,Dznrbiex,Malta
83,Garr,Malta
84,Gura,Malta
85,Harghur,Malta
86,Il Oha,Malta
87,Int John,Malta
88,Int Lucia,Malta
89,Irdi,Malta
90,Ista,Malta
91,Jlinh Lnwrin,Malta
92,Jni,Malta
93,Jonn,Malta
94,Jonna  Ghar,Malta
95,Jonna Lawrenz,Malta
96,Kurkara,Malta
97,Ldui,Malta
98,Len,Malta
99,Lfi,Malta
100,Lieha,Malta
101,Liema,Malta
102,Lodk,Malta
103,Lokk,Malta
104,Lqja,Malta
105,N Jahnr,Malta
106,N Lawrenz,Malta
107,N' Lbwirjien,Malta
108,Ndra,Malta
109,Ndri,Malta
110,Nglea,Malta
111,Ngleru,Malta
112,Ngli,Malta
113,Nl Il-Bahar,Malta
114,Nlzan,Malta
115,Nrgaur,Malta
116,Nrsaxlokk,Malta
117,Ns El-Iahar,Malta
118,Ns Elcieha,Malta
119,Ns Il-Bahar,Malta
120,Ns Llwien,Malta
121,Ns Llwinn,Malta
122,Nseal,Malta
123,Nslalr,Malta
124,Nsrelzenb,Malta
125,Nsselcin,Malta
126,Nsta,Malta
127,Nt John,Malta
128,Nxlektra,Malta
129,Nzan,Malta
130,Odi,Malta
131,Osia,Malta
132,Osial,Malta
133,Osial Ghajnsiel,Malta
134,Osial Gharghur,Malta
135,Osial Ghaxaq,Malta
136,Osiala,Malta
137,Osialea,Malta
138,Osialoakara,Malta
139,Oskala,Malta
140,Ospicua,Malta
141,Osta,Malta
142,Pdona,Malta
143,Rdi,Malta
144,Rdu,Malta
145,Rfa,Malta
146,Rfi,Malta
147,Rfu,Malta
148,Rghur,Malta
149,Rgu,Malta
150,Rguua,Malta
151,Riema,Malta
152,Rsaskala,Malta
153,Rsixlokk,Malta
154,Rssxcer,Malta
155,Rssxlikhar,Malta
156,Rsxxlrkara,Malta
157,S Jlinh Lucia,Malta
158,S Xlikharghur,Malta
159,S'Elbirxien,Malta
160,S'Sebcu,Malta
161,Sadkr,Malta
162,Sak,Malta
163,Saxlokk,Malta
164,Sda,Malta
165,Sdcia,Malta
166,Sddaaa,Malta
167,Sddina,Malta
168,Sdea,Malta
169,Sdgarr,Malta
170,Sdi,Malta
171,Sdjingli,Malta
172,Sdkara,Malta
173,Sdsa,Malta
174,Sdsia,Malta
175,Sfi,Malta
176,Sglea,Malta
177,Sida,Malta
178,Snder,Malta
179,Snglea,Malta
180,Snxlek,Malta
181,Soxk,Malta
182,Ssdcia,Malta
183,Ssdi,Malta
184,Ssdka,Malta
185,Ssdkara,Malta
186,Ssfll Tloika,Malta
187,Ssglea,Malta
188,Ssjlen,Malta
189,Sskllattard,Malta
190,Sstkara,Malta
191,Ssxcli,Malta
192,Ssxlek,Malta
193,Ssxlikhaaglr,Malta
194,Ssxlikhar,Malta
