,Name,Origin
0, Bdr Tamanda,Nepal
1, Bdr Thimi,Nepal
2, Biratnagarkot,Nepal
3, Bojburyan,Nepal
4, Bragar,Nepal
5, Bran,Nepal
6, Brg Thimi,Nepal
7, Brmtndga,Nepal
8, Danda,Nepal
9, Dandu,Nepal
10, Tamanda,Nepal
11, Timajhi,Nepal
12,Adhi,Nepal
13,Adranagar,Nepal
14,Adrapur Tamang ,Nepal
15,Ag Bj,Nepal
16,Agar,Nepal
17,Agarkot,Nepal
18,Aglung,Nepal
19,Agobjurg,Nepal
20,Agouju,Nepal
21,Agran,Nepal
22,Agratnagar,Nepal
23,Agur,Nepal
24,Airendrapur,Nepal
25,Aisep,Nepal
26,Anakpur,Nepal
27,Ang House,Nepal
28,Angadhi,Nepal
29,Angawa,Nepal
30,Ankuta,Nepal
31,Aran,Nepal
32,Arganj,Nepal
33,Ariya,Nepal
34,Ariyuga,Nepal
35,Atnagar,Nepal
36,Attaranauti,Nepal
37,Auti,Nepal
38,Ayal,Nepal
39,Bayal,Nepal
40,Bgojj,Nepal
41,Bgojjurg,Nepal
42,Bhayal,Nepal
43,Biraha,Nepal
44,Biraj,Nepal
45,Biratnagar,Nepal
46,Biya,Nepal
47,Bktep,Nepal
48,Bobjurg,Nepal
49,Bpur,Nepal
50,Bra Biratnagarj,Nepal
51,Bradalangawa,Nepal
52,Branakpur,Nepal
53,Braobbjya,Nepal
54,Brayal,Nepal
55,Bridu,Nepal
56,Broj,Nepal
57,Btayal,Nepal
58,Bura,Nepal
59,Chhap,Nepal
60,Chlang House,Nepal
61,Chulariyuga,Nepal
62,Ciibepi,Nepal
63,Ciidadeldhura,Nepal
64,Cippyat,Nepal
65,D Tdiya,Nepal
66,Dadeldhura,Nepal
67,Dalangadhi,Nepal
68,Dalangawa,Nepal
69,Darai Dandu,Nepal
70,Daranakpur,Nepal
71,Daranauti,Nepal
72,Dganj,Nepal
73,Dha,Nepal
74,Dhi,Nepal
75,Dhoaseshwar,Nepal
76,Dihi,Nepal
77,Dipayal,Nepal
78,Diya,Nepal
79,Dkaphr Pur,Nepal
80,Dobujya,Nepal
81,Dpang House,Nepal
82,Dpayal,Nepal
83,Dpur,Nepal
84,Dran,Nepal
85,Dranagar,Nepal
86,Dranagarj,Nepal
87,Dranakpur,Nepal
88,Dranakpur Taman,Nepal
89,Dranapur,Nepal
90,Dranauti,Nepal
91,Drapur,Nepal
92,Drapur Tamangaw,Nepal
93,Drapur Thimi,Nepal
94,Dura,Nepal
95,Eldhura,Nepal
96,Eshwar,Nepal
97,Esisahang House,Nepal
98,Esisahangadhi,Nepal
99,Esisahar,Nepal
100,Gadhi,Nepal
101,Gagjung,Nepal
102,Gahj,Nepal
103,Gahura,Nepal
104,Gamjung,Nepal
105,Ganj,Nepal
106,Gar,Nepal
107,Garj,Nepal
108,Garkot,Nepal
109,Garkuta,Nepal
110,Ghal,Nepal
111,Gilakuta,Nepal
112,Gnlagurkhet,Nepal
113,Gobjurg,Nepal
114,Gobujya,Nepal
115,Granauti,Nepal
116,Guhj,Nepal
117,Ha Gi,Nepal
118,Haarlin,Nepal
119,Hadranagarai Da,Nepal
120,Hadranauti,Nepal
121,Hadrapur,Nepal
122,Hairendrapur Ta,Nepal
123,Haktapur,Nepal
124,Haktapur Tamang,Nepal
125,Hang House,Nepal
126,Hangadhi,Nepal
127,Hangadhyapur,Nepal
128,Hangadhyapur Ta,Nepal
129,Hangal,Nepal
130,Hangawa,Nepal
131,Haorbuny,Nepal
132,Hap,Nepal
133,Hapgr Parganj,Nepal
134,Har,Nepal
135,Harai Danda,Nepal
136,Harai Dandu,Nepal
137,Haran,Nepal
138,Haranagarkot,Nepal
139,Haranauti,Nepal
140,Hari Bdr Thimi,Nepal
141,Hattarai Dandu,Nepal
142,Hhap,Nepal
143,Hobijya,Nepal
144,Hobpur,Nepal
145,Hobpur Tamang H,Nepal
146,Hobpur Tamangaw,Nepal
147,Hobsee,Nepal
148,Hobsem,Nepal
149,Hobseyal,Nepal
150,Hoppur,Nepal
151,Horsen,Nepal
152,House,Nepal
153,Hpur,Nepal
154,Hwar,Nepal
155,Iha,Nepal
156,Iham,Nepal
157,Ihendran,Nepal
