,Name,Origin
0, Aan Hollaparoc,Netherlands
1, Baal,Netherlands
2, Burg,Netherlands
3, Emmelofaren,Netherlands
4, Endaelen,Netherlands
5, Kaal,Netherlands
6, Kenbeers,Netherlands
7, Kootwijzel,Netherlands
8, Loosbroek Vanc,Netherlands
9, Maer,Netherlands
10, Morst,Netherlands
11, Morster,Netherlands
12, Noorwint Laure,Netherlands
13, Ord,Netherlands
14, Tadskamp,Netherlands
15, Wjsse,Netherlands
16, Wxleen,Netherlands
17,-Aarden Rijndel,Netherlands
18,-Ark,Netherlands
19,-Bodemark,Netherlands
20,-Competoren,Netherlands
21,-Ershaven,Netherlands
22,-Root Ijsserbru,Netherlands
23,-Teren,Netherlands
24,-Urka,Netherlands
25,-Urkaatsliel,Netherlands
26,-Wijk,Netherlands
27,-Zoit,Netherlands
28,Aaen,Netherlands
29,Aalre,Netherlands
30,Aalst,Netherlands
31,Aan De Exloemho,Netherlands
32,Aanray,Netherlands
33,Aarbregge,Netherlands
34,Aarburenveen,Netherlands
35,Aard,Netherlands
36,Aardingelo,Netherlands
37,Aaren,Netherlands
38,Aarlo,Netherlands
39,Aartbroeksittar,Netherlands
40,Aartier,Netherlands
41,Aat,Netherlands
42,Ade,Netherlands
43,Ael,Netherlands
44,Aelt,Netherlands
45,Aenhoutkamp,Netherlands
46,Aer,Netherlands
47,Agen,Netherlands
48,Agkanje,Netherlands
49,Ailo,Netherlands
50,Alden,Netherlands
51,Alphaam,Netherlands
52,Amberg,Netherlands
53,Ambricht,Netherlands
54,Amerhugowaals,Netherlands
55,Amp,Netherlands
56,An Den,Netherlands
57,Andel,Netherlands
58,Andumcerasrijel,Netherlands
59,Ange,Netherlands
60,Angelo,Netherlands
61,Ankeveen,Netherlands
62,Ankevershavenis,Netherlands
63,Aorden,Netherlands
64,Aost,Netherlands
65,Appel,Netherlands
66,Appellingen-Rij,Netherlands
67,Appert,Netherlands
68,Aranekel,Netherlands
69,Arculo,Netherlands
70,Aren,Netherlands
71,Arkehout,Netherlands
72,Arkel,Netherlands
73,Arkelberg,Netherlands
74,Arkelen,Netherlands
75,Arkenbeek,Netherlands
76,Artsdijk,Netherlands
77,Assau,Netherlands
78,Asse,Netherlands
79,Ater,Netherlands
80,Aven,Netherlands
81,Bard,Netherlands
82,Berg,Netherlands
83,Bergen,Netherlands
84,Bergum,Netherlands
85,Beunen,Netherlands
86,Bilre,Netherlands
87,Birasrijk,Netherlands
88,Boskanje,Netherlands
89,Bregge,Netherlands
90,Broek,Netherlands
91,Broekhem,Netherlands
92,Broes,Netherlands
93,Broesse,Netherlands
94,Broesselen,Netherlands
95,Broesselmonde,Netherlands
96,Broestel,Netherlands
97,Burg,Netherlands
98,Bussum,Netherlands
99,Celand,Netherlands
100,Cha,Netherlands
101,Chaam,Netherlands
102,Cheden,Netherlands
103,Chem,Netherlands
104,Chermeeresken,Netherlands
105,Choogezandbergu,Netherlands
106,Choort,Netherlands
107,Chten,Netherlands
108,Ckeelheide,Netherlands
109,Cker,Netherlands
110,Cnaarden,Netherlands
111,Cnaarn,Netherlands
112,Cranekelbeek,Netherlands
113,Cranen,Netherlands
114,Cranenkeveld,Netherlands
115,Cranens,Netherlands
116,Crankhuisoort,Netherlands
117,Crankhuizendrec,Netherlands
118,Cum,Netherlands
119,D Drunschild,Netherlands
120,Dalfsendorp,Netherlands
121,Damwalderen,Netherlands
122,Dberg,Netherlands
123,Dbierum,Netherlands
124,De Heide,Netherlands
125,De Kruisoort,Netherlands
126,Delbeek,Netherlands
127,Delheim,Netherlands
128,Den,Netherlands
129,Den Weterpenvee,Netherlands
130,Denburg,Netherlands
131,Der,Netherlands
132,Derkhoven-Hard,Netherlands
133,Dermeeresken,Netherlands
134,Dermert,Netherlands
135,Derswolderewaar,Netherlands
136,Dert,Netherlands
137,Dijk,Netherlands
138,Dirkslandberg,Netherlands
139,Dirkslandenberg,Netherlands
140,Dmorburg,Netherlands
141,Dorp,Netherlands
142,Dsevensbroek,Netherlands
143,Dumoerlo,Netherlands
144,E Bergerheim,Netherlands
145,E Kruisoordbroe,Netherlands
146,E Romperloon,Netherlands
147,E Rompert,Netherlands
148,Eberg,Netherlands
149,Ebroek,Netherlands
150,Ebroessel,Netherlands
151,Echt,Netherlands
152,Edam,Netherlands
153,Eden,Netherlands
154,Edert,Netherlands
155,Edesch,Netherlands
156,Een,Netherlands
157,Eenrum,Netherlands
158,Eens,Netherlands
159,Eent,Netherlands
160,Eerssel,Netherlands
161,Eesteren,Netherlands
162,Eeverbrug,Netherlands
163,Eex,Netherlands
164,Ehe,Netherlands
165,Eheeze,Netherlands
166,Eheul,Netherlands
167,Eht,Netherlands
168,Eil,Netherlands
169,Ein,Netherlands
170,Eindelhem,Netherlands
171,Eindorp,Netherlands
172,Eiswijk,Netherlands
173,Ejk,Netherlands
174,Ejsen,Netherlands
175,Elbergen-Harder,Netherlands
176,Elegeester,Netherlands
177,Elen,Netherlands
178,Elenhout,Netherlands
179,Elenhuizendrech,Netherlands
180,Elerland,Netherlands
181,Elerle,Netherlands
182,Elerltsum,Netherlands
183,Elst,Netherlands
184,Elum,Netherlands
185,Elvolderes,Netherlands
186,Emark,Netherlands
187,Emmel,Netherlands
188,Emmelers,Netherlands
189,Emmelo,Netherlands
190,Emmelooi,Netherlands
191,Emmels,Netherlands
192,Emmen,Netherlands
193,Emmer,Netherlands
194,Emmerbroek,Netherlands
195,Emmeren,Netherlands
196,Emmeringen Bode,Netherlands
197,Emmers,Netherlands
198,Emmersdijk,Netherlands
199,Emmert,Netherlands
200,Emmertsga,Netherlands
201,Emmerzicht,Netherlands
202,Enhoven-West,Netherlands
203,Enhovenmoerdoes,Netherlands
204,Enthendijk,Netherlands
205,Enthuizen,Netherlands
206,Epelst,Netherlands
207,Erakeel,Netherlands
208,Erasrijerlo,Netherlands
209,Erasrijndel-Dor,Netherlands
210,Erbeek,Netherlands
211,Erbergen,Netherlands
212,Erbergharn,Netherlands
213,Erborkum,Netherlands
214,Erbroekhem,Netherlands
215,Erbrug,Netherlands
216,Erburg,Netherlands
217,Erikzee,Netherlands
218,Eringelrode,Netherlands
219,Erssevenissel,Netherlands
220,Ersumse Heiden ,Netherlands
221,Ert,Netherlands
222,Ertsdijen,Netherlands
223,Ertsdijk,Netherlands
224,Ertsga,Netherlands
225,Ervel,Netherlands
226,Escha,Netherlands
227,Est,Netherlands
228,Esteren,Netherlands
229,Esterpenveen,Netherlands
230,Esteyn,Netherlands
231,Euw-Lotbroekhov,Netherlands
232,Even,Netherlands
233,Everakkersdijke,Netherlands
234,Eversum,Netherlands
235,Everswolden,Netherlands
236,Ewatendrichteen,Netherlands
237,Ewijk,Netherlands
238,Ewijkerkerbroek,Netherlands
239,Exer,Netherlands
240,Eze,Netherlands
241,Farenbergert,Netherlands
242,Foord,Netherlands
243,Foornakkelbergu,Netherlands
244,Foort,Netherlands
245,Fshavenissen,Netherlands
246,Gbergharen,Netherlands
247,Gbergum,Netherlands
248,Gburg,Netherlands
249,Gen,Netherlands
250,Gken,Netherlands
251,Gkenissem,Netherlands
252,Gkenstadskantje,Netherlands
253,Gkerkelbeereske,Netherlands
254,Gkum,Netherlands
255,Gmelre,Netherlands
256,Gmerontenert,Netherlands
257,Gre,Netherlands
258,Gro,Netherlands
259,Groten,Netherlands
260,Grotenderenveen,Netherlands
261,Grottem,Netherlands
262,Grotten,Netherlands
263,Haven,Netherlands
264,Hdem,Netherlands
265,He Mxel,Netherlands
266,Heemskerkelberg,Netherlands
267,Heeze,Netherlands
268,Heide,Netherlands
269,Heidenhout,Netherlands
270,Hem,Netherlands
271,Hgesterenbroek,Netherlands
272,Hjpert,Netherlands
273,Hmiede,Netherlands
274,Hnesden,Netherlands
275,Hntwunnekel,Netherlands
276,Hntxen,Netherlands
277,Hoef,Netherlands
278,Holt,Netherlands
279,Hontfoord,Netherlands
280,Hoogeren,Netherlands
281,Hoonebroekhoven,Netherlands
282,Hoonoornakkerk,Netherlands
283,Hoorn,Netherlands
284,Hove,Netherlands
285,Hovenhout,Netherlands
286,Hpalelst,Netherlands
287,Hres,Netherlands
288,Hsen,Netherlands
289,Hspenvel,Netherlands
290,Huijberg,Netherlands
291,Huiskil,Netherlands
292,Huizen,Netherlands
293,Huizend,Netherlands
294,Huizendaelen,Netherlands
295,Ijel,Netherlands
296,Ijen,Netherlands
297,Ijerheim,Netherlands
298,Ijerhoon,Netherlands
299,Ijk,Netherlands
300,Immermeren,Netherlands
301,Inchelerveldhui,Netherlands
302,Ing,Netherlands
303,Ingel,Netherlands
304,Ingelo,Netherlands
305,Ingen,Netherlands
306,Inghuizen,Netherlands
307,Inghuizendel,Netherlands
308,Ingwolderwert,Netherlands
309,Ipoud,Netherlands
310,Ipoudsen,Netherlands
311,J-Arenstad,Netherlands
312,Jarochijnspoldr,Netherlands
313,Jel,Netherlands
314,Jen,Netherlands
315,Jerheidenk,Netherlands
316,Jerkrade,Netherlands
317,Jerlen,Netherlands
318,Jerlo,Netherlands
319,Jeshoordbroek,Netherlands
320,Jgen-West,Netherlands
321,Jheder,Netherlands
322,Jhoven,Netherlands
323,Jhovenholen,Netherlands
324,Jhovenis,Netherlands
325,Jhovenmoermeers,Netherlands
326,Jmbarden,Netherlands
327,Jsbergen,Netherlands
328,Jssel,Netherlands
329,Jsselschoonebee,Netherlands
330,Jsselstervelder,Netherlands
331,Jssen,Netherlands
332,Jwsojk,Netherlands
333,Jzen,Netherlands
334,Jzoo,Netherlands
335,K Ommelo,Netherlands
336,K Uaswijkerveen,Netherlands
337,Keil,Netherlands
338,Kel,Netherlands
339,Kela,Netherlands
340,Keland,Netherlands
341,Kelandel,Netherlands
342,Kelbergum,Netherlands
343,Kelen,Netherlands
344,Kelisse,Netherlands
345,Ken,Netherlands
346,Kenboschinnepel,Netherlands
347,Kenboschinnerbu,Netherlands
348,Kenboschoon,Netherlands
349,Kenbroek,Netherlands
350,Kenisserbrug,Netherlands
351,Kensbroek,Netherlands
352,Kenstad,Netherlands
353,Ker,Netherlands
354,Kerkehout,Netherlands
355,Kerkel,Netherlands
356,Kerkenissenbosc,Netherlands
357,Kers,Netherlands
358,Kersfoorden,Netherlands
359,Kersfoort,Netherlands
360,Kerveen,Netherlands
361,Kervelden,Netherlands
362,Kkart,Netherlands
363,Knipe,Netherlands
364,Krakkerkenburg,Netherlands
365,Kum,Netherlands
366,Kwintnen,Netherlands
367,Land,Netherlands
368,Landberg,Netherlands
369,Landdaals,Netherlands
370,Lande,Netherlands
371,Landsrade,Netherlands
372,Lbeemstel,Netherlands
373,Len,Netherlands
374,Lherpenissingen,Netherlands
375,Liedberg,Netherlands
376,Liijen,Netherlands
377,Lijnselslo,Netherlands
378,Lith,Netherlands
379,Llegom,Netherlands
380,Lmen,Netherlands
381,Lmermalsen,Netherlands
382,Lombardenbeemsk,Netherlands
383,Lombardijk,Netherlands
384,Loon,Netherlands
385,Loordwijzel,Netherlands
386,Lrus,Netherlands
387,Lum,Netherlands
388,Lumer-Comperlan,Netherlands
389,Lumert,Netherlands
390,Luyksgehuchem,Netherlands
391,Lwert,Netherlands
392,Makkerk,Netherlands
393,Margraten,Netherlands
394,Meppel,Netherlands
395,Midwijk,Netherlands
396,Mmel,Netherlands
397,Mmele,Netherlands
398,Mmelen,Netherlands
399,Mmelo,Netherlands
400,Mmelse Heerlaer,Netherlands
401,Mmen,Netherlands
402,Mmeren,Netherlands
403,Mmeresker,Netherlands
404,Mmerhorn,Netherlands
405,Mmerongelschoon,Netherlands
406,Mmeronten,Netherlands
407,Mmerontenbergen,Netherlands
408,Mmerzichem,Netherlands
409,Mmerzichten,Netherlands
410,Mmijen,Netherlands
411,Mteversfoorn,Netherlands
412,Naard,Netherlands
413,Nde,Netherlands
414,Nded,Netherlands
415,Nder,Netherlands
416,Neden,Netherlands
417,Needenbeek,Netherlands
418,Neek,Netherlands
419,Nen,Netherlands
420,Nenster,Netherlands
421,Nerbergen,Netherlands
422,Nlijnselmond,Netherlands
423,Npdel,Netherlands
424,Nrootegelegen,Netherlands
425,Nrootenveld,Netherlands
426,Nveen,Netherlands
427,Nxee,Netherlands
428,Nze,Netherlands
429,O Bddel,Netherlands
430,Oerdam,Netherlands
431,Oerle-Nassel,Netherlands
432,Ommen,Netherlands
433,Ongen,Netherlands
434,Onstadskanje,Netherlands
435,Onstein,Netherlands
436,Orden,Netherlands
437,Orst,Netherlands
438,Orum,Netherlands
439,Oxtel,Netherlands
440,Pberg,Netherlands
441,Pbork,Netherlands
442,Pburg,Netherlands
443,Pdolst,Netherlands
444,Pdolstein,Netherlands
445,Pel,Netherlands
446,Pellerlandsveen,Netherlands
447,Pellers,Netherlands
448,Pels,Netherlands
449,Pette,Netherlands
450,Pettem,Netherlands
451,Pijk,Netherlands
452,Pijk-Oostein,Netherlands
453,Pijk-Oosterwoud,Netherlands
454,Pijken,Netherlands
455,Pijkers,Netherlands
456,Poord,Netherlands
457,Pren,Netherlands
458,Pspolde,Netherlands
459,Pstein,Netherlands
460,Pstendijel,Netherlands
461,Pster,Netherlands
462,Psterens,Netherlands
463,Psterhoonholen,Netherlands
464,Psterhoot,Netherlands
465,Psterinchelerlo,Netherlands
466,Pstermalstelbee,Netherlands
467,Psterpenis,Netherlands
468,Ptene,Netherlands
469,Pxen,Netherlands
470,Raal,Netherlands
471,Raam,Netherlands
472,Rakel,Netherlands
473,Rakelandelheide,Netherlands
474,Rakenbeek,Netherlands
475,Rakkela,Netherlands
476,Rakkum,Netherlands
477,Ramert,Netherlands
478,Randberg,Netherlands
479,Randsveent,Netherlands
480,Ravelderewaals,Netherlands
481,Rborkum,Netherlands
482,Rburg,Netherlands
483,Rcherpenvoorn,Netherlands
484,Rcnekwint Loo,Netherlands
485,Rdelhem,Netherlands
486,Rden,Netherlands
487,Reek,Netherlands
488,Reen,Netherlands
489,Ren,Netherlands
490,Res,Netherlands
491,Richten,Netherlands
492,Riet,Netherlands
493,Riethovenholt,Netherlands
