,Name,Origin
0, Berger,Norway
1, I Afjord,Norway
2, I Afjorkebygda,Norway
3, I Dalen,Norway
4, I Rand,Norway
5, I Ranemsedavag,Norway
6, I Ranemsletta,Norway
7, Isa,Norway
8, Iwdikelandso,Norway
9, Runn,Norway
10, Runndalsen,Norway
11,Adjar,Norway
12,Adso,Norway
13,Agaholmelvik,Norway
14,Agamo,Norway
15,Ajovik,Norway
16,Alen,Norway
17,All,Norway
18,Alvdal,Norway
19,And,Norway
20,Anda,Norway
21,Andaberg,Norway
22,Andal,Norway
23,Andalsnes,Norway
24,Andas,Norway
25,Ande,Norway
26,Anden,Norway
27,Andheim,Norway
28,Andnes,Norway
29,Andsvanuorri,Norway
30,Andsvollefjelld,Norway
31,Andvik,Norway
32,Ane,Norway
33,Anemsedal,Norway
34,Ang,Norway
35,Ange,Norway
36,Angebu,Norway
37,Angen,Norway
38,Anger,Norway
39,Angerdal,Norway
40,Angerstad,Norway
41,Angerster,Norway
42,Angne,Norway
43,Angvagen,Norway
44,Anl,Norway
45,Annes,Norway
46,Ansand,Norway
47,Aoen,Norway
48,Aoger,Norway
49,Aogndalsundorp,Norway
50,Aoli,Norway
51,Aonnabahta,Norway
52,Aorsand,Norway
53,Aroy,Norway
54,Aroysund,Norway
55,Arvik,Norway
56,Asand,Norway
57,Asmer,Norway
58,Aso,Norway
59,Astad,Norway
60,Aststraumen,Norway
61,Atfjellsjoen,Norway
62,Auda,Norway
63,Aumen,Norway
64,Auna,Norway
65,Aura,Norway
66,Austdalsundda,Norway
67,Avanger,Norway
68,Berg,Norway
69,Bergom,Norway
70,Borg,Norway
71,Botn,Norway
72,Botngard,Norway
73,Buroysund,Norway
74,Byen,Norway
75,Bygda,Norway
76,Bygdal,Norway
77,Dal,Norway
78,Daland,Norway
79,Dalanda,Norway
80,Dalandalesund,Norway
81,Dale,Norway
82,Dalen,Norway
83,Daler,Norway
84,Dalestby,Norway
85,Dalset,Norway
86,Dalsnes,Norway
87,Dalsomvik,Norway
88,Dalsora,Norway
89,Dalsoyri,Norway
90,Dalstad Bru,Norway
91,Dalstadnes,Norway
92,Dalsteinvindale,Norway
93,Dalsund,Norway
94,Dateby,Norway
95,Djobeng,Norway
96,Djord,Norway
97,Dokka,Norway
98,Dombas,Norway
99,Dovre,Norway
100,Dskog,Norway
101,Dsvoll,Norway
102,Egen,Norway
103,Ehamn,Norway
104,Ehamnvik,Norway
105,Eid,Norway
106,Eik,Norway
107,Eilo,Norway
108,Einnevolvalle,Norway
109,Einsverkvid,Norway
110,Eisa,Norway
111,Emsedal,Norway
112,Emsletten,Norway
113,Erbo,Norway
114,Erbyen,Norway
115,Erdalsund,Norway
116,Eribyen,Norway
117,Ern,Norway
118,Erora,Norway
119,Ersund,Norway
120,Ertta,Norway
121,Ervik,Norway
122,Esgard,Norway
123,Est,Norway
124,Esta,Norway
125,Estnes,Norway
126,Eteroysund,Norway
127,Eterum,Norway
128,Eterumsanden,Norway
129,Etre,Norway
130,Evangersak,Norway
131,Evetal,Norway
132,Eyststrai,Norway
133,Fjeldalsteinnes,Norway
134,Fjell,Norway
135,Fjord,Norway
136,Fjordal,Norway
137,Fjorde,Norway
138,Fjordeide,Norway
139,Fjordeidet,Norway
140,Fjorden,Norway
141,Fjordstese,Norway
142,Fjordstrand,Norway
143,Gan,Norway
144,Gehamnvik,Norway
145,Gen,Norway
146,Ger,Norway
147,Gerdaleen,Norway
148,Gheim,Norway
149,Gindane,Norway
150,Gje,Norway
151,Gol,Norway
152,Gon,Norway
153,Gondal,Norway
154,Gonde,Norway
155,Gondeberg,Norway
156,Gongsbergerstad,Norway
157,Gongstad,Norway
158,Gongsvik,Norway
159,Gongsvika,Norway
160,Gonnes,Norway
161,Gonningvatnfjor,Norway
162,Gonnoysund,Norway
163,Gord,Norway
164,Gordal,Norway
165,Gordsteseid,Norway
166,Grora,Norway
167,Gseid,Norway
168,Halden,Norway
169,Halderoy,Norway
170,Halsen,Norway
171,Halset,Norway
172,Halsund,Norway
173,Halsunddal,Norway
174,Hammerstad,Norway
175,Hammerstrandamo,Norway
176,Hamn,Norway
177,Hamnvik,Norway
178,Hauge I Afjord,Norway
179,Hauge I Dale,Norway
180,Haugesund,Norway
181,Hus,Norway
182,Ibyen,Norway
183,Idaer,Norway
184,Idsund,Norway
185,Idsvaerdaler,Norway
186,Idsvag,Norway
187,Idsvollesund,Norway
188,Igo,Norway
189,Ihaug,Norway
190,Ikje,Norway
191,Ikrehamn,Norway
192,Ile,Norway
193,Ilkalen,Norway
194,Ilkanger,Norway
195,Ilken,Norway
196,Ilkenes,Norway
197,Ilvaer,Norway
