,Name,Origin
0, Bjalski,Poland
1, Ggrzydnica,Poland
2, Ggrzyn Noteczy,Poland
3, Ggrzyska,Poland
4, Gork,Poland
5, Kwaczac,Poland
6, Pomorska,Poland
7, Wroclaw,Poland
8, Zuksko,Poland
9,-Chowo,Poland
10,-Cia,Poland
11,-Miarki,Poland
12,-Sia,Poland
13,-Za,Poland
14,-Zakeczna,Poland
15,-Zanki,Poland
16,A Gorzechow,Poland
17,Ablonna,Poland
18,Abow,Poland
19,Abowal,Poland
20,Abrodzia,Poland
21,Abrz,Poland
22,Abrzec,Poland
23,Abrzysko,Poland
24,Aczala,Poland
25,Adandobrz,Poland
26,Adcon,Poland
27,Adowa,Poland
28,Adziej,Poland
29,Adzierutoc,Poland
30,Adziewnica Kosm,Poland
31,Aeda,Poland
32,Aedow,Poland
33,Aga Podedworzel,Poland
34,Agieradowa,Poland
35,Akko,Poland
36,Akowice,Poland
37,Ala,Poland
38,Alachow Charszn,Poland
39,Aleszowicki,Poland
40,Alistrownik,Poland
41,Alogoczany,Poland
42,Alogozno,Poland
43,Alow,Poland
44,Alowice,Poland
45,Alskie,Poland
46,Amborzec,Poland
47,Amsiekoszany,Poland
48,Aniewo,Poland
49,Anka,Poland
50,Anow,Poland
51,Anow Charsznik ,Poland
52,Anowice,Poland
53,Anskie,Poland
54,Aomorskie,Poland
55,Apkowice,Poland
56,Apowogrodziew,Poland
57,Apowska Wielka,Poland
58,Aptocin,Poland
59,Ardawa,Poland
60,Arka,Poland
61,Arki,Poland
62,Arnica Debno,Poland
63,Arniki,Poland
64,Arnkowo Podlask,Poland
65,Arnow,Poland
66,Arnozialski,Poland
67,Arorzegi,Poland
68,Arow,Poland
69,Arowno,Poland
70,Arowsko,Poland
71,Arska,Poland
72,Arszna,Poland
73,Arsznice,Poland
74,Arsznicka,Poland
75,Arwan,Poland
76,Ary,Poland
77,Arzec,Poland
78,Arzel,Poland
79,Arzewal,Poland
80,Arzezynek,Poland
81,Arzyska,Poland
82,Aszubska Gorne,Poland
83,Auzewo,Poland
84,Awa,Poland
85,Aweczyce,Poland
86,Awno,Poland
87,Aze,Poland
88,Azecice,Poland
89,Azka,Poland
90,Azkie,Poland
91,Bark,Poland
92,Basz,Poland
93,Baszow,Poland
94,Baszowe Lipce D,Poland
95,Baszyn,Poland
96,Bczow Przec,Poland
97,Blonow,Poland
98,Bstrowa,Poland
99,Bukowsko,Poland
100,Bzernica Kaszyc,Poland
101,Caloszyca,Poland
102,Canek,Poland
103,Cchowice,Poland
104,Cda,Poland
105,Cdzechow,Poland
106,Ce-Gniewo,Poland
107,Cep,Poland
108,Cepro,Poland
109,Ceprzyno,Poland
110,Cga,Poland
111,Chow,Poland
112,Chow Lublewice,Poland
113,Ciec,Poland
114,Cisewo,Poland
115,Colaz Polaniewi,Poland
116,Cow,Poland
117,Cpceprawa,Poland
118,Crarnozia,Poland
119,Crzybow,Poland
120,Cstrzanski,Poland
121,Ctrozanskienado,Poland
122,Cuc,Poland
123,Cug,Poland
124,Cup,Poland
125,Cza,Poland
126,Czalkow,Poland
127,Czanica,Poland
128,Cze,Poland
129,Czewa,Poland
130,Cznie,Poland
131,Czudec,Poland
132,Czyca,Poland
133,Czycka,Poland
134,Czyn Nowy,Poland
135,Daddowno,Poland
136,Dadowice,Poland
137,Dadsipniki,Poland
138,Dawa,Poland
139,Dawice,Poland
140,Dawiecice,Poland
141,Dchobyczyniec,Poland
142,Dclawice,Poland
143,Debczaliniewo,Poland
144,Djsbicankrajens,Poland
145,Dlin,Poland
146,Dlinia Gornik,Poland
147,Dlo,Poland
148,Dlow,Poland
149,Dlowka,Poland
150,Dnia,Poland
151,Dniadziecin,Poland
152,Drzysko,Poland
153,Dziebodziszew,Poland
154,Dziecki,Poland
155,Dziski,Poland
156,Dzkowskie,Poland
157,Dzynek,Poland
158,E Bialowy,Poland
159,E Zimnica-Ratyn,Poland
160,E-Zinarusz,Poland
161,Ebia,Poland
162,Ecbrzelniki,Poland
163,Ecin,Poland
