,Name,Origin
0, De Joao Mau,Portugal
1, Do Hora,Portugal
2, Do Santa Corro,Portugal
3, Dos,Portugal
4, Dos De Infesta,Portugal
5, Dos De Nexe,Portugal
6, Edma,Portugal
7, Mar,Portugal
8, Mee,Portugal
9, Orres,Portugal
10, Vcde,Portugal
11,-Vadz,Portugal
12,-Valada,Portugal
13,-Valado,Portugal
14,-Vcal,Portugal
15,-Vdje De Aveiro,Portugal
16,-Vdlo,Portugal
17,-Vdlrabana Da B,Portugal
18,-Velha,Portugal
19,-Velhos,Portugal
20,-Vola,Portugal
21,-Vsil,Portugal
22,-Vtao Pirescain,Portugal
23,A-Ovpide,Portugal
24,A-Voliqueira,Portugal
25,Aacao,Portugal
26,Aacos Frio,Portugal
27,Aal,Portugal
28,Aalento Anta Ir,Portugal
29,Acacieira,Portugal
30,Acado Romar,Portugal
31,Acampo,Portugal
32,Acedo Beira Do ,Portugal
33,Aco Da Basto,Portugal
34,Ada Hora Cha,Portugal
35,Ade,Portugal
36,Ade Cacieiria,Portugal
37,Adela,Portugal
38,Aderra,Portugal
39,Ades,Portugal
40,Aela,Portugal
41,Aelres,Portugal
42,Afazedouro,Portugal
43,Aferraleia Da A,Portugal
44,Afigueira De Mo,Portugal
45,Aguca,Portugal
46,Aha,Portugal
47,Ahl,Portugal
48,Ahola,Portugal
49,Ahora De Azeita,Portugal
50,Ahospitaladas,Portugal
51,Ahospitalega,Portugal
52,Ahospitalvoreir,Portugal
53,Ahospitao Joao ,Portugal
54,Ahoua,Portugal
55,Ahpangua,Portugal
56,Ahs,Portugal
57,Ainhas,Portugal
58,Ajo,Portugal
59,Ajosntes,Portugal
60,Aldeia,Portugal
61,Aldha,Portugal
62,Alha,Portugal
63,Aloura,Portugal
64,Alpdouro,Portugal
65,Ama,Portugal
66,Amaia De Gaia,Portugal
67,Amiaes,Portugal
68,Aminas De Fama,Portugal
69,Amora Do Doura,Portugal
70,Amoura,Portugal
71,Anca,Portugal
72,Anogueira Do Do,Portugal
73,Anta Bestelo,Portugal
74,Antejo,Portugal
75,Aou,Portugal
76,Apdamaga,Portugal
77,Apelas,Portugal
78,Apinheira Do Co,Portugal
79,Aporto,Portugal
80,Aportolomeu De ,Portugal
81,Araonjo,Portugal
82,Areirao,Portugal
83,Arelharnecarate,Portugal
84,Armacao,Portugal
85,Aroes,Portugal
86,Arrangueirim,Portugal
87,Arrei,Portugal
88,Arrifandomao,Portugal
89,Asco Do Andras,Portugal
90,Aseglifanave,Portugal
91,Asjnonais,Portugal
92,Assafrim,Portugal
93,Assama,Portugal
94,Atalhadas De Sa,Portugal
95,Atalharneca Do ,Portugal
96,Atao,Portugal
97,Avo,Portugal
98,Axinha,Portugal
99,Azemelhande,Portugal
100,Baguim De Ribei,Portugal
101,Balendarem,Portugal
102,Baltar,Portugal
103,Batalvo,Portugal
104,Batao,Portugal
105,Batao Vizela,Portugal
106,Bceira Do Covoa,Portugal
107,Beja,Portugal
108,Bela,Portugal
109,Blalonga,Portugal
110,Bmalicao,Portugal
111,Boaviao,Portugal
112,Bota,Portugal
113,Bpeia,Portugal
114,Bpeira Cruz Do ,Portugal
115,Bqun,Portugal
116,Bra,Portugal
117,Brangueira Gord,Portugal
118,Branheira,Portugal
119,Brave,Portugal
120,Bravel,Portugal
121,Bravelete,Portugal
122,Bravem,Portugal
123,Braves,Portugal
124,Bravezes,Portugal
125,Btao,Portugal
126,Bvila Nova De C,Portugal
127,Cabeca Da Baili,Portugal
128,Cal,Portugal
129,Caldas De Peque,Portugal
130,Calde,Portugal
131,Cama,Portugal
132,Camalicao,Portugal
133,Cana,Portugal
134,Caneca,Portugal
135,Canede,Portugal
136,Canes,Portugal
137,Caraparganil,Portugal
138,Carento Coa Do ,Portugal
139,Carral,Portugal
140,Castanho,Portugal
141,Casteirao,Portugal
142,Castoia,Portugal
143,Castro Grandoma,Portugal
144,Ccavide,Portugal
145,Ccmar,Portugal
146,Cdaferra,Portugal
147,Cdra,Portugal
148,Cdrrifande,Portugal
149,Celorilhe,Portugal
150,Chaves,Portugal
151,Cilhoeira De Fe,Portugal
152,Cinfaes,Portugal
153,Cinta Mamede,Portugal
154,Cje,Portugal
155,Clde,Portugal
156,Cmar,Portugal
157,Cmbara Do Pedro,Portugal
158,Coiva,Portugal
159,Coricao Martela,Portugal
160,Correiro,Portugal
161,Correiro Maia,Portugal
162,Coruches,Portugal
163,Corvor De Cerca,Portugal
164,Cos,Portugal
165,Covilheira,Portugal
166,Csbara,Portugal
167,Ctldas Lamar,Portugal
168,Cxias,Portugal
