,Name,Origin
0, Ceta,Romania
1, Crasti,Romania
2, Curuzu,Romania
3, De Jos,Romania
4, De Sus,Romania
5, Dornut,Romania
6, Frumuseletis,Romania
7, Jos,Romania
8, Mare,Romania
9, Nou,Romania
10, Nucare,Romania
11, Nucari,Romania
12, Padiru,Romania
13,-Calacesti,Romania
14,-Calaciu De Sus,Romania
15,-Calafindesti,Romania
16,-Calicele,Romania
17,-Caliste,Romania
18,-Caliuc,Romania
19,-Calusteni,Romania
20,-Camasneiulesti,Romania
21,-Campinesti,Romania
22,-Ihail Kogalnic,Romania
23,-Sarastacani,Romania
24,-Valea-Mosti,Romania
25,A Mare,Romania
26,Aaduri,Romania
27,Abar,Romania
28,Acraiu De Jos,Romania
29,Acu,Romania
30,Acu De Jos,Romania
31,Adana,Romania
32,Adancea,Romania
33,Adancean,Romania
34,Adjudu Noua,Romania
35,Adu Nou,Romania
36,Adu Voda,Romania
37,Aghin,Romania
38,Aghiresti,Romania
39,Aghiu,Romania
40,Aguleni,Romania
41,Agura,Romania
42,Ahizdavenesti,Romania
43,Aiud,Romania
44,Alicea,Romania
45,Alindeni-Prajel,Romania
46,Alindia,Romania
47,Aliniloresti,Romania
48,Alistesti,Romania
49,Alustesti,Romania
50,Amatei,Romania
51,Ambravesti,Romania
52,Amgereu,Romania
53,Ami,Romania
54,Ana,Romania
55,Andreesti,Romania
56,Andrei Sagu,Romania
57,Andru,Romania
58,Anesti,Romania
59,Anestian,Romania
60,Angeorz-Bai,Romania
61,Anmarla,Romania
62,Anmihail Kogaln,Romania
63,Anpetrita,Romania
64,Anpetrosani,Romania
65,Anpetrovileni,Romania
66,Ant,Romania
67,Antanatorii De ,Romania
68,Antazi,Romania
69,Antov,Romania
70,Apalina Jiu,Romania
71,Apattua,Romania
72,Ardusa,Romania
73,Ardusanatorsura,Romania
74,Ardusani,Romania
75,Arelipca,Romania
76,Argesestii-Vale,Romania
77,Arguleni,Romania
78,Arica,Romania
79,Arinilor,Romania
80,Arinis,Romania
81,Armana,Romania
82,Armpnaris,Romania
83,Arpas,Romania
84,Aru Vechitu,Romania
85,Astava,Romania
86,Asuaju De Jos,Romania
87,Ateni,Romania
88,Atinesti,Romania
89,Atinoaia Tisan,Romania
90,Atu Gheorghe Do,Romania
91,Atu Noua,Romania
92,Atuleni,Romania
93,Atulesti,Romania
94,Aumbrava,Romania
95,Auncoiu De Camp,Romania
96,Auncoveni,Romania
97,Azucescu,Romania
98,Bcani,Romania
99,Bcoveni,Romania
100,Bdava,Romania
101,Bghe,Romania
102,Bghiresti,Romania
103,Bhuz Mare,Romania
104,Bidrei Salinis,Romania
105,Bii De Jos,Romania
106,Bii De Sus,Romania
107,Bintii Maria-Or,Romania
108,Bintu Frumoasa,Romania
109,Bis,Romania
110,Biste,Romania
111,Bistesti,Romania
112,Bistrancoiu,Romania
113,Bistrovu De Jos,Romania
114,Bistura Ocnita,Romania
115,Bnhzodeni,Romania
116,Bni,Romania
117,Bnioarat,Romania
118,Caliceanu,Romania
119,Campie,Romania
120,Cba,Romania
121,Cbulesti,Romania
122,Cci Ra Voda,Romania
123,Cea,Romania
