,Name,Origin
0, Gogra,Russia
1, Gorbeyevka,Russia
2, Voronevikolaya,Russia
3,'-Tarba,Russia
4,'Enskoye,Russia
5,'Skiy,Russia
6,'Yanastyye Sel',Russia
7,'Yanka,Russia
8,'Yartysheykal'S,Russia
9,'Ye,Russia
10,-Imursk,Russia
11,-Khari,Russia
12,-Livskiy,Russia
13,-Yak,Russia
14,Aag-Ksyevsk,Russia
15,Aak,Russia
16,Aarinovka,Russia
17,Aazarenskiy,Russia
18,Abasharyy Gorny,Russia
19,Abkresterev,Russia
20,Abr'Skiy,Russia
21,Achevskoye,Russia
22,Agan,Russia
23,Agurul,Russia
24,Akada,Russia
25,Akh,Russia
26,Akhtamygdagalau,Russia
27,Akhtemovskoye,Russia
28,Aksi,Russia
29,Aksy,Russia
30,Al'Brushi,Russia
31,Al'Sk,Russia
32,Alchachevskovsk,Russia
33,Alekmaguzin,Russia
34,Alinskoye,Russia
35,Alita,Russia
36,Alitskiy Ostovo,Russia
37,Alsk,Russia
38,Aly,Russia
39,Ameni Vorodskoy,Russia
40,Amygdan,Russia
41,Andra,Russia
42,Angar,Russia
43,Angarin,Russia
44,Angel'-Ilimkar,Russia
45,Angepanskoye,Russia
46,Angepasha,Russia
47,Angin,Russia
48,Angodarnaya Lya,Russia
49,Angury,Russia
50,Anguy,Russia
51,Anka,Russia
52,Anobalka,Russia
53,Ansk,Russia
54,Anskiy,Russia
55,Anton'Ba,Russia
56,Anzyana,Russia
57,Aozino,Russia
58,Arabagaryy Chis,Russia
59,Arinskoye Murma,Russia
60,Arkeno,Russia
61,Arkovo,Russia
62,Arkovoorlovoukh,Russia
63,Arkulesenskiy,Russia
64,Arlyankhovka,Russia
65,Asbestovka,Russia
66,Askaya,Russia
67,Atayskiy,Russia
68,Ateyrbskoye,Russia
69,Avat,Russia
70,Avdino,Russia
71,Aya,Russia
72,Aya Im,Russia
73,Aya Karpino,Russia
74,Aya Turgan Amaz,Russia
75,Ayskoyevka,Russia
76,Azadshov,Russia
77,Azanka,Russia
78,Azanskaya,Russia
79,Azdno,Russia
80,Azdovosert',Russia
81,Azna,Russia
82,Azolovskiy,Russia
83,Azumnoye,Russia
84,Babstochinskoyn,Russia
85,Babstok,Russia
86,Bataul,Russia
87,Begunsk,Russia
88,Beyev,Russia
89,Beyskoye,Russia
90,Birs,Russia
91,Bkay,Russia
92,Blagisterlitsal,Russia
93,Blagovo,Russia
94,Bnogvarkinsk,Russia
95,Bol'Noye,Russia
96,Bol'Shov,Russia
97,Bolcha,Russia
98,Bolik,Russia
99,Brednyanskovoki,Russia
100,Brinskoye,Russia
101,Burukhovdyakovi,Russia
102,Buzdyaki,Russia
103,Bvero-Yenino,Russia
104,Bystkino,Russia
105,Cecyevskiy,Russia
106,Cekyazy,Russia
107,Celyam,Russia
108,Cerbogatli,Russia
109,Cerbogatun,Russia
110,Cesen',Russia
111,Cestok,Russia
112,Cgush,Russia
113,Chany,Russia
114,Chchi,Russia
115,Chen,Russia
116,Chenvoye,Russia
117,Chi,Russia
118,Chino,Russia
119,Chisheykalmatsk,Russia
120,Chit,Russia
121,Chnya,Russia
122,Churskiy,Russia
123,Cinyaya,Russia
124,Cokalgako,Russia
125,Csemero-Zadonov,Russia
126,Cyash,Russia
127,Dan,Russia
128,Dana,Russia
129,Danechnyy Yarko,Russia
130,Danka,Russia
131,Danovka,Russia
132,Danovskoye,Russia
133,Danskiy,Russia
134,Day,Russia
135,Densk,Russia
136,Devskiy,Russia
137,Dezenchukache,Russia
138,Dezenchushevo,Russia
139,Dino,Russia
140,Dinsk,Russia
141,Donsta,Russia
142,Donstanskiy,Russia
143,Donstantipovo,Russia
144,Dor,Russia
145,Dov,Russia
146,Dovo,Russia
147,Dovskiy,Russia
148,Dubrovsk,Russia
149,Dyaki,Russia
150,Dyayevo,Russia
151,Dzerzhi,Russia
152,Ebryasovsk,Russia
153,Edy,Russia
154,Eiset',Russia
155,Ekeyevo,Russia
156,Elomna,Russia
157,Emyach,Russia
158,Emyachka,Russia
159,Emyshskiy,Russia
160,Enobanovka,Russia
161,Erdsk,Russia
162,Erdskoye,Russia
163,Erdyn',Russia
164,Erka,Russia
165,Erlibay,Russia
166,Ernyy,Russia
167,Esen'Yevo,Russia
168,Esenskinoveshch,Russia
169,Esentukhostov,Russia
170,Eset',Russia
171,Evo,Russia
172,Evskiy,Russia
173,Gal'Sk,Russia
