,Name,Origin
0,   Minaazzzllfi,Saudi Arabia
1,   Rsrais,Saudi Arabia
2,  'If,Saudi Arabia
3,  'Il,Saudi Arabia
4,  Abtkal,Saudi Arabia
5,  Albarah,Saudi Arabia
6,  Ankkliraha,Saudi Arabia
7,  Artawiyah,Saudi Arabia
8,  Barj,Saudi Arabia
9,  Battaliyah,Saudi Arabia
10,  Bkkarraz,Saudi Arabia
11,  Blka'Il,Saudi Arabia
12,  Bqarah,Saudi Arabia
13,  Brkaz,Saudi Arabia
14,  Brnai,Saudi Arabia
15,  Bskai,Saudi Arabia
16,  Btttaliyah,Saudi Arabia
17,  Btttlli,Saudi Arabia
18,  Btttllinaa,Saudi Arabia
19,  Bukayr,Saudi Arabia
20,  Bukayrifi,Saudi Arabia
21,  Bukayriyah,Saudi Arabia
22,  Cwayrifi,Saudi Arabia
23,  D'Il,Saudi Arabia
24,  Darbr,Saudi Arabia
25,  Dfwa,Saudi Arabia
26,  Dnwaliyah,Saudi Arabia
27,  Dqaradimi,Saudi Arabia
28,  Dwibiyah,Saudi Arabia
29,  Ffu,Saudi Arabia
30,  Fwa,Saudi Arabia
31,  Fwi,Saudi Arabia
32,  Hufuf,Saudi Arabia
33,  Jbraaf,Saudi Arabia
34,  Jsba,Saudi Arabia
35,  Jtadiyah,Saudi Arabia
36,  Jubayl,Saudi Arabia
37,  Kharj,Saudi Arabia
38,  Khayj,Saudi Arabia
39,  Knamzhzral,Saudi Arabia
40,  Kshaib,Saudi Arabia
41,  Lbaradiyah,Saudi Arabia
42,  Lbarah,Saudi Arabia
43,  Lbtat,Saudi Arabia
44,  Lnkil,Saudi Arabia
45,  Lqaradiyah,Saudi Arabia
46,  Maj,Saudi Arabia
47,  Mfja,Saudi Arabia
48,  Mrsssouutayri,Saudi Arabia
49,  Mrubs,Saudi Arabia
50,  Mttaliyah,Saudi Arabia
51,  Mtusayu,Saudi Arabia
52,  Mubarraz,Saudi Arabia
53,  Nkil,Saudi Arabia
54,  Nub,Saudi Arabia
55,  Nubarjal,Saudi Arabia
56,  Nukayr,Saudi Arabia
57,  Nukayrifi,Saudi Arabia
58,  Ohubi,Saudi Arabia
59,  Onkklirah,Saudi Arabia
60,  Onkkliriai,Saudi Arabia
61,  Ottaliyah,Saudi Arabia
62,  Qaraf,Saudi Arabia
63,  Qarah,Saudi Arabia
64,  Qaraha,Saudi Arabia
65,  Rissmuut,Saudi Arabia
66,  Rissmuutayrif,Saudi Arabia
67,  Rnsszub,Saudi Arabia
68,  Rnsszuuf,Saudi Arabia
69,  Rsssoukayr,Saudi Arabia
70,  Rsssouutayr,Saudi Arabia
71,  Rsssub,Saudi Arabia
72,  Rsssuiaya,Saudi Arabia
73,  Rsssuuaiyah,Saudi Arabia
74,  Rsssuuayyat,Saudi Arabia
75,  Rtawiyah,Saudi Arabia
76,  Rtbwaridah,Saudi Arabia
