,Name,Origin
0, Bastanicevo,Serbia
1, Besmer,Serbia
2, Besmorovo Sele,Serbia
3, Breg,Serbia
4, Crna Trava,Serbia
5, Grabovci,Serbia
6, Grinovci,Serbia
7, Mosta,Serbia
8, Mostanica,Serbia
9, Trava,Serbia
10,Acki Breg,Serbia
11,Agorgevo,Serbia
12,Aja,Serbia
13,Ajecar,Serbia
14,Ajetin,Serbia
15,Ajicevo,Serbia
16,Anovcina,Serbia
17,Arosina,Serbia
18,Backi Breg,Serbia
19,Banatskovac,Serbia
20,Bceros,Serbia
21,Bcevo,Serbia
22,Becmen,Serbia
23,Bline,Serbia
24,Breg,Serbia
25,Brggvbi Arak,Serbia
26,Ceeo,Serbia
27,Cevo,Serbia
28,Cka,Serbia
29,Cseeicevo,Serbia
30,Despotova Volds,Serbia
31,Despotovac,Serbia
32,Dza,Serbia
33,Eceros,Serbia
34,Ecko Petrovac,Serbia
35,Efkeric,Serbia
36,Efkerica,Serbia
37,Efkerice,Serbia
38,Efkericevo,Serbia
39,Efkerin,Serbia
40,Efkerinova Varo,Serbia
41,Efkerinovci,Serbia
42,Efkerinovica,Serbia
43,Efkeros,Serbia
44,Egrtin,Serbia
45,Egrtina,Serbia
46,Egrtincevo,Serbia
47,Ekaricevo,Serbia
48,Elakovac,Serbia
49,Eleus,Serbia
50,Elje,Serbia
51,Eljug,Serbia
52,Elo,Serbia
53,Elvubpc,Serbia
54,Esan,Serbia
55,Esecina,Serbia
56,Esenica,Serbia
57,Esenice,Serbia
58,Esenik,Serbia
59,Esenika Mostani,Serbia
60,Eseoina,Serbia
61,Esericevo,Serbia
62,Esetin,Serbia
63,Esetina,Serbia
64,Esina,Serbia
65,Estojicevo,Serbia
66,Esvo Seleus,Serbia
67,Eteo,Serbia
68,Evac,Serbia
69,Evari Grad,Serbia
70,Evari Gradimir,Serbia
71,Evaricevo,Serbia
72,Fkaric,Serbia
73,Fkarice,Serbia
74,Fkeric,Serbia
75,Fkerica,Serbia
76,Fkerice,Serbia
77,Fkericevo,Serbia
78,Fkerin,Serbia
79,Fkerinovac,Serbia
80,Fkerinovci,Serbia
81,Fkerinovcina,Serbia
82,Fkerinovcina Tr,Serbia
83,G Ras,Serbia
84,Gjetin,Serbia
85,Gkabica,Serbia
86,Gkabovcina,Serbia
87,Gkadiste,Serbia
88,Gkolovi Pazar,Serbia
89,Gkorica,Serbia
90,Gkorovo Seleus,Serbia
91,Gradist,Serbia
92,Grevica,Serbia
93,Grevice,Serbia
94,Grevicevo,Serbia
95,Grin,Serbia
96,Grinovac,Serbia
97,Grinovci,Serbia
98,Grinovi Pazar,Serbia
99,Grinovica,Serbia
100,Grmic,Serbia
101,Grtin,Serbia
102,Grtina,Serbia
103,Ica,Serbia
104,Ice,Serbia
105,Icevo,Serbia
106,Ikarica,Serbia
107,Irigrevicevo,Serbia
108,Itanicevo,Serbia
109,Janin,Serbia
110,Je Icevo,Serbia
111,Jecar,Serbia
112,Jeg,Serbia
113,Jelakovac,Serbia
