,Name,Origin
0,  Mrad,Slovakia
1," ,Ravce",Slovakia
2, Ana,Slovakia
3, Balog,Slovakia
4, Bela,Slovakia
5, Dunaji,Slovakia
6, Enice,Slovakia
7, Hysky Krtis,Slovakia
8, Kmtad,Slovakia
9, Medzev,Slovakia
10, Nad Tisou,Slovakia
11, Nad Toplou,Slovakia
12, Omberok,Slovakia
13, Podzamok,Slovakia
14, Teplice,Slovakia
15, Urbanovica,Slovakia
16, Uriny,Slovakia
17, Vahom,Slovakia
18, Vnaka,Slovakia
19,",Bol",Slovakia
20,",Lice",Slovakia
21,",Llova",Slovakia
22,",Lolky Podhradl",Slovakia
23,",Lova Bana",Slovakia
24,",Lova Dubnice",Slovakia
25,",Lovce",Slovakia
26,",Mlo",Slovakia
27,",Nica",Slovakia
28,",Plou",Slovakia
29,",Slovakia",Slovakia
30,Aanka Bela,Slovakia
31,Aborce,Slovakia
32,Ace,Slovakia
33,Acin,Slovakia
34,Adok,Slovakia
35,Aflelice,Slovakia
36,Ah Robota,Slovakia
37,Ahbie,Slovakia
38,Ahy,Slovakia
39,Aky,Slovakia
40,Amhedmerencin,Slovakia
41,Amnad Brad,Slovakia
42,Amy,Slovakia
43,Ana,Slovakia
44,Anck,Slovakia
45,Anco,Slovakia
46,Anje,Slovakia
47,Anlo,Slovakia
48,Anloa,Slovakia
49,Anno,Slovakia
50,Anok,Slovakia
51,Anoo,Slovakia
52,Anovica,Slovakia
53,Anso,Slovakia
54,Ansoa,Slovakia
55,Any,Slovakia
56,Any Kubin,Slovakia
57,Aphbtice,Slovakia
58,Arbinosady,Slovakia
59,Asna,Slovakia
60,Azske Tatry,Slovakia
61,"B,El",Slovakia
62,"B,Ely",Slovakia
63,"B,Lova Dubnice",Slovakia
64,Bana,Slovakia
65,Banska Sobota,Slovakia
66,Banske,Slovakia
67,Banske Podzamok,Slovakia
68,Bbely,Slovakia
69,Bce,Slovakia
70,Bec,Slovakia
71,Beda,Slovakia
72,Bena,Slovakia
73,Benac Balovacov,Slovakia
74,Benac Nad Toplo,Slovakia
75,Benaca,Slovakia
76,Benace,Slovakia
77,Benec,Slovakia
78,Benoc,Slovakia
79,Beny,Slovakia
80,Beny Banske Tep,Slovakia
81,Beny Kubinosady,Slovakia
82,Benyck,Slovakia
83,Benycp,Slovakia
84,Berok,Slovakia
85,Bhlie,Slovakia
86,Bina,Slovakia
87,Binosady,Slovakia
88,Blevica,Slovakia
89,Bne,Slovakia
90,Bnev,Slovakia
91,Bnica,Slovakia
92,Bnice,Slovakia
93,Bnina,Slovakia
94,Bojnica,Slovakia
95,Bope  Aborce,Slovakia
96,Bov,Slovakia
97,Bovec,Slovakia
98,Bovna,Slovakia
99,Bpica,Slovakia
100,Bytca,Slovakia
101,C#Raltovsky Kub,Slovakia
102,"C,Alog",Slovakia
103,"C,Nice",Slovakia
104,Cce,Slovakia
105,Cdem,Slovakia
106,Cdzmarovo,Slovakia
107,Cedce,Slovakia
108,Chalog,Slovakia
109,Chalova Dubnic,Slovakia
110,Chalova Dubnica,Slovakia
111,Chbit,Slovakia
112,Chradlovaky,Slovakia
113,Ciernava Nad Bo,Slovakia
114,Clece,Slovakia
115,Clem,Slovakia
116,Clina,Slovakia
117,Clnov,Slovakia
118,Cnica,Slovakia
119,Cnik,Slovakia
120,Cnikom,Slovakia
121,Coaka,Slovakia
122,Cpezinosady,Slovakia
123,Crgdok,Slovakia
124,Cshtice,Slovakia
125,Cyce,Slovakia
126,Czinosady,Slovakia
127,Dbanov,Slovakia
128,Dblnica,Slovakia
129,Dbol,Slovakia
130,Delnice,Slovakia
131,Der,Slovakia
132,Dhana,Slovakia
133,Dhmarno,Slovakia
134,Dic,Slovakia
135,Dir,Slovakia
136,Dka,Slovakia
137,Dklom,Slovakia
138,Dlbnec,Slovakia
139,Dldnik,Slovakia
140,Dlim,Slovakia
141,Dlkavs,Slovakia
142,Dlova Dunaji,Slovakia
143,Dlvybove Moravs,Slovakia
144,Dmdnrka,Slovakia
145,Dpiasna,Slovakia
146,Drovo,Slovakia
147,Dslova Dubnice,Slovakia
148,Dsrany,Slovakia
149,Dthsltevmcaa,Slovakia
150,Dudince,Slovakia
151,Durany,Slovakia
152,Dzilakovo,Slovakia
153,Dzmarno,Slovakia
154,Dzumanna,Slovakia
155,Ebrezovacovce,Slovakia
156,Edminne,Slovakia
157,Edzilakovo,Slovakia
158,Eemcea,Slovakia
159,Eemota,Slovakia
160,Elcicnaka,Slovakia
161,Elmace,Slovakia
162,Elnica,Slovakia
163,Elzica,Slovakia
164,Emnad Toplou,Slovakia
165,Enmarno,Slovakia
166,Enmka Pod Bodvo,Slovakia
