,Name,Origin
0, Etolenjska Bis,Slovenia
1, Hraslovenje,Slovenia
2, Mastnik,Slovenia
3, Pri Ljutomeru,Slovenia
4, Pri Slov. Gori,Slovenia
5, Tran,Slovenia
6,-Sap,Slovenia
7,-Sppi  Lovenjsk,Slovenia
8,-Sritljebnje Bi,Slovenia
9,-Sspi  Rastnik,Slovenia
10,-Sspir V Slovci,Slovenia
11,-Sspirnica,Slovenia
12,-Sspirnica Ob S,Slovenia
13,-Sspki Pohorjul,Slovenia
14,-Zserje,Slovenia
15,. Botak,Slovenia
16,. Jotraza,Slovenia
17,. Loka,Slovenia
18,. No Pri Sticni,Slovenia
19,. Roslinj,Slovenia
20,. Sotli,Slovenia
21,. Votek Brana,Slovenia
22,.Ana Gorica,Slovenia
23,.Drogniku,Slovenia
24,.Dvode,Slovenia
25,.Hrobnica,Slovenia
26,.Htoboravce,Slovenia
27,.Jjrtrnzice,Slovenia
28,.Kovenja Loka,Slovenia
29,.Ona,Slovenia
30,.Orovnica,Slovenia
31,.Phorjetale,Slovenia
32,.Sdo,Slovenia
33,.Sje,Slovenia
34,.Sjetale,Slovenia
35,.Sto,Slovenia
36,.Zrob-Sopki Dom,Slovenia
37,A.Gotnis,Slovenia
38,Aak,Slovenia
39,Aaka,Slovenia
40,Aakcica,Slovenia
41,Aaknica,Slovenia
42,Aakniku,Slovenia
43,Adcu,Slovenia
44,Ade,Slovenia
45,Adece,Slovenia
46,Adgona,Slovenia
47,Aem,Slovenia
48,Aik,Slovenia
49,Aike Lasko,Slovenia
50,Aja,Slovenia
51,Aja Radovljica ,Slovenia
52,Aja Radovljicah,Slovenia
53,Ajk Pri Domzala,Slovenia
54,Ajsperklje,Slovenia
55,Akgomeru,Slovenia
56,Akovica Pri Dol,Slovenia
57,Anje,Slovenia
58,Ankaran,Slovenia
59,Ankarana,Slovenia
60,Ankaranje Ob Sa,Slovenia
61,Aovci Pri Radgo,Slovenia
62,Aporju,Slovenia
63,Arana,Slovenia
64,Arneca,Slovenia
65,Atspirnica,Slovenia
66,Avce,Slovenia
67,Avne,Slovenia
68,Avsrnje Bitnje ,Slovenia
69,Aza,Slovenia
70,Aziranje,Slovenia
71,Azvancani,Slovenia
72,Bdece,Slovenia
73,Bgenjskem,Slovenia
74,Bhren,Slovenia
75,Bistran,Slovenia
76,Bistraza,Slovenia
77,Bistrica,Slovenia
78,Bistricah,Slovenia
79,Bjaooorovnica,Slovenia
80,Bjetale,Slovenia
81,Bkjagomenda,Slovenia
82,Blska Bistrica,Slovenia
83,Bpeskova,Slovenia
84,Brna,Slovenia
85,Brsolkan,Slovenia
86,Bsentvid Pri Hr,Slovenia
87,Bsezice,Slovenia
88,Btnaapcani,Slovenia
89,Btrana,Slovenia
90,Btranje,Slovenia
91,Btranje Bistran,Slovenia
92,Btrice,Slovenia
93,Btrona,Slovenia
94,Btroz,Slovenia
95,Bzemberklje,Slovenia
96,Bziran,Slovenia
97,Cad,Slovenia
98,Cah,Slovenia
99,Cani,Slovenia
100,Cazina,Slovenia
101,Cica,Slovenia
102,Cljnhkrje Piran,Slovenia
103,Cljre Skofljica,Slovenia
104,Ctroz,Slovenia
105,Cv Nl Entvid Pr,Slovenia
106,Cv Nl Vrtno Pri,Slovenia
107,Czina,Slovenia
108,Dani,Slovenia
109,Daoenja,Slovenia
110,Davce,Slovenia
111,Davinj. Dolenje,Slovenia
112,Dbice,Slovenia
113,Dbran,Slovenia
114,Dci,Slovenia
115,Deneskova Goren,Slovenia
116,Dev,Slovenia
117,Devci Pri Ljubl,Slovenia
118,Dgofja Loka,Slovenia
119,Dgona,Slovenia
120,Dgv.Dana Potok,Slovenia
121,Dice,Slovenia
122,Divaca,Slovenia
123,Dj Brtso Pri Hr,Slovenia
124,Dla Kolinja,Slovenia
125,Dlo,Slovenia
126,Dlolje Ob Paki,Slovenia
127,Dlozenica,Slovenia
128,Dmje,Slovenia
129,Dnje,Slovenia
130,Dnje Pri Hraslo,Slovenia
131,Dobrna,Slovenia
132,Dolenjska Bistr,Slovenia
133,Dovljica,Slovenia
134,Dozlnik,Slovenia
135,Dragomer,Slovenia
136,Dranje,Slovenia
137,Drje,Slovenia
138,Drzna,Slovenia
139,Dstnik,Slovenia
140,Dstniku,Slovenia
141,Dtli,Slovenia
142,Duzenica,Slovenia
143,Dv.Dankaranje,Slovenia
144,Dv.Dgolnik,Slovenia
145,Dva,Slovenia
146,Dvaggrnde,Slovenia
147,Dvce,Slovenia
148,Dve,Slovenia
149,Dza,Slovenia
150,Dzibavornji Gra,Slovenia
151,Ebice,Slovenia
152,Ebnje,Slovenia
153,Ece,Slovenia
154,Edco,Slovenia
155,Edgona,Slovenia
156,Edvode,Slovenia
157,Elika,Slovenia
158,Elskem,Slovenia
159,Emce,Slovenia
160,Eme,Slovenia
161,Ena,Slovenia
162,Enj Grad,Slovenia
163,Enj Gradcu,Slovenia
164,Enja Vas,Slovenia
165,Enski Pohorju,Slovenia
166,Ergosnik,Slovenia
167,Eru,Slovenia
168,Esto,Slovenia
169,Etli,Slovenia
170,Etlika,Slovenia
171,Evci,Slovenia
172,Evci Pri Sticni,Slovenia
173,Evlice,Slovenia
174,Evski Domzalah,Slovenia
175,Ezica,Slovenia
176,Ezicah,Slovenia
177,Ezice,Slovenia
178,Ggotenica,Slovenia
179,Glske Lasko,Slovenia
180,Gnad,Slovenia
181,Gobnica,Slovenia
182,Gohjeja Loka,Slovenia
183,Gojeta,Slovenia
184,Gomer,Slovenia
185,Gorje,Slovenia
186,Gorje Gorica,Slovenia
187,Gorje Na Gornja,Slovenia
188,Gorjetale,Slovenia
189,Gorju,Slovenia
190,Gornica,Slovenia
191,Gornica Ob Savi,Slovenia
192,Gornice,Slovenia
193,Gornja,Slovenia
194,Gornje,Slovenia
195,Gornje Bitnje,Slovenia
196,Gornje Bitnje P,Slovenia
197,Gornje Gorice,Slovenia
198,Gornje Pirnica,Slovenia
199,Gornje Skofije,Slovenia
200,Gornji Gradcu,Slovenia
201,Gosje,Slovenia
202,Gosjeta,Slovenia
203,Goski Potok,Slovenia
204,Gosnik,Slovenia
205,Gosniku,Slovenia
206,Govnica,Slovenia
207,Gpeck,Slovenia
208,Gprj Sticni,Slovenia
209,Gren,Slovenia
210,Grnde,Slovenia
211,Grrnlesko,Slovenia
212,Grsde,Slovenia
213,Grtde,Slovenia
214,Gs. Domzalah,Slovenia
215,Gsje,Slovenia
216,Gsski Potok,Slovenia
217,Gtona,Slovenia
218,Guzja,Slovenia
219,Hca,Slovenia
220,Hce,Slovenia
221,Heibcica,Slovenia
222,Hranje,Slovenia
223,Hrece,Slovenia
224,Hrevci Pri Stic,Slovenia
225,Hsina,Slovenia
226,Huica,Slovenia
227,Huice,Slovenia
228,Huici,Slovenia
229,Huzemberk,Slovenia
230,Hvtale,Slovenia
231,Ibnica,Slovenia
232,Ica,Slovenia
233,Ice,Slovenia
234,Ide,Slovenia
235,Iksina,Slovenia
236,Ilj.Bdobrna,Slovenia
237,Imetu,Slovenia
238,Injska Bitnje P,Slovenia
239,Irenc Na,Slovenia
240,Irenc Na Pohorj,Slovenia
241,Irenje Bistrica,Slovenia
242,Irenjskem,Slovenia
243,Islinja,Slovenia
244,Islinjska Bitnj,Slovenia
245,Ismrastnik,Slovenia
246,Istraza,Slovenia
247,Istrica,Slovenia
248,Istrica Pri Aro,Slovenia
249,Izavce,Slovenia
250,Izje,Slovenia
251,Izova Gorica,Slovenia
252,J. Dolenjska Bi,Slovenia
253,Jaromstrica Ob ,Slovenia
254,Jaron,Slovenia
255,Jaronski Pohorj,Slovenia
256,Jarovnica,Slovenia
257,Jarovnicah,Slovenia
258,Jarovnice,Slovenia
259,Jarovski Javorn,Slovenia
260,Je Pirnik,Slovenia
261,Je-Sap,Slovenia
262,Jeru,Slovenia
263,Jesgoren,Slovenia
264,Jeta,Slovenia
265,Jetale,Slovenia
266,Jeunica Na Gori,Slovenia
267,Jirovski Pohorj,Slovenia
268,Jisgradece,Slovenia
269,Jivaca,Slovenia
270,Jjarovski Javor,Slovenia
271,Jjurovski Dol P,Slovenia
272,Jjutomeru,Slovenia
273,Jppradcu,Slovenia
274,Jpurevci,Slovenia
275,Jrsae,Slovenia
276,Jrtrgce,Slovenia
277,Jru,Slovenia
278,Jska Bitnje Gor,Slovenia
279,Jske Toplice,Slovenia
280,Jskofljica Pri ,Slovenia
281,Jsrovski Pohorj,Slovenia
282,Julice,Slovenia
283,Jutomenda,Slovenia
284,Juzemberklje,Slovenia
285,Juzica,Slovenia
286,Juzice,Slovenia
287,Jv. Ana V Slov.,Slovenia
288,Jvan,Slovenia
289,Jvronski Javorn,Slovenia
290,Kbinn,Slovenia
291,Kjskem,Slovenia
292,Kju,Slovenia
293,Klje Ob Savi,Slovenia
294,Kma,Slovenia
295,Kmzilah,Slovenia
296,Kolenje Pirnik,Slovenia
297,Korenc Na Potok,Slovenia
298,Koticni,Slovenia
299,Kova Gorica,Slovenia
300,Kovica,Slovenia
301,Kskn Va Gore,Slovenia
302,Kskn Vrsnji Gra,Slovenia
303,Ksve Ski Pohorj,Slovenia
304,Ktsii,Slovenia
305,Kunje,Slovenia
306,Kvica,Slovenia
307,Kzina,Slovenia
308,Kzmnasportorenc,Slovenia
309,Lcu,Slovenia
310,Ldnje,Slovenia
311,Lisenjska Bistr,Slovenia
312,Liski Javornje,Slovenia
313,Liski Potok,Slovenia
314,Ljah,Slovenia
315,Ljana,Slovenia
316,Lje,Slovenia
317,Lje Pri Slov. G,Slovenia
318,Ljeca,Slovenia
319,Ljo,Slovenia
320,Ljovren,Slovenia
321,Ljubljana,Slovenia
322,Ljuce,Slovenia
323,Ljutoce,Slovenia
324,Ljutomenda,Slovenia
325,Ljutomer,Slovenia
326,Ljutomeru,Slovenia
327,Lmsko,Slovenia
328,Loski Pohorje S,Slovenia
329,Lovrenjskem,Slovenia
330,Ltona,Slovenia
331,Ltuce,Slovenia
332,Lucija,Slovenia
333,Lukovec Pri Slo,Slovenia
334,Lvski Pohorju,Slovenia
335,Mad,Slovenia
336,Majtoren,Slovenia
337,Majtpre Pri Poh,Slovenia
338,Maju,Slovenia
339,Mer,Slovenia
340,Met Mastnik,Slovenia
341,Metu,Slovenia
342,Mjb Lasce,Slovenia
343,Mraslovce,Slovenia
344,Mrjstraza,Slovenia
345,Mstran,Slovenia
346,Mvrtno Ob Savin,Slovenia
347,Mzalah,Slovenia
348,Mzjlinj. Domzal,Slovenia
349,Naaa,Slovenia
350,Nad,Slovenia
351,Nbe,Slovenia
352,Nbkan,Slovenia
353,Ncina,Slovenia
354,Nica,Slovenia
355,Nica Na Potok,Slovenia
356,Nik,Slovenia
357,Niku,Slovenia
358,Nj. Domzalah,Slovenia
359,Nje,Slovenia
360,Nje Ob Sotlika,Slovenia
361,Nji Gradcu,Slovenia
362,Ntski Pohorju,Slovenia
363,Nuzimah,Slovenia
364,Nzice,Slovenia
365,Nzkai,Slovenia
366,Obje Skofije,Slovenia
367,Obrna,Slovenia
368,Obtranje Pirnic,Slovenia
369,Oce,Slovenia
370,Odl Zama,Slovenia
371,Oja,Slovenia
372,Ojavornji Gradc,Slovenia
373,Oje,Slovenia
374,Ojstrica,Slovenia
375,Ojtrana,Slovenia
376,Oloh,Slovenia
377,Olran,Slovenia
378,Olskem,Slovenia
379,Omda,Slovenia
380,Oravce,Slovenia
381,Orgorju,Slovenia
382,Orjeca,Slovenia
383,Orjeta,Slovenia
384,Orjetale,Slovenia
385,Ornji Gradece,Slovenia
386,Orru,Slovenia
387,Orsko,Slovenia
388,Ortoren,Slovenia
389,Orzica Pri Domz,Slovenia
390,Osje,Slovenia
391,Oste,Slovenia
392,Otoplice,Slovenia
393,Otrana,Slovenia
394,Ouzice,Slovenia
395,Ovenski Potok,Slovenia
396,Ovljica Na V Sl,Slovenia
397,Ovren,Slovenia
398,Ovrenja,Slovenia
399,Ozje,Slovenia
400,Ozlnik,Slovenia
401,Oznica,Slovenia
402,P.Rtno Pri Stic,Slovenia
403,Parica Pri Hras,Slovenia
404,Parinj. Dolenje,Slovenia
405,Pas,Slovenia
406,Pavi,Slovenia
407,Penica,Slovenia
408,Penkska Bitnje ,Slovenia
409,Pesko,Slovenia
410,Pirnica,Slovenia
411,Pirniku,Slovenia
412,Pjetale,Slovenia
413,Posnik,Slovenia
414,Posniku,Slovenia
415,Preserje,Slovenia
416,Pri Dol Pri Rad,Slovenia
417,Pri Dolinj. Dol,Slovenia
418,Pri Dolinja,Slovenia
419,Pri Domzalah,Slovenia
420,Pri Hraslov. An,Slovenia
421,Pri Hraslovensk,Slovenia
422,Pri Hrastnik,Slovenia
423,Pri Ljubljani,Slovenia
424,Pri Radece,Slovenia
425,Pri Slovenski D,Slovenia
426,Pri Sticni,Slovenia
427,Ptoski Potok,Slovenia
428,Ptrana,Slovenia
429,Ptraza,Slovenia
430,Ptren,Slovenia
431,Puzice,Slovenia
432,Pzana,Slovenia
433,Pzoravce,Slovenia
434,R. Rodovljica,Slovenia
435,R.S Oloh,Slovenia
436,Raje,Slovenia
437,Raju,Slovenia
438,Rastnik,Slovenia
439,Ravce,Slovenia
440,Rdblan,Slovenia
441,Rdv Lasko,Slovenia
442,Rdzvelskovec Pr,Slovenia
443,Re-Sap,Slovenia
444,Rebnje,Slovenia
445,Renc Na Gorice,Slovenia
446,Renc Na V Savi,Slovenia
447,Renjske Lasce,Slovenia
448,Rgde,Slovenia
449,Rgslini,Slovenia
450,Rgzlnik,Slovenia
451,Rhuzice,Slovenia
452,Ribnica Pri Lju,Slovenia
453,Rica,Slovenia
454,Risenje Skofije,Slovenia
455,Rjbna,Slovenia
456,Rjde,Slovenia
457,Rjdgona,Slovenia
458,Rje,Slovenia
459,Rje-Sap,Slovenia
460,Rkje,Slovenia
461,Rljah,Slovenia
462,Rljgnakvci Pri ,Slovenia
463,Rljv Gancna Poh,Slovenia
464,Rlvnica,Slovenia
465,Rojstrica,Slovenia
466,Rozka,Slovenia
467,Rpuzica,Slovenia
468,Rrbnzce,Slovenia
469,Rre-Ea,Slovenia
470,Rsko,Slovenia
471,Rskovci,Slovenia
472,Rtsii,Slovenia
473,Rtvnica,Slovenia
474,Ruvnica,Slovenia
475,Ruzice,Slovenia
476,Ruzina,Slovenia
477,Rzica,Slovenia
478,Rzvnicni,Slovenia
479,S-Spprc Sotlika,Slovenia
480,S.Odol Pri Ljub,Slovenia
481,Sca,Slovenia
482,Scaini,Slovenia
483,Sce,Slovenia
484,Seca,Slovenia
485,Senje,Slovenia
486,Sgomer,Slovenia
487,Sgorje Ob Sotli,Slovenia
488,Shu,Slovenia
489,Si Grad,Slovenia
490,Sica,Slovenia
491,Sisan,Slovenia
492,Sjeta,Slovenia
493,Sjetale,Slovenia
494,Ska Na Pohorjet,Slovenia
495,Ske Tomaz,Slovenia
496,Ske Toplice,Slovenia
497,Sko,Slovenia
498,Skovo Mesto,Slovenia
499,Slini,Slovenia
500,Slinja Loka,Slovenia
501,Slje,Slovenia
502,Slovenski Potok,Slovenia
503,Solkan,Slovenia
504,Spirana,Slovenia
505,Ssenje,Slovenia
506,Stlika,Slovenia
507,Stoplice,Slovenia
508,Storoz,Slovenia
509,Stran,Slovenia
510,Strana,Slovenia
511,Stranje,Slovenia
512,Straza,Slovenia
513,Strica,Slovenia
514,Stricah,Slovenia
515,Strice,Slovenia
516,Suzice,Slovenia
517,Suzina,Slovenia
518,Sv. Ana Potok,Slovenia
519,Sveti Toplice,Slovenia
520,Szavce,Slovenia
