,Name,Origin
0,'Angdong,South Korea
1,-Dong,South Korea
2,-Si,South Korea
3,A-Sa,South Korea
4,Aangnyeong,South Korea
5,Aju,South Korea
6,Amseung,South Korea
7,Amseungyangnyan,South Korea
8,Amyeong,South Korea
9,Ang,South Korea
10,Anggan,South Korea
11,Angju,South Korea
12,Angnyangju,South Korea
13,Angnyeon-Si,South Korea
14,Angnyeong,South Korea
15,Asan,South Korea
16,Asang,South Korea
17,Ch'Ang,South Korea
18,Ch'Ang-Si,South Korea
19,Ch'Angseongen,South Korea
20,Chang,South Korea
21,Cheon,South Korea
22,Cheoncheong,South Korea
23,Cheong,South Korea
24,Cheongdong,South Korea
25,Cheongen,South Korea
26,Cheongeum,South Korea
27,Cheonggan,South Korea
28,Cheongmyongan,South Korea
29,Cheongok,South Korea
30,Cheongsang,South Korea
31,Cheonpung,South Korea
32,Cheonpungye,South Korea
33,Cheonwon,South Korea
34,Chu,South Korea
35,Dong,South Korea
36,Dongdongnyong,South Korea
37,Donggwang,South Korea
38,Dongha,South Korea
39,Dongi,South Korea
40,Dongju,South Korea
41,Dongmyeong,South Korea
42,Dongnyongeup,South Korea
43,Dongseon,South Korea
44,Ein,South Korea
45,Eingwangju,South Korea
46,Eji,South Korea
47,Ejong,South Korea
48,Eju City,South Korea
49,Enzan,South Korea
50,Eoju,South Korea
51,Eol,South Korea
52,Eon,South Korea
53,Eon-Si,South Korea
54,Eoncheongan,South Korea
55,Eoncheongnyong,South Korea
56,Eong,South Korea
57,Eonggan,South Korea
58,Eongha,South Korea
59,Eongsan,South Korea
60,Eonpung,South Korea
61,Eonpungju,South Korea
62,Eonpungnyeol,South Korea
63,Eonwol,South Korea
64,Eubu,South Korea
65,Eum,South Korea
66,Eung,South Korea
67,Eungju,South Korea
68,Eungnyang,South Korea
69,Eungnyeong,South Korea
70,Eungnyong,South Korea
71,Eungye,South Korea
72,Eungyeoncheongj,South Korea
73,Eup,South Korea
74,Eurye,South Korea
75,Euup,South Korea
76,G-Si,South Korea
77,Gchi,South Korea
78,Geup,South Korea
79,Gju,South Korea
80,Gmyeong,South Korea
81,Gnan,South Korea
82,Gnangsa,South Korea
83,Gnyang,South Korea
84,Gnyangen,South Korea
85,Gnyanggwang,South Korea
86,Gnyeo,South Korea
87,Gnyeon,South Korea
88,Gnyeon-Si,South Korea
89,Gnyeoncheongha,South Korea
90,Gnyeong,South Korea
91,Gnyeongeup,South Korea
92,Gnyeongnyang,South Korea
93,Gnyeongseo,South Korea
94,Gnyong,South Korea
95,Gnyonggwangju,South Korea
96,Gnyongmyeon,South Korea
97,Gp'Yong,South Korea
98,Gp'Yonggnnae,South Korea
99,Gseon,South Korea
100,Gseon-Si,South Korea
101,Gwan,South Korea
102,Gwang,South Korea
103,Gwangen,South Korea
104,Gwangju,South Korea
105,Gwangmyeong,South Korea
106,Gwangseong,South Korea
107,Gwangyangchi,South Korea
108,Gyang,South Korea
109,Gye,South Korea
110,Gyeol,South Korea
111,Gyeong,South Korea
112,Gyeongeum,South Korea
113,Gyeongnyeol,South Korea
114,Hang,South Korea
115,Hanggan,South Korea
116,Hangju,South Korea
117,Hmyeonggan,South Korea
118,Hunch'On,South Korea
119,Huncheong,South Korea
120,Huncheongen,South Korea
121,Ijong,South Korea
122,Ijongan,South Korea
123,Ijun,South Korea
124,Ijungju,South Korea
125,Ijungnyong,South Korea
126,Inaw,South Korea
127,Inawang,South Korea
128,Inay,South Korea
129,Ingwang,South Korea
130,Ingwangmyeongny,South Korea
131,Ingwangseongchi,South Korea
132,Inoyeo,South Korea
133,Jin,South Korea
134,Jongha,South Korea
135,Jongju,South Korea
136,Ju City,South Korea
137,Jujong,South Korea
138,Jun,South Korea
139,Junayangju,South Korea
140,Junch'Ang,South Korea
141,Junch'On,South Korea
142,Juncheon,South Korea
143,Juncheong,South Korea
144,Juncheongam,South Korea
145,Juncheongen,South Korea
146,Juncheongi,South Korea
147,Juncheongok,South Korea
148,Jung,South Korea
149,Jungju,South Korea
150,Jungnyang,South Korea
151,Jungnyeo,South Korea
152,Jungnyeol,South Korea
153,Jungnyeon,South Korea
154,Jungnyeoncheonw,South Korea
155,Jungnyeong,South Korea
156,Jungnyeongsan-S,South Korea
157,Jungnyeonpungya,South Korea
158,Jungnyong,South Korea
159,Jungyang,South Korea
160,Jungyangnyangny,South Korea
161,Jungye,South Korea
162,Jungyeol,South Korea
163,Jungyeon,South Korea
164,Jungyeongmyeon,South Korea
165,Jungyeonpung,South Korea
166,Jup,South Korea
167,Lgwangseo,South Korea
168,Mje,South Korea
169,Mju,South Korea
170,Msan,South Korea
171,Mseung,South Korea
172,Mseungju,South Korea
173,Mseungnyeo,South Korea
174,Mseungyang,South Korea
175,Mseungyangsa,South Korea
176,Myeo,South Korea
177,Myeoju,South Korea
178,Myeol,South Korea
179,Myeon,South Korea
180,Myeon-Si,South Korea
181,Myeonch'On,South Korea
182,Myeoncheongmyeo,South Korea
183,Myeong,South Korea
184,Myeongan,South Korea
185,Myeongdong,South Korea
186,Myeongdongan,South Korea
187,Myeonggan,South Korea
188,Myeongha,South Korea
189,Myeongmyeongsan,South Korea
190,Myeongmyong,South Korea
191,Myeongnyeongnye,South Korea
192,Myeongseo,South Korea
193,Myeonpungju,South Korea
194,Myeonwol,South Korea
195,N-Si,South Korea
196,Nae,South Korea
197,Nam,South Korea
198,Nch'On,South Korea
199,Ncheong,South Korea
200,Ndong,South Korea
201,Ngbu,South Korea
202,Ngen,South Korea
203,Nggan,South Korea
204,Nggwang,South Korea
205,Nggwang-Si,South Korea
206,Nggwangnyeo,South Korea
207,Nggye,South Korea
208,Ngi,South Korea
209,Ngju,South Korea
210,Ngmyeol,South Korea
211,Ngmyeon,South Korea
212,Ngmyeong,South Korea
213,Ngmyeonu,South Korea
214,Ngmyongok,South Korea
215,Ngnyangdong,South Korea
216,Ngnyangju,South Korea
217,Ngnyangsan,South Korea
218,Ngnyeong,South Korea
219,Ngnyeongeup,South Korea
220,Ngnyeongseo,South Korea
221,Ngnyeonpungyang,South Korea
222,Ngnyong,South Korea
223,Ngnyongeum,South Korea
224,Ngnyonggye,South Korea
225,Ngp'Yong,South Korea
226,Ngp'Yongeup,South Korea
227,Ngrye,South Korea
228,Ngsao-Si,South Korea
229,Ngseo,South Korea
230,Ngseongnyeon,South Korea
231,Ngyang,South Korea
232,Ngyangdong,South Korea
233,Ngyangp'Yong,South Korea
234,Ngyangyang,South Korea
235,Ngye,South Korea
236,Ngyeon,South Korea
237,Nngmyeo,South Korea
238,Nsang,South Korea
239,Oasan,South Korea
240,Ong,South Korea
241,Ongdong,South Korea
242,Ongeum,South Korea
243,Ongi,South Korea
244,Ongmyeong,South Korea
245,Ongmyonggyeol,South Korea
246,Ongok,South Korea
247,Ongsa,South Korea
248,Ongseo,South Korea
249,P'Ang,South Korea
250,P'Angchi,South Korea
251,P'Eongan,South Korea
252,P'Nong,South Korea
253,P'On,South Korea
254,P'Un,South Korea
255,P'Yong,South Korea
256,P'Yongeup,South Korea
257,P'Yonggan,South Korea
258,P'Yonggye,South Korea
259,P'Yonggyeonwon,South Korea
260,P'Yongi,South Korea
261,P'Yongju,South Korea
262,P'Yongmyeon-Si,South Korea
263,P'Yongmyeong,South Korea
264,P'Yongmyeonggye,South Korea
265,P'Yongmyonggye,South Korea
266,P'Yongnyeongok,South Korea
267,P'Yongnyong,South Korea
268,P'Yongsan,South Korea
269,Pung,South Korea
270,Pungju,South Korea
271,Pungnyong,South Korea
272,Pungye,South Korea
273,Pungyeongju,South Korea
274,Rye,South Korea
275,San,South Korea
276,San-Si,South Korea
277,Sang,South Korea
278,Sang-Si,South Korea
279,Sangdong,South Korea
280,Sangeum,South Korea
281,Sanggwan,South Korea
282,Sanggwang-Si,South Korea
283,Sangju,South Korea
284,Sangmyeong,South Korea
285,Seo,South Korea
286,Seon,South Korea
287,Ssan,South Korea
288,U-Dong,South Korea
289,U-Dongen,South Korea
290,U-Dongnyong,South Korea
291,U-Dongok,South Korea
292,U-Dongsa,South Korea
293,U-Se,South Korea
294,U-Si,South Korea
295,Ubu,South Korea
296,Ugyang,South Korea
297,Ujeong,South Korea
298,Unaju,South Korea
299,Unan,South Korea
300,Ung,South Korea
301,Ungnyanggan,South Korea
302,Ungnyangye,South Korea
303,Ungnyeongen,South Korea
304,Uni,South Korea
305,Upung,South Korea
306,Upungju,South Korea
307,Upungnyonggwang,South Korea
308,Urye,South Korea
309,Useo,South Korea
310,Uung,South Korea
311,Uupungnyongsa,South Korea
312,Wang,South Korea
313,Wangeum,South Korea
314,Wangju,South Korea
315,Wangnyangchi,South Korea
316,Wangsa,South Korea
317,Wgbu,South Korea
318,Yangmyeonwol,South Korea
319,Yeo,South Korea
320,Yeol,South Korea
321,Yeon,South Korea
322,Yeonch'Ang-Si,South Korea
323,Yeong,South Korea
324,Yeongdongeum,South Korea
325,Yeonggwang,South Korea
326,Yeonggyeo,South Korea
327,Yeongi,South Korea
328,Yeongmyong,South Korea
329,Yeonpungyangseo,South Korea
330,Yeonwol,South Korea
331,Yong,South Korea
332,Yung,South Korea
