,Name,Origin
0,  Del Pobleda-C,Spain
1, Bierragon,Spain
2, Bisbal De Lamp,Spain
3, Bisballus,Spain
4, Bla Camenia,Spain
5, Cderra,Spain
6, Cid,Spain
7, Clada,Spain
8, Cos,Spain
9, De Burguieta F,Spain
10, De Cobeta,Spain
11, De Coto,Spain
12, De La Plazar,Spain
13, De La Sagrat D,Spain
14, De La Torre,Spain
15, De La Velillo,Spain
16, Del Ojanco,Spain
17, Del Pera,Spain
18, Del Vallencs,Spain
19, Escar De Maril,Spain
20, Esgueira,Spain
21, Esguenzan,Spain
22, Estro,Spain
23, Fe De Juan Esc,Spain
24, Fe Del Rey,Spain
25, Gran,Spain
26, Granamenia,Spain
27, Granedes Del R,Spain
28, Ja De Santeagu,Spain
29, Juan,Spain
30, Juarrubios De ,Spain
31, La Torre De Pa,Spain
32, La Verda,Spain
33, La Verde La To,Spain
34, Lampos,Spain
35, Llar De Conduj,Spain
36, Lleranazar,Spain
37, Martit,Spain
38, Molins,Spain
39, Nlvo,Spain
40, Oldeacipreatza,Spain
41, Philche,Spain
42, Planueva Del C,Spain
43, Riopar,Spain
44, Tde,Spain
45, Terriba,Spain
46, Tormeja,Spain
47, Tormejada,Spain
48, Torra,Spain
49, Torre De Donan,Spain
50, Torreche,Spain
51, Trabaniches,Spain
52, Uramo Dellas,Spain
53, Vallentillafa,Spain
54, Valverdecillov,Spain
55, Vega De Los,Spain
56, Vera,Spain
57, Y Miguellada,Spain
58,'Estellalbocass,Spain
59,'Estroncejo De ,Spain
60,-Cjanca,Spain
61,-Dera,Spain
62,-Gja,Spain
63,-Lea De Sanluca,Spain
64,-Lia,Spain
65,-Mbro,Spain
66,-Mera De Roa,Spain
67,-Mjanca,Spain
68,-Mjancillaneste,Spain
69,-Mrab,Spain
70,-Mrabsar,Spain
71,A De Tapia,Spain
72,Aalma Del Duero,Spain
73,Abermeja,Spain
74,Abezon,Spain
75,Adaza La Valdeo,Spain
76,Adefes,Spain
77,Adejones,Spain
78,Adel Castilisca,Spain
79,Adel Corres Del,Spain
80,Aebro,Spain
81,Aeda-Tralbaida,Spain
82,Afan,Spain
83,Aga,Spain
84,Agosa,Spain
85,Ahillada,Spain
86,Ahillas Torrer,Spain
87,Ajaleja,Spain
88,Ajo,Spain
89,Albo,Spain
90,Alboca,Spain
91,Alduenteagueva,Spain
92,Alfarnatejonas,Spain
93,Alique,Spain
94,Amenifla,Spain
95,Amezque,Spain
96,Amimero,Spain
97,Anducin,Spain
98,Anguada,Spain
99,Anoverdenareste,Spain
100,Apia,Spain
101,Ar De Juan De M,Spain
102,Ar Del Masroig,Spain
103,Araz,Spain
104,Arguieta,Spain
105,Aria,Spain
106,Arrubios,Spain
107,Arya,Spain
108,As De Los De La,Spain
109,Ater,Spain
110,Aucain,Spain
111,Ayaldeja De Duq,Spain
112,Bado,Spain
113,Baguelos Llarga,Spain
114,Bal,Spain
115,Bal Del Murin,Spain
116,Balla,Spain
117,Barcar,Spain
118,Bayuba,Spain
119,Bayubas Vistill,Spain
120,Bcaladell,Spain
121,Bcant Llorena,Spain
122,Bcescusa,Spain
123,Bdegreira,Spain
124,Bdes Carlota,Spain
125,Beas De Rompido,Spain
126,Bel,Spain
127,Belaga,Spain
128,Bilbao,Spain
129,Bilblas De Pera,Spain
130,Bios De Duero D,Spain
131,Bla De Tapia,Spain
132,Bnan-Perenal,Spain
133,Bniles,Spain
134,Bona,Spain
