,Name,Origin
0, Ela,Sri Lanka
1, Hcthonal Secre,Sri Lanka
2, Law,Sri Lanka
3, Lew,Sri Lanka
4, Lewerdana,Sri Lanka
5, Lka,Sri Lanka
6, Lla,Sri Lanka
7, Lla Ihala,Sri Lanka
8, Lla Ihala Junc,Sri Lanka
9, Lla Ihalawa,Sri Lanka
10, Lla Town,Sri Lanka
11, Lnwaya,Sri Lanka
12, Loa,Sri Lanka
13, Lse,Sri Lanka
14, Ltvinia,Sri Lanka
15, Ltwalaw,Sri Lanka
16, Ltwnlawa,Sri Lanka
17, Luniyapitiya,Sri Lanka
18, Lvviiias,Sri Lanka
19, Lvviiisoratuwa,Sri Lanka
20, Nuwa,Sri Lanka
21, Secretaragama,Sri Lanka
22, Thwnra Kotte,Sri Lanka
23, Tiwplla Town,Sri Lanka
24,-Buulla,Sri Lanka
25,-Huwala,Sri Lanka
26,-Krunegama,Sri Lanka
27,-Muula South,Sri Lanka
28,-Muulla Town,Sri Lanka
29,-Muulle,Sri Lanka
30,Ampola,Sri Lanka
31,Andy,Sri Lanka
32,Ane,Sri Lanka
33,Apura,Sri Lanka
34,B Ela,Sri Lanka
35,Bbulla Junction,Sri Lanka
36,Bbulla Town,Sri Lanka
37,Bbullawa,Sri Lanka
38,Bbulle,Sri Lanka
39,Bbulleriyapitiy,Sri Lanka
40,Bchi,Sri Lanka
41,Bflla Ihalam,Sri Lanka
42,Bgdlla Town,Sri Lanka
43,Brttegama,Sri Lanka
44,Brtttara,Sri Lanka
45,Bulla,Sri Lanka
46,Bulla South,Sri Lanka
47,Bulla Town,Sri Lanka
48,Bullaw,Sri Lanka
49,Bullawatuwa,Sri Lanka
50,Bulle,Sri Lanka
51,Bulleriya,Sri Lanka
52,Chi,Sri Lanka
53,D Ratuna,Sri Lanka
54,Dapatale,Sri Lanka
55,Dfla,Sri Lanka
56,Dhaputalee,Sri Lanka
57,Dhhputalam,Sri Lanka
58,Dhihara,Sri Lanka
59,Dhiptralaw,Sri Lanka
60,Dhiptralawa,Sri Lanka
61,Dhiptralawalaw,Sri Lanka
62,Dhiptran,Sri Lanka
63,Dhiptranadugann,Sri Lanka
64,Dhiptrawakele,Sri Lanka
65,Dhipttale,Sri Lanka
66,Dhpptian,Sri Lanka
67,Dhpptiinochchi,Sri Lanka
68,Diyagoda,Sri Lanka
69,Dlla,Sri Lanka
70,Dlviiiya,Sri Lanka
71,Dmbi,Sri Lanka
72,Dmbo,Sri Lanka
73,Ele,Sri Lanka
74,Ella,Sri Lanka
75,Ella Junctional,Sri Lanka
76,Ella South,Sri Lanka
77,Ella Town,Sri Lanka
78,Ellawa,Sri Lanka
79,Ellawakele,Sri Lanka
80,Ellawaya,Sri Lanka
81,F Fana,Sri Lanka
82,F Hawa,Sri Lanka
83,Ffna,Sri Lanka
84,Ffpatale,Sri Lanka
85,Fgala,Sri Lanka
86,Fgannawaya,Sri Lanka
87,Fhhaputala Town,Sri Lanka
88,Fhi,Sri Lanka
89,Fhintale,Sri Lanka
90,Fhpatale,Sri Lanka
91,Fihintala Ihala,Sri Lanka
92,Fina,Sri Lanka
93,Finaa Kotte,Sri Lanka
94,Finaa Kottegama,Sri Lanka
95,Finia,Sri Lanka
96,Fla,Sri Lanka
97,Flfadavinia,Sri Lanka
98,Flla Junctional,Sri Lanka
99,Flla South,Sri Lanka
100,Fln Sut Law,Sri Lanka
