,Name,Origin
0, Lund,Sweden
1, Lutukeforsback,Sweden
2, Nda,Sweden
3, Sanda,Sweden
4, Stycksund,Sweden
5, Upplandbyn,Sweden
6, Vinninge,Sweden
7,-Backa,Sweden
8,-Bommelinge,Sweden
9,-Bommen,Sweden
10,-Bommernarp,Sweden
11,-Sboda,Sweden
12,-Sbro,Sweden
13,1Dal,Sweden
14,1En,Sweden
15,1Eroe,Sweden
16,1Ersta,Sweden
17,1Forseroerlanda,Sweden
18,1Rucksund,Sweden
19,1Rum,Sweden
20,1Sta,Sweden
21,A Lttorebo,Sweden
22,Adbbola,Sweden
23,Aeby,Sweden
24,Aed,Sweden
25,Aeftea,Sweden
26,Aeljarp,Sweden
27,Aellby,Sweden
28,Aellentuna,Sweden
29,Aenningsbruk,Sweden
30,Aerna,Sweden
31,Aernoe,Sweden
32,Aerslovstad,Sweden
33,Aertaelingsholm,Sweden
34,Aerup,Sweden
35,Aesborg,Sweden
36,Aeteborra Stavs,Sweden
37,Aettranda,Sweden
38,Aettvidabo,Sweden
39,Aettvidinge,Sweden
40,Aettvike,Sweden
41,Age,Sweden
42,Agsholm,Sweden
43,Aholmen,Sweden
44,Akersnaesboda,Sweden
45,Alene,Sweden
46,All,Sweden
47,Allby,Sweden
48,Ammabo,Sweden
49,Ammar,Sweden
50,Anas,Sweden
51,Anasbyn,Sweden
52,Anaskoepingoe,Sweden
53,Anaskog,Sweden
54,Anda,Sweden
55,Andby,Sweden
56,Andeln,Sweden
57,Anden,Sweden
58,Andersund,Sweden
59,Anesta,Sweden
60,Anghestabruk,Sweden
61,Anlby,Sweden
62,Annebostra,Sweden
63,Anninge,Sweden
64,Ara,Sweden
65,Arberg,Sweden
66,Ared,Sweden
67,Arlskog,Sweden
68,Arlskoga,Sweden
69,Arlstervall,Sweden
70,Armesterarp,Sweden
71,Aroedding,Sweden
72,Aroemsnaesterma,Sweden
73,Arp,Sweden
74,Artila,Sweden
75,Artinge,Sweden
76,Aru,Sweden
77,Arup,Sweden
78,Asele,Sweden
79,Askersta,Sweden
80,Aterad,Sweden
81,Atofta,Sweden
82,Atorekantofta,Sweden
83,Atorp,Sweden
84,Atorvik,Sweden
85,Atrinehagered,Sweden
86,Atrineholm,Sweden
87,Avesta,Sweden
88,Avsbergnaes,Sweden
89,Bertaellby,Sweden
90,Borg,Sweden
91,Bruk,Sweden
92,Byholm,Sweden
93,Ckebrunflo,Sweden
94,Ckeby,Sweden
95,Cken,Sweden
96,Cksbo,Sweden
97,Cksele,Sweden
98,Clleshaelje,Sweden
99,Dal,Sweden
100,Deby,Sweden
101,Delnda,Sweden
102,Demarsrum,Sweden
103,Demora,Sweden
104,Demoras,Sweden
105,Derhamn,Sweden
106,Dermal,Sweden
107,Desum,Sweden
108,Desund,Sweden
109,Dmola,Sweden
110,Eda,Sweden
111,Edal,Sweden
112,Ede,Sweden
113,Edebaeck,Sweden
114,Edeforsa,Sweden
115,Edemar,Sweden
116,Edemora,Sweden
117,Ederhammar,Sweden
118,Ederhamn,Sweden
119,Ederstad,Sweden
120,Edesum,Sweden
121,Edi,Sweden
122,Edilstaloev,Sweden
123,Edsbro,Sweden
124,Edsjaur,Sweden
125,Een,Sweden
126,Eerup,Sweden
127,Eftea,Sweden
128,Eftele,Sweden
129,Egelsen,Sweden
130,Egen,Sweden
131,Eing,Sweden
132,Ejungsfors,Sweden
133,Ekov,Sweden
134,Elandaboda,Sweden
135,Ele,Sweden
136,Elg,Sweden
137,Eling,Sweden
138,Elinga,Sweden
139,Ella,Sweden
140,Ellbo,Sweden
141,Elle,Sweden
142,Eloesdala,Sweden
143,Eloev,Sweden
144,Elsholm,Sweden
145,Elunda,Sweden
146,Emmelnlyckeby,Sweden
147,Emmerboholm,Sweden
148,Emmerna,Sweden
149,En Styckenarp1,Sweden
150,En1,Sweden
151,En1Erstorp,Sweden
152,Enby,Sweden
153,Endaberoemsund,Sweden
154,Endomelilla,Sweden
155,Ene,Sweden
156,Enersby,Sweden
157,Enerslovsland,Sweden
158,Enersnaesholmen,Sweden
159,Enerstorp,Sweden
160,Eng,Sweden
161,Enge,Sweden
162,Engnaeshamn,Sweden
163,Engnaestorp,Sweden
164,Engtsforsnaeste,Sweden
165,Engtsfredby,Sweden
166,Enlacka,Sweden
167,Enna,Sweden
168,Ennaes,Sweden
169,Ennaesta,Sweden
170,Enning,Sweden
171,Enningsbacken,Sweden
172,Entuna,Sweden
173,Enxir,Sweden
174,Er Medby,Sweden
175,Erarp,Sweden
176,Eras Kyrkby,Sweden
177,Erie,Sweden
178,Eristdala,Sweden
179,Erjaernebergsvi,Sweden
180,Erkskaenningebr,Sweden
181,Erland,Sweden
182,Erlanda,Sweden
183,Erloesakullesha,Sweden
184,Erloesdal,Sweden
185,Erloev,Sweden
186,Erna,Sweden
187,Ernarphyttarp,Sweden
188,Ernsjoerkalilla,Sweden
189,Erpen,Sweden
190,Errljungsoe,Sweden
191,Ers Stycksund,Sweden
192,Ersbacken,Sweden
193,Ersborgholmen,Sweden
194,Ersby,Sweden
195,Ershamn,Sweden
196,Erstorp,Sweden
197,Ersund,Sweden
198,Ertsfors,Sweden
199,Erum,Sweden
200,Erup,Sweden
201,Ervsoe,Sweden
202,Ervsoerrljungsh,Sweden
203,Esbro,Sweden
204,Esby,Sweden
205,Esta,Sweden
206,Eteborg,Sweden
207,Eurnskog,Sweden
208,Evsta,Sweden
209,Fors,Sweden
210,Forsa,Sweden
211,Forsas,Sweden
212,Forsbacka,Sweden
213,Forsberg,Sweden
214,Forsby,Sweden
215,Forserup,Sweden
216,Forsnaesta,Sweden
217,Ftea,Sweden
218,Gen,Sweden
219,Genaessebro,Sweden
220,Gered,Sweden
221,Gersta,Sweden
222,Gerup,Sweden
223,Ghamnaes,Sweden
224,Gjuellingen,Sweden
225,Gnhaelje,Sweden
226,Gnhamra,Sweden
227,Gsholm,Sweden
228,Gtsforsas,Sweden
229,Haellarphyttarp,Sweden
230,Hammabommen,Sweden
231,Hamn,Sweden
232,Hele,Sweden
233,Holm,Sweden
234,Holmen,Sweden
235,Hultorp,Sweden
236,Ielund,Sweden
237,Ielundal,Sweden
238,Ika,Sweden
239,Ikarsrum,Sweden
240,Iken,Sweden
241,Illa,Sweden
242,Illeberg,Sweden
243,Indomelinghesta,Sweden
244,Ing,Sweden
245,Inga,Sweden
246,Inge,Sweden
247,Ingebro,Sweden
248,Ingenaesk,Sweden
249,Ingenar,Sweden
250,Ingsbacka,Sweden
251,Ingskile,Sweden
252,Ingsoe,Sweden
253,Ingsta,Sweden
254,Jaellingered,Sweden
255,Jaelljunga,Sweden
256,Jaene,Sweden
257,Jaengnaessebro,Sweden
258,Jaenlaenge,Sweden
259,Jaerad,Sweden
260,Jaerakersbergel,Sweden
261,Jaerarp,Sweden
262,Jaeras,Sweden
263,Jaernoe,Sweden
264,Jaernskoepingak,Sweden
265,Jaersberg,Sweden
266,Jaerup,Sweden
267,Janrsbacke,Sweden
268,Jarp,Sweden
269,Jarphyttarp,Sweden
270,Jarplingstad,Sweden
271,Jerad,Sweden
272,Jerarp,Sweden
273,Joe,Sweden
274,Joen,Sweden
275,Joensterbola,Sweden
276,Joerarp,Sweden
277,Joerby,Sweden
278,Joered,Sweden
279,Juinhovda,Sweden
280,Jula,Sweden
281,Jungsfors,Sweden
282,Jungskile,Sweden
283,Jungsta,Sweden
284,Juntofta,Sweden
285,Juras,Sweden
286,Jurulund,Sweden
287,Kaeng,Sweden
288,Kaersta,Sweden
289,Karbylandersby,Sweden
290,Karp,Sweden
291,Karp1,Sweden
292,Keroemstad,Sweden
293,Kersbackeby,Sweden
294,Kersta,Sweden
295,Kerstorp,Sweden
296,King,Sweden
297,Kinge,Sweden
298,Kodaforsas,Sweden
299,Koepingelholm,Sweden
300,Koev,Sweden
301,Kole,Sweden
302,Kolp,Sweden
303,Kuntorp,Sweden
304,Lala,Sweden
305,Land,Sweden
306,Landa,Sweden
307,Landal,Sweden
308,Landas,Sweden
309,Laxa,Sweden
310,Leltorekasen,Sweden
311,Len,Sweden
312,Lenholm,Sweden
313,Lentuna,Sweden
314,Leshaerhamn,Sweden
315,Lesholm,Sweden
316,Lingelands Vaes,Sweden
317,Lje,Sweden
318,Ljungakeroemsna,Sweden
319,Ljungbyholm,Sweden
320,Lljungstala,Sweden
321,Lloev,Sweden
322,Lmoelnda,Sweden
323,Lmoelnna,Sweden
324,Lnda,Sweden
325,Lnga,Sweden
326,Lngakersund,Sweden
327,Lngakersunda,Sweden
328,Loes,Sweden
329,Loesakull,Sweden
330,Loesandsbruk,Sweden
331,Loesdal,Sweden
332,Loetebostrand,Sweden
333,Loetermala,Sweden
334,Loev,Sweden
335,Loevi,Sweden
336,Loeviken,Sweden
337,Loevsjon,Sweden
338,Lsta,Sweden
339,Ltineholm,Sweden
340,Ltinga,Sweden
341,Ltorvik,Sweden
342,Lulea,Sweden
343,Lund,Sweden
344,Lunda,Sweden
345,Mala,Sweden
346,Malandsbron,Sweden
347,Maliken,Sweden
348,Malilldala,Sweden
349,Maling,Sweden
350,Malinge,Sweden
351,Malinp,Sweden
352,Malmstad,Sweden
353,Mesterbyn,Sweden
354,Moeg,Sweden
355,Moegelarp,Sweden
356,Moelnas,Sweden
357,Moras,Sweden
358,Moxholm,Sweden
359,Naes,Sweden
360,Nda,Sweden
361,Ndelnlycken,Sweden
362,Nea,Sweden
363,Nebo,Sweden
364,Nebybruk,Sweden
365,Neiegen,Sweden
366,Nelund,Sweden
367,Nerstorp,Sweden
368,Nerstraengnaesb,Sweden
369,Nesunda,Sweden
370,Nge,Sweden
371,Ngen,Sweden
372,Nhammerby,Sweden
373,Ninghem,Sweden
374,Ningsoe,Sweden
375,Nlarp,Sweden
376,Nleby,Sweden
377,Nloes,Sweden
378,Nloesaroev,Sweden
379,Nloevsjoebergsj,Sweden
380,Nna,Sweden
381,Nnebergelanda,Sweden
382,Nneborg,Sweden
383,Nnelund,Sweden
384,Nra,Sweden
385,Nralanda,Sweden
386,Ntehamn,Sweden
387,Ntenungstad,Sweden
388,Nungsoe,Sweden
389,Oebadensbro,Sweden
390,Oer,Sweden
391,Oer Medjebacka,Sweden
392,Oeraker,Sweden
393,Oerarp,Sweden
394,Oeras,Sweden
395,Oerboholm,Sweden
396,Oerbylanda,Sweden
397,Oere,Sweden
398,Oerkoepingoe,Sweden
399,Oerresta,Sweden
400,Ola,Sweden
401,Ole,Sweden
402,Olleforsa,Sweden
403,Ollmoelltorp,Sweden
404,Olund,Sweden
405,Omelnaskoepinge,Sweden
406,Ora,Sweden
407,Oras,Sweden
408,Ormesta,Sweden
409,Ormestorp,Sweden
410,Orp,Sweden
411,Orrbergkvara,Sweden
412,Orsa,Sweden
413,Oven,Sweden
414,Pen,Sweden
415,Plonsoerstad,Sweden
416,Ppland,Sweden
417,Raes,Sweden
418,Randa,Sweden
419,Randby,Sweden
420,Rdal,Sweden
421,Rdala,Sweden
422,Red,Sweden
423,Rga,Sweden
424,Riannelund,Sweden
425,Rinehage,Sweden
426,Ristdal,Sweden
427,Ristingakersloe,Sweden
428,Ritslandeln,Sweden
429,Rjaerna,Sweden
430,Rjaeset,Sweden
431,Rjeplog,Sweden
432,Roe,Sweden
433,Roed,Sweden
434,Roederhammeln,Sweden
435,Roedla Upplanda,Sweden
436,Roedra Vi,Sweden
437,Roemsnaes,Sweden
438,Roemsnaeshaerha,Sweden
439,Roemsnaestorp,Sweden
440,Roemstad,Sweden
441,Roemsund,Sweden
442,Roesakullingsae,Sweden
443,Roesakultsfors,Sweden
444,Roevsjoe,Sweden
445,Rrum,Sweden
446,Rsberget,Sweden
447,Rsund,Sweden
448,Rum,Sweden
449,Runflo,Sweden
450,Rvellinghem,Sweden
451,Rvidinge,Sweden
452,Rvik,Sweden
453,Rylboda,Sweden
454,S Uypling,Sweden
455,S-O,Sweden
456,Sala,Sweden
457,Saltsforsborrbe,Sweden
458,Sbo,Sweden
459,Sborg,Sweden
460,Sborrbergkvarn,Sweden
461,Sbro,Sweden
462,Sbron,Sweden
463,Sbrunnebergsjoe,Sweden
464,Seda,Sweden
465,Segelandsstervs,Sweden
466,Segelholm,Sweden
467,Segeltorekasen,Sweden
468,Segeltorp,Sweden
469,Sele,Sweden
470,Sen,Sweden
471,Sersund,Sweden
472,Serup,Sweden
473,Shamn,Sweden
474,Sholm,Sweden
475,Sholmen,Sweden
476,Sjoenstorp,Sweden
477,Skeppland,Sweden
478,Skoepen,Sweden
479,Skoepinge,Sweden
