,Name,Origin
0, (Dorf,Switzerland
1, (Larussen,Switzerland
2, / Blatt,Switzerland
3, Al Bei Melchna,Switzerland
4, Al Bei Wintgge,Switzerland
5, An Derswil,Switzerland
6, Ar Aarand-Sava,Switzerland
7, C0Enit,Switzerland
8, Dorf),Switzerland
9, Ens,Switzerland
10, Hofach,Switzerland
11, Kollbrunn / Sp,Switzerland
12, Le Montagnier,Switzerland
13, Moos,Switzerland
14, Rikon,Switzerland
15, Unterthur (Kre,Switzerland
16,(Daennensee / B,Switzerland
17,(Der,Switzerland
18,(Dorf,Switzerland
19,(Dorf (Waeder,Switzerland
20,(Dorf (Waedtche,Switzerland
21,(Dorf / Vitaqua,Switzerland
22,(Dorfker,Switzerland
23,(Dorfthalach (K,Switzerland
24,(Kreis 2) / Spi,Switzerland
25,(Kreis 3) / Tal,Switzerland
26,(Kreis 7) / Dor,Switzerland
27,(Kreis 9) / Chi,Switzerland
28,(Nau,Switzerland
29,(Terthur (Kreis,Switzerland
30,(Zhalwil Bei Me,Switzerland
31,-Imchellenziken,Switzerland
32,-Joratt,Switzerland
33,-Oberglatt,Switzerland
34,/ Chiesaz,Switzerland
35,/ Untersiggens-,Switzerland
36,/Bruck,Switzerland
37,/Derswil (Dorf,Switzerland
38,/Fwollbruggen,Switzerland
39,/I Uesch,Switzerland
40,/M/ Iensdorf (W,Switzerland
41,/Merthur (Kreis,Switzerland
42,/Mlolingen,Switzerland
43,/Mnach,Switzerland
44,/N1Nerrheimiswi,Switzerland
45,/Oaltbrunn,Switzerland
46,/Uvisperscholz,Switzerland
47,/Wettigny,Switzerland
48,/Wil,Switzerland
49,/Wten,Switzerland
50,0Agen,Switzerland
51,0Eein,Switzerland
52,0Erich (Kreis 8,Switzerland
53,0Evilard-Sainte,Switzerland
54,0Ha Dorf,Switzerland
55,0Ieelex,Switzerland
56,0Ier,Switzerland
57,0In An Der-Stoc,Switzerland
58,0Jard-Savagnier,Switzerland
59,0Nau,Switzerland
60,0Stier,Switzerland
61,0Uren,Switzerland
62,1(Dorf,Switzerland
63,1Aerglatz,Switzerland
64,1Albis,Switzerland
65,1Ausannedorf / ,Switzerland
66,1Fhoin,Switzerland
67,1Kendorf,Switzerland
