,Name,Origin
0,  Aa Hah,Syria
1,  Akharim,Syria
2,  Al Aaw At Bus,Syria
3,  Al Bahluliyat,Syria
4,  Al Jawbat Bus,Syria
5,  Al Ma`Af,Syria
6,  An Nasr,Syria
7,  Arnaz,Syria
8,  As Sab` Biyah,Syria
9,  As Sukhnah,Syria
10,  Ashab,Syria
11,  Ayn Al Atari`,Syria
12,  Babqurtal Ata,Syria
13,  Batna,Syria
14,  Hajar Al Busa,Syria
15,  Kala',Syria
16,  Kana,Syria
17,  Swadidah,Syria
18,  Tamr,Syria
19,  Unayn,Syria
20,  Usyya,Syria
21, 'Arab,Syria
22, -Lhin,Syria
23, -Wwrdda,Syria
24, Abyad,Syria
25, Adad,Syria
26, Al-Hmidiya,Syria
27, Al-Hmidiyah,Syria
28, Al-Hmidiyar,Syria
29, Al-Hmidiyatayn,Syria
30, Arnabaghirah,Syria
31, Arnabaghirbat ,Syria
32, Arnabah,Syria
33, Arnaz,Syria
34, Ashabah,Syria
35, Aswad,Syria
36, Aswadidah,Syria
37, Awaj,Syria
38, Awbj,Syria
39, B-Smwdi,Syria
40, B-Toisrin,Syria
41, Bab,Syria
42, Bahlula,Syria
43, Bahluliya,Syria
44, Bahluliyah,Syria
45, Bahluliyar,Syria
46, Bahluliyat Al ,Syria
47, Bahluliyat Tin,Syria
48, Bashan Nashahb,Syria
49, Batna,Syria
50, Bayda,Syria
51, Bbyda,Syria
52, Biyah,Syria
53, Burghal,Syria
54, Burghaya,Syria
55, Burghayikh,Syria
56, Busa Al-Hmidiy,Syria
57, Busah,Syria
58, Busayfir,Syria
59, Busayfirah,Syria
60, Busayr `Atiya,Syria
61, Busayr `Atiyah,Syria
62, Busayr `Atiyar,Syria
63, Busayrah,Syria
64, Busayya,Syria
65, Busb Al-Hmidiy,Syria
66, Busra As Sab` ,Syria
67, Busra As Saghi,Syria
68, Busra As Sana,Syria
69, Busra As Sawda,Syria
70, Busra As Sukhn,Syria
71, Busra As Surah,Syria
72, Busra As Susa ,Syria
73, Busra Ash Shah,Syria
74, Busra Ash Sham,Syria
75, Busra Ashah,Syria
76, Busra Ashannaf,Syria
77, Busra Ashayikh,Syria
78, Dah,Syria
79, Edaya,Syria
80, Eppo,Syria
81, Fat,Syria
82, Fatayn,Syria
83, Furqlus,Syria
84, Ghizlaniya,Syria
85, Gl Ashayikh,Syria
86, Glizlaniyah,Syria
87, Ha',Syria
88, Hab,Syria
89, Habah,Syria
90, Hafir,Syria
91, Hafirah,Syria
92, Hajar Al 'Arab,Syria
93, Hajar Al Abyad,Syria
94, Hajar Al Jagni,Syria
95, Hajar Al Janud,Syria
96, Hajar Al Mash ,Syria
97, Hajar Al Musha,Syria
98, Hamascus,Syria
99, Hamidiyah,Syria
100, Hamidiyatayn,Syria
101, Hamr,Syria
102, Hamra',Syria
103, Hasakah,Syria
104, Hasikah,Syria
105, Hisya,Syria
106, Infah,Syria
107, Jala',Syria
108, Jalakhan Nu`Ma,Syria
109, Jalakharib,Syria
110, Jalakhid,Syria
111, Janudiyah,Syria
112, Janusa Al-Hmid,Syria
113, Jaramalinfah,Syria
114, Jaramanamascus,Syria
115, Jaramascus,Syria
116, Jaraqib,Syria
117, Jarniyah,Syria
118, Jarniyar,Syria
119, Jarrab,Syria
120, Jarrah,Syria
121, Jarratmisrin,Syria
122, Jarratmisrin A,Syria
