,Name,Origin
0, Irsehri,Turkey
1, Maralapakli,Turkey
2, Merburgama,Turkey
3, Merburgaz,Turkey
4, Meremerter,Turkey
5, Merter,Turkey
6, Mran,Turkey
7, Mren,Turkey
8, Mrrnavutkoeyue,Turkey
9, Mrshahasa,Turkey
10, Mrzar,Turkey
11, Mzrlar,Turkey
12, Zraagipinarcir,Turkey
13,Afenere,Turkey
14,Agi,Turkey
15,Aglickayancik,Turkey
16,Ahisar,Turkey
17,Alak,Turkey
18,Alan,Turkey
19,Alapasar,Turkey
20,Alli,Turkey
21,Alpazarigol,Turkey
22,Aptanpasa,Turkey
23,Ara,Turkey
24,Arantese,Turkey
25,Arhane,Turkey
26,Askent,Turkey
27,Askoy,Turkey
28,Aspir,Turkey
29,Astafakemalp,Turkey
30,Astanceri,Turkey
31,Astiranose,Turkey
32,Asyalipazaryeri,Turkey
33,Avsa,Turkey
34,Avsanci,Turkey
35,Avu,Turkey
36,Avur,Turkey
37,Avutkoeynuek,Turkey
38,Aybin,Turkey
39,Aymas,Turkey
40,Ayvali,Turkey
41,Ayvan,Turkey
42,Azi,Turkey
43,Aztep,Turkey
44,Badi,Turkey
45,Basi,Turkey
46,Bastiraz,Turkey
47,Bay,Turkey
48,Bbadic,Turkey
49,Bey,Turkey
50,Bolu,Turkey
51,Bres Mir,Turkey
52,Brsaybin,Turkey
53,Caboluk,Turkey
54,Cahan,Turkey
55,Cendost,Turkey
56,Cga,Turkey
57,Chi,Turkey
58,Chimav,Turkey
59,Cidiye,Turkey
60,Cie,Turkey
61,Cik,Turkey
62,Cir,Turkey
63,Cirlar,Turkey
64,Cirli,Turkey
65,Cirliova,Turkey
66,Cis,Turkey
67,Cismenderemerho,Turkey
68,Ckayazimin,Turkey
69,Cra,Turkey
70,Cri,Turkey
71,Cva,Turkey
72,Cyirli,Turkey
73,Dere,Turkey
74,Derebucakocakoc,Turkey
75,Derek,Turkey
76,Deremerburgama,Turkey
77,Deremerter,Turkey
78,Deren,Turkey
79,Derenler,Turkey
80,Derepazarigol,Turkey
81,Derepazaristira,Turkey
82,Dereyancerincer,Turkey
83,Dger,Turkey
84,Dim,Turkey
85,Duk,Turkey
86,Ebrlsoren,Turkey
87,Ecem,Turkey
88,Ecerinci,Turkey
89,Ecidi,Turkey
90,Ecir,Turkey
91,Eckk,Turkey
92,Eckova,Turkey
93,Eckoy,Turkey
94,Eer,Turkey
95,Eferinhisarakli,Turkey
96,Ekcaka,Turkey
97,Ekkesildereyani,Turkey
98,Ekrmak,Turkey
99,Elembe,Turkey
100,Elen,Turkey
101,Eler,Turkey
102,Elikamis,Turkey
103,Emhi,Turkey
104,Emri,Turkey
105,Emzrlar,Turkey
106,Enc,Turkey
107,Encalani,Turkey
108,Encalik,Turkey
109,Endere,Turkey
110,Ene,Turkey
111,Enerinhisar,Turkey
112,Enler,Turkey
113,Enoba,Turkey
114,Ensere,Turkey
115,Ent,Turkey
116,Ergen,Turkey
117,Erger,Turkey
118,Ermak,Turkey
119,Erment,Turkey
120,Ern,Turkey
121,Ernigadic,Turkey
122,Ernpinar,Turkey
123,Err,Turkey
124,Ersiyayla,Turkey
125,Eslp,Turkey
126,Esri,Turkey
127,Evne,Turkey
128,Evren,Turkey
129,Ezoere,Turkey
130,Ezraagil,Turkey
131,Feneriscikonagi,Turkey
132,Flendek,Turkey
133,Fnenicekan,Turkey
134,Fren,Turkey
135,Frin,Turkey
136,Frince,Turkey
137,Frincesap,Turkey
138,Frincik,Turkey
139,Frincirliova,Turkey
140,Frinhisar,Turkey
141,Fynesirim,Turkey
142,Fynin,Turkey
143,Fynneri,Turkey
144,Fzne,Turkey
145,Gal,Turkey
146,Gavsancir,Turkey
147,Gazoren,Turkey
148,Gla ,Turkey
149,Goz,Turkey
150,Greyani,Turkey
151,Guengen,Turkey
152,Guengoz,Turkey
153,Guep,Turkey
154,Gzi,Turkey
155,Hasa,Turkey
156,Hasagi,Turkey
157,Hasance,Turkey
158,Himav,Turkey
159,Himese,Turkey
160,Hin,Turkey
161,Hir,Turkey
162,Hisak,Turkey
163,Hisar,Turkey
164,Hisarabuldan,Turkey
165,Hisaracik,Turkey
166,Hisaraykent,Turkey
167,Hisarcik,Turkey
168,Hmetli,Turkey
169,Hsencik,Turkey
170,Iferho,Turkey
171,Ilcam,Turkey
172,Ilderek,Turkey
173,Ili,Turkey
174,Ilibasarakbasti,Turkey
175,Ilibasi,Turkey
176,Ilic,Turkey
177,Ilim,Turkey
178,Ilimese,Turkey
179,Ilimin,Turkey
180,Ilimli,Turkey
181,Ilirmak,Turkey
182,Ilirmar,Turkey
183,Ilopi,Turkey
184,Ilvadic,Turkey
185,Ilvan,Turkey
186,Ilvanlik,Turkey
187,Imiye,Turkey
188,Imli,Turkey
189,Inatli,Turkey
190,Iri,Turkey
191,Irikbedro,Turkey
192,Irikemerburgama,Turkey
193,Irinhisar,Turkey
194,Irizli,Turkey
195,Irli,Turkey
196,Irmak,Turkey
197,Irmenere,Turkey
198,Irment,Turkey
199,Ivas,Turkey
200,Jara,Turkey
201,Jaracaova,Turkey
202,Jaralti,Turkey
203,Jaran,Turkey
204,Jaraykani,Turkey
205,Jcam,Turkey
206,Jdincikoy,Turkey
207,Jhisar,Turkey
208,Jmbay,Turkey
209,Jrea,Turkey
210,Jrebuca,Turkey
211,Jrec,Turkey
212,Jseremerter,Turkey
213,Jseri,Turkey
214,Karahisakran,Turkey
215,Karakbasi,Turkey
216,Karaklidere,Turkey
217,Kastamilbey,Turkey
218,Kaya,Turkey
219,Kbasi,Turkey
220,Kcakke,Turkey
221,Kcik,Turkey
222,Kcikonagi,Turkey
223,Kcitozu,Turkey
224,Kdere,Turkey
225,Kderen,Turkey
226,Kderepazari,Turkey
227,Kent,Turkey
228,Kil,Turkey
229,Killi,Turkey
230,Kjyazi,Turkey
231,Klar,Turkey
232,Km Tese,Turkey
233,Kntepe,Turkey
234,Koy,Turkey
235,Kren,Turkey
236,Ksar,Turkey
237,Kse,Turkey
238,Ksehir,Turkey
239,Kserek,Turkey
240,Kseri,Turkey
241,Ksu,Turkey
242,Kuyukcakoprubas,Turkey
243,Kyakamisli,Turkey
244,Kysalli,Turkey
245,Laga,Turkey
246,Lama,Turkey
247,Lani,Turkey
248,Lar,Turkey
249,Lavay,Turkey
250,Lbasi,Turkey
251,Lbastafakemerhi,Turkey
252,Lcasogut,Turkey
253,Ldan,Turkey
254,Ldere,Turkey
255,Ldiran,Turkey
256,Ldmerter,Turkey
257,Ldmue,Turkey
258,Ldmuedar,Turkey
259,Ledere,Turkey
260,Lederek,Turkey
261,Lederen,Turkey
262,Lhisar,Turkey
