,Name,Origin
0, Lepetske,Ukraine
1, Uyakhivka,Ukraine
2, Zhad,Ukraine
3,'Ngyi Makaria,Ukraine
4,'Pchiv,Ukraine
5,'Sknyzhnie Sely,Ukraine
6,-Kashta,Ukraine
7,-Kashty,Ukraine
8,-Kavka,Ukraine
9,-Kery,Ukraine
10,-Kkkrynka,Ukraine
11,-Kury,Ukraine
12,-Kuvynovo,Ukraine
13,Aaha,Ukraine
14,Ach,Ukraine
15,Adavydiv,Ukraine
16,Adova,Ukraine
17,Adovo,Ukraine
18,Adynu,Ukraine
19,Aedevanichne,Ukraine
20,Agradkiv,Ukraine
21,Agradne,Ukraine
22,Ahne,Ukraine
23,Ahnoye,Ukraine
24,Ahoron,Ukraine
25,Ahove,Ukraine
26,Akha,Ukraine
27,Akhar,Ukraine
28,Akhaykoploskret,Ukraine
29,Akhmut,Ukraine
30,Akrasne,Ukraine
31,Aldar,Ukraine
32,Alesye,Ukraine
33,Alsya,Ukraine
34,Anka,Ukraine
35,Anviria,Ukraine
36,Anvirivka,Ukraine
37,Aolikiv,Ukraine
38,Apche,Ukraine
39,Apysarasnytsy,Ukraine
40,Arobil',Ukraine
41,Astara Sloby,Ukraine
42,Auhoroshivka,Ukraine
43,Ausotravneven'K,Ukraine
44,Avaryy Svityank,Ukraine
45,Avka,Ukraine
46,Avodysha,Ukraine
47,Avy,Ukraine
48,Avydiv,Ukraine
49,Aykivtsi,Ukraine
50,Azhenye,Ukraine
51,Bbykove,Ukraine
52,Bdyshcha,Ukraine
53,Berdyanka,Ukraine
54,Berefa,Ukraine
55,Berehovoye,Ukraine
56,Berezanka,Ukraine
57,Berezansk,Ukraine
58,Berezhvodonetsk,Ukraine
59,Bezivka,Ukraine
60,Blyakhmut,Ukraine
61,Blyatyn,Ukraine
62,Bmykovoboda-Kom,Ukraine
63,Boda-Komykol'Ch,Ukraine
64,Borka,Ukraine
65,Brgachky,Ukraine
66,Brshava,Ukraine
67,Bryamobany,Ukraine
68,Bryukhotrovka,Ukraine
69,Buchurisovo,Ukraine
70,Buhyne,Ukraine
71,Buhyneve,Ukraine
72,Buhyneye,Ukraine
73,Bury,Ukraine
74,Buzynka,Ukraine
75,Bykiv,Ukraine
76,Bystya,Ukraine
77,Byu,Ukraine
78,Chagivka,Ukraine
79,Che,Ukraine
80,Chentsi,Ukraine
81,Cheskoye,Ukraine
82,Chkivtsi,Ukraine
83,Chna,Ukraine
84,Chyna,Ukraine
85,Chyne,Ukraine
86,Davydiv,Ukraine
87,Davydkove,Ukraine
88,Dfi,Ukraine
89,Dizhiv,Ukraine
90,Dkhovo,Ukraine
91,Dkomyshkiv,Ukraine
92,Dmytriv,Ukraine
93,Dmytrivka,Ukraine
94,Dovzhonivka,Ukraine
95,Dprmokrovka,Ukraine
96,Drichnya,Ukraine
97,Dsbavydiv,Ukraine
98,Dtybchak,Ukraine
99,Dtybchivka,Ukraine
100,Dubiv,Ukraine
101,Dubizh,Ukraine
102,Dubno,Ukraine
103,Dvorivtsi,Ukraine
104,Dyanka,Ukraine
105,Dynmeri,Ukraine
106,Dynua,Ukraine
107,Edshyroke,Ukraine
108,Edshyrskoye,Ukraine
109,Egrorud,Ukraine
110,Egsozhany,Ukraine
111,Egsozharnaya Le,Ukraine
112,Egstiv,Ukraine
113,Ekshykhizbenky,Ukraine
114,Enedobodatnoye,Ukraine
115,Eoarychna,Ukraine
116,Epre,Ukraine
117,Epyliv,Ukraine
118,Ereiaslav,Ukraine
119,Eriv Yar,Ukraine
120,Ernyy Svitya,Ukraine
121,Eskoye,Ukraine
122,Eslovka,Ukraine
123,Esrivka,Ukraine
124,Etove Davy,Ukraine
125,Etovka,Ukraine
126,Ets,Ukraine
127,Ets'K,Ukraine
128,Ets'Kyy,Ukraine
129,Etske,Ukraine
130,Etskyy,Ukraine
131,Fanovka,Ukraine
132,Fiyi,Ukraine
133,Fovka,Ukraine
134,Fron,Ukraine
135,Fronstanovka,Ukraine
136,Frontove,Ukraine
137,Fuykolayivka,Ukraine
138,Garska,Ukraine
139,Ghina,Ukraine
140,Ghino,Ukraine
141,Ghinogvardiiske,Ukraine
142,Glenivka,Ukraine
143,Glesye,Ukraine
144,Gliandrovka,Ukraine
145,Glinichna,Ukraine
146,Glininskoye,Ukraine
147,Glinnyy Oslav-K,Ukraine
148,Glino-Buhanyliv,Ukraine
149,Godar,Ukraine
150,Gornivtsi,Ukraine
151,Gornobany,Ukraine
152,Gornom,Ukraine
153,Gornomenit,Ukraine
154,Gornostayivka,Ukraine
155,Gornostyaky,Ukraine
