,Name,Origin
0, Bckham,United Kingdom
1, Brickley,United Kingdom
2, Brora,United Kingdom
3, Colne,United Kingdom
4, Colwin,United Kingdom
5, Dale,United Kingdom
6, Drayton,United Kingdom
7, Dre,United Kingdom
8, Ge End,United Kingdom
9, Lanchel Troy,United Kingdom
10, Tusminslow,United Kingdom
11, Whimplepen,United Kingdom
12,-Bave,United Kingdom
13,-Bavh,United Kingdom
14,-Bavtlebourn,United Kingdom
15,-Deanscombeshwa,United Kingdom
16,-Hamdon,United Kingdom
17,-Leaminston,United Kingdom
18,-Lyach,United Kingdom
19,-Yford,United Kingdom
20,Ablest Cleoburn,United Kingdom
21,Aie,United Kingdom
22,Ainton,United Kingdom
23,All,United Kingdom
24,Amsgaterloo,United Kingdom
25,Antrimster,United Kingdom
26,Arder,United Kingdom
27,Ardrie,United Kingdom
28,Ardries,United Kingdom
29,Ardrish,United Kingdom
30,Ardrishanbradle,United Kingdom
31,Ardrishope,United Kingdom
32,Ardrossan,United Kingdom
33,Argrave,United Kingdom
34,Arn,United Kingdom
35,Ars,United Kingdom
36,Arshaig,United Kingdom
37,Arshal,United Kingdom
38,Arshall,United Kingdom
39,Arshally,United Kingdom
40,Arshfield,United Kingdom
41,Arshfield Wood,United Kingdom
42,Arth,United Kingdom
43,Artlanham,United Kingdom
44,Artley,United Kingdom
45,Arton,United Kingdom
46,Artsterloo,United Kingdom
47,Asblotham,United Kingdom
48,Asford Troy,United Kingdom
49,Asfordby,United Kingdom
50,Ashfielden,United Kingdom
51,Ashill,United Kingdom
52,At Coke,United Kingdom
53,Attle,United Kingdom
54,Ave,United Kingdom
55,Aveley,United Kingdom
56,Aydon,United Kingdom
57,Ballere Regis,United Kingdom
58,Bchrriby,United Kingdom
59,Bdle,United Kingdom
60,Beeford,United Kingdom
61,Belmster,United Kingdom
62,Bfract,United Kingdom
63,Bishopthorkesle,United Kingdom
64,Blane,United Kingdom
65,Bniwmbach,United Kingdom
66,Bow Brightone,United Kingdom
67,Bron,United Kingdom
68,Brook,United Kingdom
69,Brooke,United Kingdom
70,Brookerndon,United Kingdom
71,Brow,United Kingdom
72,Brownhill,United Kingdom
73,Bryde,United Kingdom
74,Bton In Ashfiel,United Kingdom
75,Burn,United Kingdom
76,Cabbost,United Kingdom
77,Cabbournet,United Kingdom
78,Cadccica,United Kingdom
79,Cadccpter,United Kingdom
80,Cadhield,United Kingdom
81,Caleton,United Kingdom
82,Cbeach,United Kingdom
83,Cbmark,United Kingdom
84,Cduffleet,United Kingdom
85,Celph,United Kingdom
86,Cembsay,United Kingdom
87,Cewpa,United Kingdom
88,Cfent,United Kingdom
89,Chest Ilsley,United Kingdom
90,Chinster,United Kingdom
91,Cleylangwm,United Kingdom
92,Clubmoor,United Kingdom
93,Cmbnard Great C,United Kingdom
94,Cperranard Grea,United Kingdom
95,Cramhope,United Kingdom
96,Cramhopthorpe,United Kingdom
97,Cuffley,United Kingdom
98,Cull Suttone,United Kingdom
99,Cwmbach,United Kingdom
100,Daber,United Kingdom
101,Dagee,United Kingdom
102,Dagenheat Chel ,United Kingdom
103,Dagenheat Coldo,United Kingdom
104,Danboroughbrigh,United Kingdom
105,Danbrook,United Kingdom
106,Danburn-By-Sea,United Kingdom
107,Danbury,United Kingdom
108,Dar,United Kingdom
109,Dawlishope,United Kingdom
110,Dawlishopthorn,United Kingdom
111,Dblingwm,United Kingdom
112,Dbroon,United Kingdom
113,Dcwmbach,United Kingdom
114,Ddwmoit,United Kingdom
115,Delper,United Kingdom
116,Denhal,United Kingdom
117,Denmead Magna,United Kingdom
118,Dewlish,United Kingdom
119,Dford,United Kingdom
120,Dfordd,United Kingdom
121,Dfrie,United Kingdom
122,Dfrrers,United Kingdom
123,Dge End,United Kingdom
124,Dknby Dale,United Kingdom
125,Dkwmsae,United Kingdom
126,Dle,United Kingdom
127,Dleigh,United Kingdom
128,Dleighton,United Kingdom
129,Dley,United Kingdom
130,Dnby Dale,United Kingdom
131,Dnwellingfield,United Kingdom
132,Don,United Kingdom
133,Dornhaughton,United Kingdom
134,Doverigh Barnbo,United Kingdom
135,Down,United Kingdom
136,Dpe,United Kingdom
137,Dromberporth,United Kingdom
138,Dromborough,United Kingdom
139,Dromore,United Kingdom
140,Dtton,United Kingdom
141,Dunnowash,United Kingdom
142,Dvemhinckley,United Kingdom
143,Dvwmciet,United Kingdom
144,E Gadre,United Kingdom
145,Ealling,United Kingdom
146,Eamingham,United Kingdom
147,Eamington,United Kingdom
148,Eaminster Parks,United Kingdom
149,Earshame,United Kingdom
150,Eat Coldcliff,United Kingdom
151,Eath,United Kingdom
152,Eaview,United Kingdom
153,Eavis,United Kingdom
154,Ebbsey,United Kingdom
155,Eby,United Kingdom
156,Echursteraeron ,United Kingdom
157,Eddingwm,United Kingdom
158,Eddle,United Kingdom
159,Eddleighton,United Kingdom
160,Eddleston,United Kingdom
161,Eddley,United Kingdom
162,Edeansadwelling,United Kingdom
163,Edleigh Knight,United Kingdom
164,Edley,United Kingdom
165,Eemenheadleight,United Kingdom
166,Eemiss,United Kingdom
167,Eemsworth,United Kingdom
168,Eeston,United Kingdom
169,Eghhanrbese-Sub,United Kingdom
170,Egnick,United Kingdom
171,Egns,United Kingdom
172,Egsxansford,United Kingdom
173,Ehig,United Kingdom
174,Eighton,United Kingdom
175,Ela,United Kingdom
176,Eley,United Kingdom
177,Ell,United Kingdom
178,Ellingwalley,United Kingdom
179,Elmham,United Kingdom
180,Elmster,United Kingdom
181,Elmston,United Kingdom
182,Elsbury,United Kingdom
183,Elsesbatcheston,United Kingdom
184,Elseven,United Kingdom
185,Ely,United Kingdom
186,Emble,United Kingdom
187,Embletow,United Kingdom
188,Embsay,United Kingdom
189,Empsey,United Kingdom
190,Enewen,United Kingdom
191,Eng,United Kingdom
192,Enmavis,United Kingdom
193,Eold Wood,United Kingdom
194,Epperford,United Kingdom
195,Erash,United Kingdom
196,Erashill,United Kingdom
197,Ercss-Next-The,United Kingdom
198,Erds-On-Sea,United Kingdom
199,Erestow,United Kingdom
200,Erfent,United Kingdom
201,Ergholt,United Kingdom
202,Eride,United Kingdom
203,Erkston,United Kingdom
204,Erlsfield,United Kingdom
205,Erlsfielden,United Kingdom
206,Ermskingham,United Kingdom
207,Ermwach,United Kingdom
208,Ernsted Keynemo,United Kingdom
209,Ernwood,United Kingdom
210,Eroseleyhead,United Kingdom
211,Erosseton,United Kingdom
212,Erossgater,United Kingdom
213,Ershaw,United Kingdom
214,Erswall,United Kingdom
215,Ery,United Kingdom
216,Esdanbradach,United Kingdom
217,Esdanbron,United Kingdom
218,Esdembusland,United Kingdom
219,Esh,United Kingdom
220,Eshaig,United Kingdom
221,Eshal,United Kingdom
222,Eshall,United Kingdom
223,Eshan,United Kingdom
224,Eshaw,United Kingdom
225,Eshope,United Kingdom
226,Eskerndove Hork,United Kingdom
227,Etton,United Kingdom
228,Euxton,United Kingdom
229,Ever,United Kingdom
230,Farford,United Kingdom
231,Fartlebourn,United Kingdom
232,Fern,United Kingdom
233,Ferndon,United Kingdom
234,Ferndover,United Kingdom
235,Ferndown,United Kingdom
236,Ferne,United Kingdom
237,Ferrange,United Kingdom
238,Ferrers,United Kingdom
239,Ferrershallere ,United Kingdom
240,Ferriby,United Kingdom
241,Ferring,United Kingdom
242,Ferrow,United Kingdom
243,Fford,United Kingdom
244,Fills,United Kingdom
245,Fing,United Kingdom
