,Name,Origin
0, Shahri,Uzbekistan
1, Shahrisabz,Uzbekistan
2, Shahrisabz Sha,Uzbekistan
3,'Arak Shahrishl,Uzbekistan
4,'Gariq,Uzbekistan
5,'Irdaryo,Uzbekistan
6,'It,Uzbekistan
7,'O`Rtko`L Shahr,Uzbekistan
8,'Osh Shahri,Uzbekistan
9,'Rg'On Shahri,Uzbekistan
10,'Shkent Shahri,Uzbekistan
11,'Shrabot,Uzbekistan
12,'Sprak,Uzbekistan
13,'Stlik Shahri,Uzbekistan
14,'Stliko`L,Uzbekistan
15,'Stliko`L Shahr,Uzbekistan
16,'Stliko`Pir,Uzbekistan
17,'Stliko`Prik,Uzbekistan
18,'Xtko`Prik,Uzbekistan
19,-Eran,Uzbekistan
20,-Ibea,Uzbekistan
21,-Irishton Shahr,Uzbekistan
22,-Kiston,Uzbekistan
23,-Ngi Mirisabz S,Uzbekistan
24,-Og`It Shahri,Uzbekistan
25,-Rdaryo,Uzbekistan
26,-Rg`It Shahrisa,Uzbekistan
27,-Rg`On,Uzbekistan
28,-Rganch,Uzbekistan
29,-Rtaowul,Uzbekistan
30,-Tixon Shahri,Uzbekistan
31,-Top Shahri,Uzbekistan
32,-Yna Shahri,Uzbekistan
33,-Zerano`'Gariq,Uzbekistan
34,A Xia,Uzbekistan
35,A'Arkent Shahri,Uzbekistan
36,A-Risabz Shahri,Uzbekistan
37,A`Rako`L,Uzbekistan
38,Abghon Shahri,Uzbekistan
39,Afar,Uzbekistan
40,Aka,Uzbekistan
41,Akestaharchiq,Uzbekistan
42,Amani,Uzbekistan
43,Amashi,Uzbekistan
44,Amba Shahri,Uzbekistan
45,Amit Shahri,Uzbekistan
46,Ang`Iroqchi Sha,Uzbekistan
47,Angi Marhamani,Uzbekistan
48,Angi Mirisabz,Uzbekistan
49,Angi-Nishon Sha,Uzbekistan
50,Angiariq,Uzbekistan
51,Antikmboy Shahr,Uzbekistan
52,Archasi,Uzbekistan
53,Arg`On,Uzbekistan
54,Arin Shahri,Uzbekistan
55,Ariq,Uzbekistan
56,Ariq Shahri,Uzbekistan
57,Arobod,Uzbekistan
58,Atili,Uzbekistan
59,Atkandar,Uzbekistan
60,Avon,Uzbekistan
61,Avon Shahri,Uzbekistan
62,Avri,Uzbekistan
63,Avrik,Uzbekistan
64,Avriq,Uzbekistan
65,Axtako`L,Uzbekistan
66,Axtako`Pir,Uzbekistan
67,Axtako`Prik,Uzbekistan
68,Axtakor Shahri,Uzbekistan
69,Axtaowul,Uzbekistan
70,Ayzax,Uzbekistan
71,Azirabot,Uzbekistan
72,Azorakul',Uzbekistan
73,Bod,Uzbekistan
74,Bod Shahri,Uzbekistan
75,Boy Shahri,Uzbekistan
76,Bozor Shahri,Uzbekistan
77,Bozorashina,Uzbekistan
78,Brthamba Shahri,Uzbekistan
79,Buloq,Uzbekistan
80,Buloq Shahri,Uzbekistan
81,Buloqbosh,Uzbekistan
82,Bwkharchasi,Uzbekistan
83,Chtepa Qishon S,Uzbekistan
84,Cp`Shon Shahri,Uzbekistan
85,Cpa,Uzbekistan
86,Cpashi,Uzbekistan
87,Cpashina,Uzbekistan
88,Cpbe,Uzbekistan
89,Cpbed,Uzbekistan
90,Cpi,Uzbekistan
91,Cprik,Uzbekistan
92,Dbop,Uzbekistan
93,Den Shaharchasi,Uzbekistan
94,Den Shahri,Uzbekistan
95,Di Shaharchiq,Uzbekistan
96,Dibuloqboshbulo,Uzbekistan
97,Dibuloqboshi,Uzbekistan
98,Diruborasp,Uzbekistan
99,Dishton Shahri,Uzbekistan
100,Diy,Uzbekistan
101,Diy Shahri,Uzbekistan
102,Dra Uirisabz Sh,Uzbekistan
103,Dri Shahri,Uzbekistan
104,Dzaaka,Uzbekistan
105,Dzop Shahri,Uzbekistan
106,Dzqaxia,Uzbekistan
