,Name,Origin
0, Amc Son Ma,Vietnam
1, Ay,Vietnam
2, Cach Gia,Vietnam
3, Can Gio,Vietnam
4, Cao,Vietnam
5, Ghanh,Vietnam
6, Gia,Vietnam
7, Gjien,Vietnam
8, Ha,Vietnam
9, Hai Chau,Vietnam
10, Hoang Da,Vietnam
11, Iep,Vietnam
12, Ino,Vietnam
13, Lach,Vietnam
14, Lo,Vietnam
15, Loc,Vietnam
16, Long,Vietnam
17, Ma,Vietnam
18, Miau,Vietnam
19, Minh Lung,Vietnam
20, Nga Sup,Vietnam
21, Nha Binh My,Vietnam
22, Non Diem,Vietnam
23, Son Tran Cat,Vietnam
24, Thanh,Vietnam
25, Tuc,Vietnam
26, Uan Quang Thi ,Vietnam
27, Vi Tre,Vietnam
28, Vinh,Vietnam
29, Yen Tho,Vietnam
30, Ypho Cai,Vietnam
31,'Lang,Vietnam
32,A Bay,Vietnam
33,A Be,Vietnam
34,A Can Trong Ria,Vietnam
35,A Cu,Vietnam
36,A Cuong Son,Vietnam
37,A Gi,Vietnam
38,A Ihat Khe,Vietnam
39,A Ma,Vietnam
40,A Mac,Vietnam
41,A Mau,Vietnam
42,A Miau,Vietnam
43,A Tho,Vietnam
44,Aang Mau,Vietnam
45,Agbinh Nam Gian,Vietnam
46,Ai Lieu Son,Vietnam
47,Ai Linh,Vietnam
48,Ai'Bjong Yen Di,Vietnam
49,Ak To,Vietnam
50,Am De Dan,Vietnam
51,Am De Dang,Vietnam
52,Am Le,Vietnam
53,Am Phu,Vietnam
54,Am Phu Pho Mot ,Vietnam
55,Am Tan Lang,Vietnam
56,An Bac Gia Rang,Vietnam
57,An Binh,Vietnam
58,An Cat,Vietnam
59,An Chiem Hoa Ba,Vietnam
60,An Dien Bon,Vietnam
61,An Dong Batru,Vietnam
62,An Duong Xuyen,Vietnam
63,An Giang,Vietnam
64,An Huu Ninh Ha,Vietnam
65,An La,Vietnam
66,An Lao,Vietnam
67,An Loc,Vietnam
68,An Nam,Vietnam
69,An Nang,Vietnam
70,An Nghia,Vietnam
71,An Nhuan Quan T,Vietnam
72,An Phong,Vietnam
73,An Phu La,Vietnam
74,An Quan,Vietnam
75,An Tam Gin,Vietnam
76,An Tan Ha,Vietnam
77,An Thanh,Vietnam
78,An Thap Chau,Vietnam
79,An The,Vietnam
80,An Tran Minh,Vietnam
81,An Yen,Vietnam
82,An-,Vietnam
83,Anbai,Vietnam
84,Ang,Vietnam
85,Ang Hoa,Vietnam
86,Ang Khen,Vietnam
87,Ang My,Vietnam
88,Anh,Vietnam
89,Anh Khuoc,Vietnam
90,Ao Cau Dien,Vietnam
91,Ao Le,Vietnam
92,Aphxnhhhoa,Vietnam
93,At Bai,Vietnam
94,Au My,Vietnam
95,Bac Kan,Vietnam
96,Bhanh Loc Chanh,Vietnam
97,Bhoa,Vietnam
98,Bich Giuoc Binh,Vietnam
99,Binh,Vietnam
100,Binh Bai,Vietnam
101,Binh Mil,Vietnam
102,Binh Mo,Vietnam
103,Binh Phu,Vietnam
104,Binh Yen,Vietnam
105,Binh Yen Meo Va,Vietnam
106,Bmngoi Moi,Vietnam
107,Boc Ninh,Vietnam
108,C Hau,Vietnam
109,C Itr,Vietnam
110,Ca Ma T'Ling,Vietnam
111,Ca Mac,Vietnam
112,Cai Bien Khe,Vietnam
113,Cai Chu,Vietnam
114,Cai Nhong,Vietnam
115,Cai Rang,Vietnam
116,Cam Dai,Vietnam
117,Cam Duong,Vietnam
118,Cam Sat,Vietnam
119,Canh Bien Thao,Vietnam
120,Canh Huu Nghia,Vietnam
121,Cao Ban,Vietnam
122,Cat,Vietnam
123,Cat Long,Vietnam
124,Cau,Vietnam
125,Cau Loc,Vietnam
126,Cau My,Vietnam
127,Ce Tra Van Viet,Vietnam
128,Ch Gi,Vietnam
129,Cha,Vietnam
130,Cha Bang,Vietnam
131,Chai,Vietnam
132,Chau,Vietnam
133,Chi Thanh,Vietnam
134,Chi Tram Vu,Vietnam
135,Chi Tran Vinh T,Vietnam
136,Chi Trang,Vietnam
137,Cho,Vietnam
138,Cho Cai,Vietnam
139,Cho Chau Loc,Vietnam
140,Cho Dong Bay,Vietnam
141,Cho Duong Tan C,Vietnam
142,Cho Gao,Vietnam
143,Cho Go,Vietnam
144,Cho Le,Vietnam
145,Cho Mot,Vietnam
146,Cho Rai,Vietnam
147,Cho Uong Thu My,Vietnam
148,Cho Xuan,Vietnam
149,Cho Xuyen,Vietnam
150,Chong Bai,Vietnam
151,Chuoc,Vietnam
152,Chuoc Ninh Ho,Vietnam
153,Cinh,Vietnam
154,Cinh Binh,Vietnam
155,Cinh Tuc,Vietnam
156,Cm Tau,Vietnam
157,Cmt Loc Tho,Vietnam
158,Co Dong,Vietnam
159,Co Le,Vietnam
160,Ctuong,Vietnam
161,Cy Trieu,Vietnam
162,Da Be,Vietnam
163,Dam Tan Tan Muo,Vietnam
164,Danh,Vietnam
165,Dbknhgnhg Chau,Vietnam
166,Dep,Vietnam
167,Di Lac,Vietnam
168,Di Lat,Vietnam
169,Dm Khe Tran Hoa,Vietnam
170,Dniet Trach,Vietnam
171,Don Thuan Song,Vietnam
172,Dong,Vietnam
173,Duon Luan Sin H,Vietnam
174,Duy Ho,Vietnam
175,E Son Tau,Vietnam
176,Eant Hanh,Vietnam
177,En Meo Vang Han,Vietnam
178,Ep Vac,Vietnam
179,Ep Van Lam Than,Vietnam
180,Ep Vi Xuyen,Vietnam
181,Ep Vo,Vietnam
182,Epsa Dok,Vietnam
183,G Ao,Vietnam
184,G'T Go,Vietnam
185,Ganh,Vietnam
186,Ghanh Coi,Vietnam
187,Ghi Trang,Vietnam
188,Ghi Tum,Vietnam
189,Ghia,Vietnam
190,Gho,Vietnam
191,Gi Ma Tieu Son,Vietnam
192,Gi Tran Ky,Vietnam
193,Gia Ba,Vietnam
194,Gia Ha,Vietnam
195,Gia Hoai Rao,Vietnam
196,Gia Long Thi Xu,Vietnam
197,Giang,Vietnam
198,Giang Cai,Vietnam
199,Giang Thi Tran ,Vietnam
200,Giem,Vietnam
201,Giemdiem,Vietnam
202,Gio,Vietnam
203,Giong,Vietnam
204,Gjong Gjoi An,Vietnam
205,Gjong Khanh Son,Vietnam
206,Gjuc Tre,Vietnam
207,Gmien,Vietnam
208,Gminh,Vietnam
209,Gmong,Vietnam
210,Gmot,Vietnam
211,Go Dong Yen,Vietnam
212,Goi,Vietnam
213,Gu Hoa,Vietnam
214,H Thanh,Vietnam
215,Ha Ha,Vietnam
216,Ha Hai Binh,Vietnam
217,Ha Lam,Vietnam
218,Ha Lar,Vietnam
219,Ha Long,Vietnam
220,Ha Teh,Vietnam
221,Ha Thuan,Vietnam
222,Haa,Vietnam
223,Hai,Vietnam
224,Hai Binh,Vietnam
225,Hai Lac,Vietnam
226,Hang,Vietnam
227,Hanh,Vietnam
228,Hanh Bang,Vietnam
229,Hanh Chau,Vietnam
230,Hanh Luong Tran,Vietnam
231,Hanh Xuan,Vietnam
232,Hanh Yen Quan V,Vietnam
233,Hat Bai,Vietnam
234,Hat Khe,Vietnam
235,Hau,Vietnam
236,Hau Dan,Vietnam
237,Hau Dien,Vietnam
238,Hhpiue,Vietnam
239,Hhu Nguyen,Vietnam
240,Hi Tram,Vietnam
241,Hi Trang,Vietnam
242,Hiet,Vietnam
243,Hin,Vietnam
244,Hmuong Ma Long ,Vietnam
245,Ho Cai,Vietnam
246,Ho Gao,Vietnam
247,Ho Mo,Vietnam
248,Hoa,Vietnam
249,Hoa Bang Ba Ria,Vietnam
250,Hoi Mau,Vietnam
251,Hoi Ngan,Vietnam
252,Hong Khe,Vietnam
253,Hson Thoi Mot N,Vietnam
254,Htien,Vietnam
255,Hto,Vietnam
256,Hton,Vietnam
257,Hu Nga Sup,Vietnam
258,Hu Quan,Vietnam
259,Hu Tho,Vietnam
260,Hu Thu Ky,Vietnam
261,Huong,Vietnam
262,Huong Khanh,Vietnam
263,Huong Ma Cao,Vietnam
264,Huong Nang Gjen,Vietnam
265,Huy,Vietnam
266,Huynh,Vietnam
267,I'Ran Nang Sap,Vietnam
268,Iek,Vietnam
269,Iek Ha,Vietnam
270,Iek Hai,Vietnam
271,Iek Hai Bien,Vietnam
272,Iek Hai Vu,Vietnam
273,Iek Haiphon Tra,Vietnam
274,Iek Haiphong So,Vietnam
275,Iek Hanh,Vietnam
276,Iek Hanoi,Vietnam
277,Iek Hau,Vietnam
278,Iekgp Hoa,Vietnam
279,Iekgpohchai,Vietnam
280,Iep,Vietnam
281,Ier,Vietnam
282,Ier Y,Vietnam
283,Iet,Vietnam
284,Iet La,Vietnam
285,Iet Lai Lap Chi,Vietnam
286,Iet Lam,Vietnam
287,Iet Lang,Vietnam
288,Iet Lat,Vietnam
289,Iet Lau,Vietnam
290,Iet Quan Ninh X,Vietnam
291,Iet Quan Sung,Vietnam
292,Iet Quang,Vietnam
293,Iet Tran Hiep,Vietnam
294,Iet Tran Son,Vietnam
295,Ieu Cau,Vietnam
296,Igk,Vietnam
297,Imc,Vietnam
298,Imk,Vietnam
299,Inh,Vietnam
300,Inh Bang,Vietnam
301,Inh Chau,Vietnam
302,Inh City,Vietnam
303,Inh Coi,Vietnam
304,Inh Giuoc Binh,Vietnam
305,Inh Khanh Tho,Vietnam
306,Inh Lanh City,Vietnam
307,Inh Lue,Vietnam
308,Inh Luoi,Vietnam
309,Inh My,Vietnam
310,Inh Son,Vietnam
311,Inh Thieu Cat B,Vietnam
312,Inh Xu,Vietnam
313,Inh Xuan Thai,Vietnam
314,Inh Yen,Vietnam
315,Inh Yen Quan Si,Vietnam
316,Itran Gia,Vietnam
317,Ju Hai Dau My,Vietnam
318,K Noa Ma Lo,Vietnam
319,Kamh Thanh Son ,Vietnam
